Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] fragment screen,[Other] Active site,[Other] New,[Other] upload_1 2024-11-13,[Other] DENV-3,[Other] unconfirmed,[Other] Cavity B (S3) (P2),[Other] external,[Other] Thumb Site 2 (P2),[Other] upload_1 2024-11-21,[Other] Zika,[Other] Primer grip/N-pocket (P2),[Other] DENV-2,[Other] Green Site/RNA tunnel (P2)
z0900b,Zika_NS5A-x0900_A_1018_v1,Zika_NS5A-x0900,Z89269461,C[C@H]1C(=O)NC(=O)N1c1ccc(Cl)cc1,Zika_NS5A-x0351/A/606/A_v1,True,1a - Zika_NS5A-x0351/A/1112,1 - Zika_NS5A-x0351/A/1112/1,F4b - Zika_NS5A-x0900/A/1015/1,A1 - monomer,F4 - P43212,1a - z0351/A/1112,1 - z0351/A/1112/1,F4b - z0900/A/1015,A1 - monomer,F4 - P43212,1a - z0351/A/1112,1 - z0351/A/1112/1,F4b - z0900/A/1015,A1 - all,F4 - P43212,z0900b,True,False,False,True,False,False,False,False,False,True,True,False,False,True
d0153b,DNV2_NS5A-x0153_A_1801_v1,DNV2_NS5A-x0153,Z45527714,CNS(=O)(=O)c1ccccc1Cl,DNV2_NS5A-x0249/A/851/A_v1,True,2a - DNV2_NS5A-x0249/A/1707,2 - DNV2_NS5A-x0249/A/1707/1,F1e - DNV2_NS5A-x0153/A/1801/1,A1 - monomer,F1 - I222,2a - d0249/A/1707,2 - d0249/A/1707/1,F1e - d0153/A/1801,A1 - monomer,F1 - I222,2a - d0249/A/1707,2 - d0249/A/1707/1,F1e - d0153/A/1801,A1 - all,F1 - I222,d0153b,True,False,False,True,False,True,False,False,True,True,False,False,True,False
z0993b,Zika_NS5A-x0993_A_1113_v1,Zika_NS5A-x0993,Z1416571195,NC(=O)c1ccnc(NC2CC=CC2)c1,Zika_NS5A-x0411/A/608/A_v1,True,3b - Zika_NS5A-x0993/A/1113,3 - Zika_NS5A-x0411/A/1104/1,F4g - Zika_NS5A-x0411/A/1104/1,A1 - monomer,F4 - P43212,3b - z0993/A/1113,3 - z0411/A/1104/1,F4g - z0411/A/1104,A1 - monomer,F4 - P43212,3b - z0993/A/1113,3 - z0411/A/1104/1,F4g - z0411/A/1104,A1 - all,F4 - P43212,z0993b,True,False,False,True,False,False,False,False,False,True,True,False,False,False
3vws-a,3vws_A_1003_v1,3vws,,Cc1oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2c1C(=O)O,3vws/A/603/A_v1,True,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - all,F2 - C2221,3vws-a,False,False,False,True,True,False,False,True,False,True,False,False,False,True
5iq6-a,5iq6_A_1003_v1,5iq6,,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12,3vws/A/603/A_v1,True,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2x - 5iq6/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2x - 5iq6/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2x - 5iq6/A/1003/1,A1 - all,F2 - C2221,5iq6-a,False,False,False,True,True,False,False,True,False,True,False,False,False,True
6xd0-a,6xd0_A_1008_v1,6xd0,,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NC1(C(=O)O)Cc2ccccc2C1,3vws/A/603/A_v1,True,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - monomer,F2 - C2221,11a - 3vws/A/1003,11 - 3vws/A/1003/1,F2w - 3vws/A/1003/1,A1 - all,F2 - C2221,6xd0-a,False,False,False,True,True,False,False,True,False,True,False,False,False,True
5i3p-a,5i3p_A_1003_v1,5i3p,,COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(OC)cc2OC)c1,5i3p/A/799/A_v1,True,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - all,F2 - C2221,5i3p-a,False,False,False,True,True,False,False,True,False,True,False,True,False,False
5hn0-a,5hn0_A_1003_v1,5hn0,,O=C(O)Cc1ccc(O)c(-c2ccccc2)c1,5i3p/A/799/A_v1,True,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - all,F2 - C2221,5hn0-a,False,False,False,True,True,False,False,True,False,True,False,True,False,False
5f41-a,5f41_A_1003_v1,5f41,,COc1ccc(CC(=O)O)cc1-c1ccsc1,5i3p/A/799/A_v1,True,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2j - 5i3p/A/1003/1,A1 - all,F2 - C2221,5f41-a,False,False,False,True,True,False,False,True,False,True,False,True,False,False
6h80-a,6h80_A_1001_v1,6h80,,COc1ccc(CC(=O)O)cc1-c1cccs1,5i3p/A/799/A_v1,True,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2k - 6h80/A/1001/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2k - 6h80/A/1001/1,A1 - monomer,F2 - C2221,5a - 5i3p/A/1003,5 - 5i3p/A/1003/1,F2k - 6h80/A/1001/1,A1 - all,F2 - C2221,6h80-a,False,False,False,True,True,False,False,True,False,True,False,True,False,False
