id,smiles,tags
743,CC(Cn1cccn1)NC1=NCCCS1,acceptable
1191,CCS(=O)(=O)NCC1CCCN(Cc2cccc3ccccc23)C1,Knitwork impure merge
1237,CCS(=O)(=O)N(C)C1CCN(C(=O)Cc2cccnc2)CC1,acceptable
1453,O=S(=O)(CCc1cnoc1)NC(c1ccncc1)C1CCC1,acceptable
1504,O=S(=O)(CCc1cnoc1)NC(c1cccnc1)C1CC1,acceptable
1548,O=S(=O)(CCc1cnoc1)NC(c1ccccc1)c1cccnc1,acceptable
1569,Cc1cnc(CC(=O)NCc2ccc(=O)[nH]n2)s1,Knitwork pure merge
1623,CCS(=O)(=O)NCc1cn(CCCn2cncn2)nn1,acceptable
1778,O=C(O)c1csc(-c2ccc(=O)[nH]n2)n1,Knitwork pure merge
1905,NCc1csc(-c2ccc(=O)[nH]n2)n1,Knitwork impure merge
1941,CN(c1cccnc1)S(=O)(=O)CCC1CCCO1,acceptable
2600,CC(C)(C)OCC(O)c1ccncn1,acceptable
2614,CCCN(CCC)S(=O)(=O)NC(C)c1ncccn1,Knitwork impure merge
2658,CC(NS(=O)(=O)CC(C)(C)C#N)c1ncccn1,acceptable
2829,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(C)cc2)C1,Knitwork impure merge
3075,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1,acceptable
3914,CCS(=O)(=O)NCC1CN(c2ncc(F)cn2)Cc2cncn21,Knitwork pure merge
4670,CCCc1nnc(NS(=O)(=O)c2ccc3c(c2)OCCO3)s1,acceptable
4745,O=c1ccc(-c2cccnc2)nn1Cc1nsc2ccccc12,Knitwork impure merge
5076,CCCn1ccc(CNCc2ccc3c(n2)OCCO3)n1,acceptable
5550,CC(C)(C)OCC(O)c1cscn1,Knitwork impure merge
5555,C=CCN(C)S(=O)(=O)NC(C)c1nccs1,Knitwork impure merge
5616,CC(NS(=O)(=O)CCCCC#N)c1nccs1,acceptable
5663,CC(CC(C)C(F)F)NS(=O)(=O)Cc1cscn1,acceptable
5802,CC(c1ccccc1)S(=O)(=O)NC(c1ncccn1)C1CC1,acceptable
6445,CCCCN(O)C(=O)c1ccccn1,acceptable
6489,CCCC(NS(=O)(=O)CC(C)(C)C(F)(F)F)c1ccccn1,acceptable
6527,CCC(NS(=O)(=O)N(C)C)c1ccncc1,acceptable
6748,C=C(C(=O)OC)C(O)c1ccncc1,acceptable
6935,CCCOCC(O)c1cccnc1,acceptable
6945,CC(C)(C)OCC(O)c1ccccn1,Knitwork pure merge
6950,CCC(NS(=O)(=O)CCC(F)(F)C(F)F)c1cccnc1,acceptable
6954,O=C1C=C(c2ccccn2)CCCC1,acceptable
7755,CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,Knitwork impure merge
