id,smiles,tags
772,CCS(=O)(=O)NCc1ncccc1OC,acceptable
778,CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,acceptable
791,CCS(=O)(=O)NCc1ncccc1F,Knitwork impure merge
808,CCS(=O)(=O)NCc1nc(Cl)ccc1Br,acceptable
850,CCS(=O)(=O)NCc1ccncc1C,acceptable
852,CCS(=O)(=O)NCc1ncccc1C,Knitwork impure merge
856,CCS(=O)(=O)NCc1ncc(C)cc1C,Knitwork impure merge
885,CCS(=O)(=O)NCc1cnc(C)cc1C,acceptable
886,CCS(=O)(=O)NCc1ncccc1Cl,Knitwork impure merge
890,CCS(=O)(=O)NCc1ccncc1Cl,acceptable
897,CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,acceptable
915,CCS(=O)(=O)NCc1cnccc1C,acceptable
983,CCS(=O)(=O)NCC1CCCC2CC12,Knitwork impure merge
1191,CCS(=O)(=O)NCC1CCCN(Cc2cccc3ccccc23)C1,Knitwork impure merge
1194,CCS(=O)(=O)NCC1C=CCCCC1,acceptable
1345,CCS(=O)(=O)N(C)c1cccnc1,acceptable
1453,O=S(=O)(CCc1cnoc1)NC(c1ccncc1)C1CCC1,acceptable
1465,CCS(=O)(=O)NCC1CCCC2(CC2)C1,acceptable
1504,O=S(=O)(CCc1cnoc1)NC(c1cccnc1)C1CC1,acceptable
1548,O=S(=O)(CCc1cnoc1)NC(c1ccccc1)c1cccnc1,acceptable
2664,CC(NS(=O)(=O)CC#N)c1ncccn1,Knitwork impure merge
3098,CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,acceptable
3914,CCS(=O)(=O)NCC1CN(c2ncc(F)cn2)Cc2cncn21,Knitwork pure merge
4745,O=c1ccc(-c2cccnc2)nn1Cc1nsc2ccccc12,Knitwork impure merge
5226,CCOC(=O)Cn1nc(-c2cccnc2)ccc1=O,Knitwork impure merge
5802,CC(c1ccccc1)S(=O)(=O)NC(c1ncccn1)C1CC1,acceptable
5850,C=CC(C)(CC)NS(=O)(=O)c1cscn1,acceptable
5927,CC(NS(=O)(=O)CC(C)C(C)(F)F)c1nccs1,acceptable
