id,smiles
734,CC(C)n1cc(NC2=NCCCS2)cn1
772,CCS(=O)(=O)NCc1ncccc1OC
791,CCS(=O)(=O)NCc1ncccc1F
808,CCS(=O)(=O)NCc1nc(Cl)ccc1Br
850,CCS(=O)(=O)NCc1ccncc1C
852,CCS(=O)(=O)NCc1ncccc1C
856,CCS(=O)(=O)NCc1ncc(C)cc1C
885,CCS(=O)(=O)NCc1cnc(C)cc1C
886,CCS(=O)(=O)NCc1ncccc1Cl
890,CCS(=O)(=O)NCc1ccncc1Cl
897,CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1
915,CCS(=O)(=O)NCc1cnccc1C
1226,CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1
1345,CCS(=O)(=O)N(C)c1cccnc1
1443,CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1
2576,CC(C)(CO)NC(=O)N1CCC(c2ccon2)C1
2664,CC(NS(=O)(=O)CC#N)c1ncccn1
2829,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(C)cc2)C1
3075,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1
3098,CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1
6353,CCCS(=O)(=O)NC(C)c1cccnc1
7755,CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1
8588,CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1
28013,Cc1ccc(NC(=O)c2ccncc2)c2cccnc12
29639,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1
32376,c1ccc(N2CCOc3ccccc3C2)nc1
33434,CC(O)CNC(=O)Nc1cccc2cccnc12
34701,CC(O)CNC(=O)Nc1cccc2cc[nH]c12
36458,Cc1cnccc1NC(=O)Cc1coc2ccccc12
36844,CN1CCCc2ccc(NS(=O)(=O)c3cncs3)cc21
48706,Nc1nc(-c2nccc3ccccc23)cs1
49374,Cc1cccc(NC(=O)NCC(C)O)n1
53809,CC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2
54123,Cc1cn(C2CCCCC2)nc1NC(=O)NCC(C)O
55598,CC(O)CNC(=O)Nc1cccc(-n2cccn2)c1
55856,Cc1ccn(-c2cccc(NC(=O)NCC(C)O)c2)n1
66258,Cc1ncc(NC(=C2CCNN2)c2cccc(F)c2)s1
66259,Cc1c[nH]nc1-c1cccc(NC(=O)C2CCCO2)n1
66260,O=C(Nc1cc2cnccc2cn1)C1CCCO1
66261,O=C(Nc1cc2cncc(O)c2cn1)C1CCCO1
66262,Nc1cncc2cc(NC(=O)C3CCCO3)ncc12
66263,Nc1cc2cnc(NC(=O)C3CCCO3)cc2cn1
66264,O=C(Nc1cc2cnc(O)cc2cn1)C1CCCO1
66265,O=C(Nc1cc2cnc(O)cc2cn1)C1CCC[NH2+]1
66266,O=C(Nc1cc2cnc(O)cc2cn1)C1C[NH2+]CO1
66267,O=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1
66268,C=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1
66269,C=C(Nc1cc2cnc(N)cc2cn1)C1CCNO1
66270,NC(=O)Oc1cc2sc(=O)oc2cc1N
66271,NC(=O)Oc1cc2c(cc1N)OC(C1CCCO1)S2
66272,NC(=O)Oc1cc2c(cc1N)OC(C=C1CCNO1)S2
66273,NC(=O)Oc1cc2c(cc1N)OC(CC1CCNO1)S2
66274,Cc1ncc(C(=O)Oc2cc3c(cc2N)OC(C=C2CCNO2)S3)s1
66275,Cc1ncc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)s1
66276,Cc1nc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)c[nH]1
66277,COC1C(Oc2ccc(OC(C)=O)cc2)CC(c2cccs2)CC1C(=O)[O-]
66278,COC1c2c(sc3cc(OC(C)=O)ccc23)C(c2cccs2)CC1C(=O)[O-]
66279,COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3C12
66280,COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3OC12
66281,COC1CC(CC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-]
66282,COC1CC(ON2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-]
66283,COC1CC(OC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-]
66284,COC1CC(c2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-]
66285,COC1CC([n+]2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-]
66286,COC1CC(OCC[NH+](C)Cc2cccnc2)C(c2cccs2)CC1C(=O)[O-]
66287,COC1CC(OCc2ccn(Cc3cccnc3)c2)C(c2cccs2)CC1C(=O)[O-]
66288,COC1CC(C2CC[NH+](Cc3cccnc3)CC2)CCC1C(=O)[O-]
67410,N#Cc1nc[nH]c1Nc1cccn1Cc1cccnc1
68384,Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21
68667,CCS(=O)(=O)NCc1ccc2c(c1)OC(Oc1ccc(S(=O)(=O)N3CCNCC3)cc1)O2
69322,NC(c1ccccc1)c1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1
