https://fragalysis.diamond.ac.uk/viewer/react/projects/279/271,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,fragmenstein_runtime,HIPPO Pose ID,HIPPO Compound ID,_id,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,merge_set,name,compound_set,inspiration_1,inspiration_2,inspiration_3,green,green-text,apricot,apricot-text,red,red-text,blue,blue-text,purple,purple-text
CC(C)n1cc(NC2=NCCCS2)cn1,[2.4448459148406982],34825,734,1944,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211006/C734-P174'],['acceptable'],['expansion'],[''],QOAMYTSWHMHASV-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_pure,v1a,Retro_OK_batch1-2024-12-10-A,z0767a,z0892b,,TRUE,YES,,,,,,,,
C[C@@H](Cn1cccn1)NC1=NCCCS1,[2.6352226734161377],34829,743,1945,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211006/C743-P174'],['acceptable'],['expansion'],[''],DOGOWZSMZXLRRH-VIFPVBQESA-N,RdRp_knitwork_cavity_b_pure,v2a,Retro_OK_batch1-2024-12-10-A,z0767a,z0892b,,,,TRUE,MAYBE,,,,,,
c1cc2cc(N3CCCCC3)ccc2[nH]1,[1.7785589694976807],35313,234,3605,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C234-P174'],['acceptable'],['expansion'],[''],XRMSPKKKPYMDOG-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_impure,v15a,Retro_OK_batch1-2024-12-10-A,z0136b,z0892b,,TRUE,YES,,,,,,,,
O=C(CCCn1ccc2cc(Cl)ccc21)O[C@@H]1CCSC1,[2.54469895362854],35862,293,3607,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C293-P174'],['acceptable'],['expansion'],[''],QRBNIDTXZBTKIO-CQSZACIVSA-N,RdRp_knitwork_cavity_b_impure,v16b,Retro_OK_batch1-2024-12-10-A,z0136b,z0892b,,,,,,TRUE,NO,TRUE,SOLVENT,,
c1cc(N2CCCC2)ncn1,[1.7932722568511963],36977,341,3610,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C341-P174'],['acceptable'],['expansion'],[''],WZRAVWCMDRGDQR-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_impure,v20a,Retro_OK_batch1-2024-12-10-A,z0892b,z0968a,,,,,,TRUE,NO,,,TRUE,BORING
CN(c1cccnc1)S(=O)(=O)CCC1Cc2ccccc2C1,[3.6874194145202637],34833,970,3612,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211011/C970-P17'],['acceptable'],['expansion'],[''],IOQRFKORLYPZRB-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v22a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,,,,,,TRUE,NO,TRUE,SOLVENT,,
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,[18.919159412384033],34914,778,3613,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C778-P17'],['acceptable'],['expansion'],[''],RJXWTYLZNOTJGF-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v23a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,d0615a,,,TRUE,MAYBE,,,,,,
CCS(=O)(=O)NCc1ncccc1F,[1.3924477100372314],50469,791,3615,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C791-P50'],['acceptable'],['expansion'],[''],VUWLOCLKMVGYPC-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v25a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,d0615a,TRUE,YES,,,,,,,,
CCS(=O)(=O)NCc1ncccc1Cl,[2.2065699100494385],50612,886,3619,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C886-P17'],['acceptable'],['expansion'],[''],QXEWTLBETOJJBD-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v29a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,d0615a,TRUE,YES,,,,,,,,
CCS(=O)(=O)NCc1ccncc1Cl,[1.9352526664733887],50614,890,3621,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C890-P17'],['acceptable'],['expansion'],[''],XDGUIPBTSIDPMH-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v31a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,d0615a,TRUE,YES,,,,,,,,
CCS(=O)(=O)NCc1ccncc1Cl,[1.9639780521392822],35410,890,3622,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C890-P29'],['acceptable'],['expansion'],[''],XDGUIPBTSIDPMH-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v31b,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,,TRUE,YES,,,,,,,,
CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,[6.457012414932251],35422,897,3623,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C897-P29'],['acceptable'],['expansion'],[''],ZPBHINXHGPMFIS-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v33a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,d0615a,TRUE,YES,,,,,,,,
CN(c1cccnc1)S(=O)(=O)CC[C@@H]1CCCO1,[1.630157470703125],35589,1941,3625,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211011/C1941-P17'],['acceptable'],['expansion'],[''],KASFEWYKOHRUDR-LBPRGKRZSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v35a,Retro_OK_batch1-2024-12-10-A,d0174a,d0279a,,,,,,TRUE,NO,,,,
CC(C)c1ccc(N(C)S(=O)(=O)CC[C@@H]2CCCOC2)cc1,[30.923250198364258],37652,2838,3630,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C2838-P33'],['acceptable'],['expansion'],[''],DBTIAPJFFWHBSF-HNNXBMFYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v40a,Retro_OK_batch1-2024-12-10-A,d0174a,d0376a,,,,,,TRUE,NO,,,,
