Retro_OK_batch1-2024-12-10-A,,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,name,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,_id,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,merge_set,inspiration_1,inspiration_2,inspiration_3,inspiration_4,inspiration_5,inspiration_6,purple,purple-text,green,green-text,blue,blue-text,red,red-text
CC(C)n1cc(NC2=NCCCS2)cn1,v1a,[2.4448459148406982],0.64195,34825,734,1944,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211006/C734-P174'],['acceptable'],['expansion'],[''],QOAMYTSWHMHASV-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_pure,z0767a,z0892b,,,,,,,,,,,,
C[C@@H](Cn1cccn1)NC1=NCCCS1,v2a,[2.6352226734161377],0.605657,34829,743,1945,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211006/C743-P174'],['acceptable'],['expansion'],[''],DOGOWZSMZXLRRH-VIFPVBQESA-N,RdRp_knitwork_cavity_b_pure,z0767a,z0892b,,,,,,,,,,,,
c1cc2cc(N3CCCCC3)ccc2[nH]1,v15a,[1.7785589694976807],0.853591,35313,234,3605,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C234-P174'],['acceptable'],['expansion'],[''],XRMSPKKKPYMDOG-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_impure,z0136b,z0892b,,,,,,,,,,,,
O=C(CCCn1ccc2cc(Cl)ccc21)O[C@@H]1CCSC1,v16b,[2.54469895362854],0.422302,35862,293,3607,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C293-P174'],['acceptable'],['expansion'],[''],QRBNIDTXZBTKIO-CQSZACIVSA-N,RdRp_knitwork_cavity_b_impure,z0136b,z0892b,,,,,,,,,,,,
c1cc(N2CCCC2)ncn1,v20a,[1.7932722568511963],0.585647,36977,341,3610,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211008/C341-P174'],['acceptable'],['expansion'],[''],WZRAVWCMDRGDQR-UHFFFAOYSA-N,RdRp_knitwork_cavity_b_impure,z0892b,z0968a,,,,,,,,,,,,
CN(c1cccnc1)S(=O)(=O)CCC1Cc2ccccc2C1,v22a,[3.6874194145202637],0.34664,34833,970,3612,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211011/C970-P17'],['acceptable'],['expansion'],[''],IOQRFKORLYPZRB-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,,,,,TRUE,experimental,,,,,,
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,v23a,[18.919159412384033],0.726058,34914,778,3613,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C778-P17'],['acceptable'],['expansion'],[''],RJXWTYLZNOTJGF-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,,,TRUE,okay,,,,
CCS(=O)(=O)NCc1ncccc1F,v25a,[1.3924477100372314],0.794723,50469,791,3615,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C791-P50'],['acceptable'],['expansion'],[''],VUWLOCLKMVGYPC-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1ncccc1Cl,v29a,[2.2065699100494385],0.778155,50612,886,3619,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C886-P17'],['acceptable'],['expansion'],[''],QXEWTLBETOJJBD-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1ccncc1Cl,v31a,[1.9352526664733887],0.78709,50614,890,3621,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C890-P17'],['acceptable'],['expansion'],[''],XDGUIPBTSIDPMH-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1ccncc1Cl,v31b,[1.9639780521392822],0.740396,35410,890,3622,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C890-P29'],['acceptable'],['expansion'],[''],XDGUIPBTSIDPMH-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,v33a,[6.457012414932251],0.807059,35422,897,3623,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C897-P29'],['acceptable'],['expansion'],[''],ZPBHINXHGPMFIS-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,,,,,TRUE,good,,
CN(c1cccnc1)S(=O)(=O)CC[C@@H]1CCCO1,v35a,[1.630157470703125],0.406091,35589,1941,3625,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211011/C1941-P17'],['acceptable'],['expansion'],[''],KASFEWYKOHRUDR-LBPRGKRZSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0279a,,,,,TRUE,experimental,,,,,,
CC(C)c1ccc(N(C)S(=O)(=O)CC[C@@H]2CCCOC2)cc1,v40a,[30.923250198364258],0.490406,37652,2838,3630,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C2838-P33'],['acceptable'],['expansion'],[''],DBTIAPJFFWHBSF-HNNXBMFYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0376a,,,,,,,,,,,TRUE,bad
O=c1ccc(-c2cccnc2)nn1Cc1nsc2ccccc12,v42a,[1.401735544204712],0.566179,54989,4745,3632,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211013/C4745-P50'],['acceptable'],['expansion'],[''],,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0379a,d0615a,,,,,,,,,,,TRUE,bad
CCOC(=O)Cn1nc(-c2cccnc2)ccc1=O,v44a,[1.302415370941162],0.680574,38668,5226,3634,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C5226-P50'],['acceptable'],['expansion'],[''],WQFINYMUCSQZFC-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0379a,d0615a,,,,,,,,,,,TRUE,bad
CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,v46a,[2.9241421222686768],0.658673,39464,7755,3636,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C7755-P17'],['acceptable'],['expansion'],[''],IYFJGUVPMIFAOX-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0693a,,,,,,,,,TRUE,good,,
Cc1cnc(CC(=O)NCc2ccc(=O)[nH]n2)s1,v49a,[1.5086815357208252],0.468594,40169,1569,3639,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1569-P50'],['acceptable'],['expansion'],[''],CZGWIYIRARQRDB-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0379a,d0615a,,,,,,,,,,,TRUE,bad
O=C(O)c1csc(-c2ccc(=O)[nH]n2)n1,v50a,[0.9024758338928223],0.502483,40318,1778,3640,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1778-P50'],['acceptable'],['expansion'],[''],ZWWLQMAPQZXPRQ-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0379a,d0615a,,,,,,,,,,,TRUE,bad
NCc1csc(-c2ccc(=O)[nH]n2)n1,v51a,[0.9554290771484375],0.581029,40384,1905,3641,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1905-P50'],['acceptable'],['expansion'],[''],ACHLSFBFHYJWMS-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0379a,d0615a,,,,,,,,,,,TRUE,bad
CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,v52a,[2.4309237003326416],0.711729,41842,1226,3642,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1226-P22'],['acceptable'],['expansion'],[''],LGAJFWJWFLCBPR-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0248a,d0376a,d0615a,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,v54a,[3.2291181087493896],0.66159,44789,8588,3644,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C8588-P33'],['acceptable'],['expansion'],[''],ZGDMPLGTNQKCSV-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0376a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1cn(CCCn2cncn2)nn1,v55b,[9.383780002593994],0.636863,44932,1623,3646,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1623-P33'],['acceptable'],['expansion'],[''],HGGFUOVXQYHLMH-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0376a,,,,,,,,,,,TRUE,bad
CN1C(C(=O)NC(C)(C)CO)=CC(c2cccs2)=NS1(=O)=O,v59a,[3.1714494228363037],0.587663,45299,1196,3649,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1196-P22'],['acceptable'],['expansion'],[''],MIMUCYDXYWWPLR-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0248a,d0376a,,,,,TRUE,experimental,,,,,,
CN1C(C(=O)NC(C)(C)CO)=CC(c2cccs2)=NS1(=O)=O,v59b,[3.542532444000244],0.580816,45300,1196,3650,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1196-P33'],['acceptable'],['expansion'],[''],MIMUCYDXYWWPLR-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0248a,d0376a,,,,,TRUE,experimental,,,,,,
O=S(=O)(CCc1cnoc1)N[C@H](c1cccnc1)C1CC1,v61a,[6.390786409378052],0.526764,55056,1504,3651,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211013/C1504-P17'],['acceptable'],['expansion'],[''],QXPKZAYBHAOLKZ-AWEZNQCLSA-N,RdRp_knitwork_thumb_site_2_impure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,TRUE,experimental,,,,,,
O=S(=O)(CCc1cnoc1)N[C@@H](c1ccccc1)c1cccnc1,v63a,[5.372358798980713],0.524753,55058,1548,3653,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211013/C1548-P17'],['acceptable'],['expansion'],[''],HLHAOIDDWWBQNL-KRWDZBQOSA-N,RdRp_knitwork_thumb_site_2_impure_fragalysis.sdf,d0174a,d0279a,d0615a,,,,TRUE,experimental,,,,,,
O=S(=O)(CCc1cnoc1)N[C@@H](c1ccccc1)c1cccnc1,v63b,[4.454814910888672],0.528558,55059,1548,3654,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211013/C1548-P50'],['acceptable'],['expansion'],[''],,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0615a,,,,,TRUE,experimental,,,,,,
CCS(=O)(=O)N(C)C1CCN(C(=O)Cc2cccnc2)CC1,v65a,[5.592968940734863],0.400538,47294,1237,3655,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C1237-P17'],['acceptable'],['expansion'],[''],KSAGREYJOMINST-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0615a,,,,,,,,,,,TRUE,bad
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,v70a,[8.980676412582397],0.653107,43154,1443,3660,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211014/C1443-P33'],['acceptable'],['expansion'],[''],,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0248a,d0376a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NC[C@H]1CC(=O)N(c2ccc(C)cc2)C1,v73a,[11.740421056747437],0.653868,48404,2829,3663,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C2829-P45'],['acceptable'],['expansion'],[''],RHYGREJDHHQRDC-GFCCVEGCSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0566a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NC[C@H]1CC(=O)N(c2ccc(Cl)cc2)C1,v74a,[10.632996082305908],0.652349,48487,3075,3664,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C3075-P45'],['acceptable'],['expansion'],[''],FOZSYKGVMKDKBV-SNVBAGLBSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0566a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NC[C@H]1CN(c2ncc(F)cn2)Cc2cncn21,v75a,[4.541534185409546],0.614491,48890,3914,3665,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C3914-P48'],['acceptable'],['expansion'],[''],WOVNUBZQLSDEHQ-LBPRGKRZSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0587a,,,,,TRUE,experimental,,,,,,
CCS(=O)(=O)NCc1ncccc1OC,v78a,[1.7414286136627197],0.764997,50417,772,3668,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C772-P50'],['acceptable'],['expansion'],[''],VJAXJNJKELENHP-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0615a,,,,,,,,,TRUE,good,,
CCS(=O)(=O)NCc1nc(Cl)ccc1Br,v80a,[1.5386583805084229],0.725355,50498,808,3670,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C808-P50'],['acceptable'],['expansion'],[''],KYKFBYOZGOXJTI-UHFFFAOYSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,d0174a,d0615a,,,,,,,,,TRUE,good,,
