Retro_OK_batch2-2024-12-12-A,,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,_id,merge_set,original ID,SLURM_JOB_NAME,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,inspiration_1,inspiration_2,inspiration_3,red,red-text,blue,blue-text,green,green-text,purple,purple-text
CCSc1cc(CNc2ccnc3ncnn23)ccn1,v1070a,217082,4.055598,0.538587,90011,37289,5178,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,RGMTXXNFYIWLIC-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch011,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch011.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217082/C37289-P141,acceptable,expansion,None,z0521a,z0637a,,TRUE,red,,,,,,
CCSc1cc(CNc2ccnc3ncnn23)ccn1,v1070b,217082,3.797915,0.550606,90022,37289,5179,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,RGMTXXNFYIWLIC-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch011,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch011.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217082/C37289-P151,acceptable,expansion,None,z0521a,z0637a,,TRUE,red,,,,,,
C[C@H](O)CNC(=O)Nc1cccc2cccnc12,v1072a,217087,3.506608,0.755516,90531,33434,5180,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,SHENAZADMNUPGS-VIFPVBQESA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C33434-P173,acceptable,expansion,None,z0211a,z0881a,,,,TRUE,blue,,,,
NS(=O)(=O)c1ccc2c(c1)N(CCCn1ccnc1)CCC2,v1073a,217086,4.037008,0.67809,91950,35077,5181,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,AUGXQYVBKOYOEW-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch015,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch015.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217086/C35077-P3,acceptable,expansion,None,d0378a,z0165a,,TRUE,red,,,,,,
NCCc1c(-c2coc3ccccc23)n[nH]c1O,v1074a,217084,2.703466,0.581167,91960,27414,5182,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,WMLKLTSICMLGPL-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch013,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch013.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217084/C27414-P153,acceptable,expansion,None,z0653a,3vws-b,,TRUE,red,,,,,,
C[C@@H](CNC(=O)c1ccc2ccncc2c1)NC(=O)c1cccnc1,v1075a,217078,8.219285,0.453593,92131,39036,5183,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,NGMHYAWKTPWVNO-ZDUSSCGKSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch007,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch007.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217078/C39036-P88,acceptable,expansion,None,d0472b,z0111a,,TRUE,red,,,,,,
N#Cc1cc(NCCNc2ccccn2)nc2ccccc12,v1076a,217072,2.264931,0.593043,92388,41734,5184,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,ZNQUYWFSWFLUNR-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch001,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217072/C41734-P208,acceptable,expansion,None,d0472b,z1040a,,TRUE,red,,,,,,
CCCN(Cc1cccnc1)C(=O)c1ccc2ccncc2c1,v1077a,217078,7.84256,0.460381,92414,39725,5185,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,QLRVEROBZFMMAP-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch007,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch007.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217078/C39725-P88,acceptable,expansion,None,d0472b,z0111a,,TRUE,red,,,,,,
Cc1cnc2c(S(=O)(=O)Nc3ccc4occc4c3)cccc2c1,v1078a,217085,9.303592,0.77905,92514,35265,5186,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,FJAHWBHLOHECIN-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch014,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch014.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217085/C35265-P218,acceptable,expansion,None,z1040a,3vws-a,,TRUE,red,,,,,,
c1ccc2c(c1)CCCN2c1ncc[nH]1,v1079a,217081,1.794953,0.542836,158454,36444,5187,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,OZQNHEUPTKNCJX-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch010,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch010.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217081/C36444-P1,acceptable,expansion,None,d0378a,z0165a,,TRUE,red,,,,,,
Cc1csc(CN(C)C(=O)[C@@H](N)Cc2coc3ccccc23)n1,v1080a,217087,3.882692,0.660965,93198,35403,5188,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,JSNLNJMSIGJZHJ-AWEZNQCLSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C35403-P120,acceptable,expansion,None,z0384a,3vws-b,,,,,,TRUE,green,,
O=C(Cc1coc2ccccc12)NC[C@H](O)CNCc1cscn1,v1081a,217087,4.960939,0.55528,93231,27296,5189,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,VCDAMRGTJSIZTQ-CQSZACIVSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C27296-P120,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
OCCCc1csc(-c2coc3ccccc23)n1,v1082a,217087,1.413161,0.566985,93276,40079,5190,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,BEIDEVIRYYMTEA-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C40079-P217,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
CCc1csc(CC(=O)NCc2coc3ccccc23)n1,v1083a,217087,2.639988,0.682487,93280,40128,5191,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,SRYFBRJFOUWKMY-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C40128-P120,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
CC(C)c1csc(CCNS(=O)(=O)c2coc3ccccc23)n1,v1084a,217087,3.121223,0.661135,93386,40644,5192,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,REQQRHJKXWKXRR-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C40644-P120,acceptable,expansion,None,z0384a,3vws-b,,,,,,TRUE,green,,
C[C@@H](CN)c1nc(-c2coc3ccccc23)cs1,v1085a,217087,1.248496,0.665307,93617,30798,5193,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,XIUWUNNPFYGYCI-VIFPVBQESA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C30798-P120,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
C[C@@H](CN)c1nc(-c2coc3ccccc23)cs1,v1085b,217087,2.105136,0.63609,93622,30798,5194,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,XIUWUNNPFYGYCI-VIFPVBQESA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C30798-P217,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
O=C(O)c1csc(CNC(=O)c2coc3ccccc23)n1,v1087a,217087,2.307572,0.509871,93673,31217,5195,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,CCIXLUDZRVPTCG-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch016.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217087/C31217-P120,acceptable,expansion,None,z0384a,3vws-b,,TRUE,red,,,,,,
Clc1cnn(CCn2ccnc2)c1,v1088a,217073,1.719343,0.617179,93705,30595,5196,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,UGIJUCBEMPTCDJ-UHFFFAOYSA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch002,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217073/C30595-P1,acceptable,expansion,None,d0378a,z0936a,,TRUE,red,,,,,,
Cc1nc(CN[C@@H](Cc2cn[nH]c2)C(=O)O)cs1,v1089a,217076,4.323134,0.478204,93813,9247,5197,RdRp_knitwork_green_site_rna_tunnel_pure_fragalysis.sdf,RLGKORWBBRTJHJ-JTQLQIEISA-N,BulkDock.place:Flavi_NS5_RdRp:RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch005,RdRp_knitwork_green_site_rna_tunnel_pure_split4000_batch005.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217076/C9247-P136,acceptable,expansion,None,z0496a,z0628a,,TRUE,red,,,,,,
