smiles,hit0,hit1
[H]c1c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c(C([H])([H])N([H])[H])c([H])c2c1[H],z0136b,z0184a
[H]OC([H])([H])c1c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c(Cl)c([H])c2c1C([H])([H])[H],z0136b,z0207a
[H]c1[nH]c2c(N([H])C(=O)C([H])([H])[H])c([H])c([H])c(C([H])([H])C(=O)N3C([H])([H])C(=O)N([H])C([H])([H])C3([H])[H])c2c1[H],z0136b,z0397a
[H]c1n[nH]c(N(C(=O)C([H])([H])[H])c2c([H])c([H])c([H])c3c([H])c([H])[nH]c23)c1[H],z0136b,z0481b
[H]c1[nH]c2c(N([H])C(=O)C([H])([H])[H])c(S(=O)(=O)N([H])[H])c([H])c([H])c2c1[H],z0136b,z0625b
[H]c1c([H])c([H])c2c([H])c(Br)[nH]c2c1N([H])C(=O)C([H])([H])[H],z0136b,z0767a
[H]c1c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c([H])c2c([H])c(C([H])([H])[H])[nH]c2c1N([H])C(=O)C([H])([H])[H],z0136b,z0892b
[H]O[C@@]1(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])c2c([nH]c([H])c2[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H],z0136b,z0898a
[H]c1c([H])c2c(c(C([H])([H])C([H])([H])[H])c1[H])N([H])[C@@]([H])(N([H])C(=O)N([H])[H])[C@](O)(C([H])([H])[H])N2[H],z0136b,z0903c
[H]Oc1c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2c(c1[H])c([H])c([H])n2F,z0136b,z0927a
[H]Oc1c([H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c([H])c([H])c2c1[H],z0136b,z0968a
[H]c1[nH]c2c([C@@](C(=O)C([H])([H])[H])(N([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2c1[H],z0136b,z0991b
[H]N([H])C([H])([H])[C@@]1([H])N([H])[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])[C@]2([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],z0184a,z0136b
[H]N([H])C([H])([H])C(=O)N([H])[C@@]1([H])C([H])([H])C2=C(O[C@@]3([H])N2C([H])([H])[C@@]([H])(C([H])([H])[H])N([H])C3([H])[H])C([H])([H])C1([H])[H],z0184a,z0186a
[H]N([H])C([H])([H])[C@]1([H])C([H])([H])N([H])[C@@]([H])(N([H])C([H])([H])[H])[C@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])C1([H])[H],z0184a,z0207a
[H]C1C([H])[C@H]([H])C([H])O[C@H]([H])[C@@H]([C@]2([H])N([H])C([H])([H])C(=O)N([H])C2([H])[H])O[C@@H]1C([H])([H])C([H])([H])[H],z0184a,z0397a
[H]c1n[nH]c(C([H])([H])[C@@]2([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])C23N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])N([H])[H])c1[H],z0184a,z0481b
[H]c1c([H])c2c(c(C([H])([H])[H])c1N([H])C(=O)C([H])([H])N([H])[H])C([H])([H])S(=O)(=O)N2C([H])([H])[H],z0184a,z0625b
[H]OC([H])([H])C([H])([H])N1[C@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]1([H])C([H])([H])N([H])[H],z0184a,z0767a
[H]c1c([H])c(N([H])C(=O)C([H])([H])N([H])[H])c([H])c([H])c1OC1=S([H])C([H])([H])C([H])([H])C([H])([H])N1[H],z0184a,z0892b
[H]/C(=C(\c1c([H])c([H])c(N([H])C(=O)C([H])([H])N([H])[H])c([H])c1[H])C([H])([H])[H])N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],z0184a,z0898a
[H]c1c(C([H])([H])N([H])[H])c([H])c([C@]2(C([H])([H])C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c1C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[H],z0184a,z0903c
[H]Oc1c([H])c(N([H])C(=O)C([H])([H])N([H])[H])c(C([H])([H])[H])c([H])c1OC([H])([H])[H],z0184a,z0927a
[H]O[C@]1([H])C([H])([H])[C@]2(C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])C2([H])[H],z0184a,z0968a
[H]N1C([H])([H])C([H])([H])[C@]2(C([H])([H])C3=C(C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])C([H])([H])[C@@]2([H])C(=O)C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[H],z0186a,z0136b
[H]O[C@@]1([H])N(C(=O)c2c([H])c(C([H])([H])N([H])C([H])([H])N([H])[H])c([H])c([H])c2F)C([H])([H])[C@@]([H])(C([H])([H])[H])N([H])C1([H])[H],z0186a,z0184a
