,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,[H]c1c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c(C([H])([H])N([H])[H])c([H])c2c1[H],,11.906717945012957,165.12281385056457,153.2160959055516,2.810197330540822,17.0,0.0,4.130812644958496,"['z0136b', 'z0184a']",[],-0.7003951732360563,too moved,24.0
1,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
2,[H]OC([H])([H])c1c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c(Cl)c([H])c2c1C([H])([H])[H],,-63.09546903919484,109.10967010774142,172.20513914693626,2.93632245545885,18.0,0.0,1.9062163829803467,"['z0136b', 'z0207a']",[],3.5053038355108246,too moved,28.0
3,[H]c1[nH]c2c(N([H])C(=O)C([H])([H])[H])c([H])c([H])c(C([H])([H])C(=O)N3C([H])([H])C(=O)N([H])C([H])([H])C3([H])[H])c2c1[H],,-38.92960796950163,130.6889876250166,169.61859559451824,3.583051324908459,23.0,0.0,7.030727386474609,"['z0136b', 'z0397a']",[],1.692591650847897,too moved,44.0
4,[H]c1n[nH]c(N(C(=O)C([H])([H])[H])c2c([H])c([H])c([H])c3c([H])c([H])[nH]c23)c1[H],,6.574953719750184,52.86361566277081,46.28866194302063,3.631503084764127,18.0,0.0,2.478273630142212,"['z0136b', 'z0481b']",[],-0.365275206652788,too moved,28.0
5,[H]c1[nH]c2c(N([H])C(=O)C([H])([H])[H])c(S(=O)(=O)N([H])[H])c([H])c([H])c2c1[H],,-9.129225018624311,-83.34363567735831,-74.214410658734,2.553664893368916,17.0,0.0,1.504777431488037,"['z0136b', 'z0625b']",[],0.5370132363896654,too moved,24.0
6,[H]c1c([H])c([H])c2c([H])c(Br)[nH]c2c1N([H])C(=O)C([H])([H])[H],,-57.666278577877904,-48.1978655218559,9.468413056022001,3.067251166895961,14.0,0.0,1.2214953899383545,"['z0136b', 'z0767a']",[],4.11901989841985,too moved,8.0
7,[H]c1c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c([H])c2c([H])c(C([H])([H])[H])[nH]c2c1N([H])C(=O)C([H])([H])[H],,-40.53036330250305,28.953931277966774,69.48429458046982,2.6145476930857576,21.0,0.0,4.012399196624756,"['z0136b', 'z0892b']",[],1.9300173001191927,too moved,39.0
8,[H]O[C@@]1(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])c2c([nH]c([H])c2[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H],,-16.698754136322123,17.90228980855892,34.60104394488104,3.344749035055714,20.0,0.0,2.8722572326660156,"['z0136b', 'z0898a']",[],0.8349377068161061,too moved,35.0
9,[H]c1c([H])c2c(c(C([H])([H])C([H])([H])[H])c1[H])N([H])[C@@]([H])(N([H])C(=O)N([H])[H])[C@](O)(C([H])([H])[H])N2[H],,-65.75371130171064,143.31180813398342,209.06551943569406,3.5151015504083416,18.0,0.0,4.328810691833496,"['z0136b', 'z0903c']",[],3.6529839612061465,too moved,28.0
10,[H]Oc1c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])c2c(c1[H])c([H])c([H])n2F,,-27.959570000630364,-39.874288753406844,-11.91471875277648,2.7515303324394917,16.0,0.0,1.7648248672485352,"['z0136b', 'z0927a']",[],1.7474731250393978,too moved,19.0
11,[H]Oc1c([H])c(N([H])C(=O)C([H])([H])[H])c2[nH]c([H])c([H])c2c1[H],,-42.28538860404668,-76.12222522397877,-33.83683661993209,2.760052707479621,14.0,0.0,1.0756325721740723,"['z0136b', 'z0968a']",[],3.0203849002890486,too moved,8.0
12,[H]c1[nH]c2c([C@@](C(=O)C([H])([H])[H])(N([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2c1[H],,-15.25591655829438,16.675840674545874,31.931757232840255,2.2957256514944593,15.0,0.0,0.7517707347869873,"['z0136b', 'z0991b']",[],1.017061103886292,equally sized,14.0
13,[H]N([H])C([H])([H])[C@@]1([H])N([H])[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])[C@]2([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],,,,252.62249821031423,3.669078467602772,18.0,0.0,5.263543605804443,"['z0184a', 'z0136b']",[],,crashed,45.0
14,[H]N([H])C([H])([H])C(=O)N([H])[C@@]1([H])C([H])([H])C2=C(O[C@@]3([H])N2C([H])([H])[C@@]([H])(C([H])([H])[H])N([H])C3([H])[H])C([H])([H])C1([H])[H],,,,340.1590989318922,2.6792907146373013,19.0,0.0,2.511838674545288,"['z0184a', 'z0186a']",[],,crashed,37.0
15,[H]N([H])C([H])([H])[C@]1([H])C([H])([H])N([H])[C@@]([H])(N([H])C([H])([H])[H])[C@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])C1([H])[H],,,,273.1847710587181,3.02530696085092,17.0,0.0,3.2174489498138428,"['z0184a', 'z0207a']",[],,crashed,42.0
