smiles,hit0,hit1
[H]c1nnc(-c2c([H])c([H])c(C([H])([H])N([H])[C@]([H])(n3c(C([H])([H])C#N)nc([H])c3[H])C(F)(F)F)c([H])c2OC([H])([H])[H])o1,d0378a,d0411b
[H]c1nnc(-c2c([H])c(N([H])c3nc(C([H])([H])C#N)n(C([H])([H])C(F)(F)F)c3[H])c([H])c([H])c2OC([H])([H])[H])o1,d0378a,d0411a
[H]N([H])N(C([H])([H])[C@]([H])(N([H])[H])C([H])([H])N([H])[H])C([H])([H])[C@]([H])(N([H])C([H])([H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H],d0378a,d0472b
[H]c1nc(C([H])([H])C#N)n(C([H])([H])C(=S)N([H])c2c([H])c([H])c([H])c([H])c2N([H])C(F)(F)F)c1[H],d0378a,d0741a
[H]c1c([H])c(C([H])(F)F)c2c(c1[H])[C@@]1(C([H])([H])N2C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])N([H])[C@]1([H])C([H])([H])C#N,d0378a,z0041a
[H]C1=C2C3=C(N(C([H])([H])[H])[C@]2([H])F)C([H])([H])C([H])([H])[C@]2(C3=N1)C([H])([H])C([H])([H])N([H])[C@]2([H])C([H])([H])C#N,d0378a,z0107a
[H]N1c2c(C([H])([H])[H])nc(C([H])([H])C#N)n2[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],d0378a,z0111a
[H]C1N[C@H]2[C@@H](C1[H])C([H])([H])C([H])([H])C([H])([H])[C@@H]1N2[C@@]([H])(C([H])([H])C#N)N([H])C1([H])[H],d0378a,z0136a
[H]O[C@]1([H])N([H])[C@]([H])([C@@]([H])(C#N)N([H])[H])N(C([H])([H])C([H])(F)F)[C@]12c1nc(C([H])([H])[H])sc1C([H])([H])C([H])([H])C2([H])[H],d0378a,z0200a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)[C@]1([H])N([H])[C@]([H])(C([H])([H])C#N)N(C([H])([H])C([H])(F)F)C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],d0378a,z0211a
[H]c1n[nH]c(-c2c(-n3c(C([H])([H])C#N)nc([H])c3[H])c([H])c(F)c([H])c2C([H])(F)F)c1[H],d0378a,z0215a
[H]Oc1c([H])c([H])c(F)c(N(C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])[H])c1OC([H])([H])[H],d0378a,z0221a
[H]N1C([H])([H])[C@]([H])(C([H])([H])C#N)[C@@]23C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])(F)F)[C@@]2([H])OC([H])([H])O[C@@]13[H],d0378a,z0309a
[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])[C@@]([H])(N1C([H])([H])C(F)(F)C(=O)[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C#N,d0378a,z0351a
[H]N1C([H])([H])C([H])([H])N(C([H])([H])C(F)(F)F)[C@@]12N([H])C([H])([H])[C@@](C#N)(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],d0378a,z0364a
[H]ON1[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]2([C@@]([H])(C([H])([H])[H])C([H])([H])S[C@@]2([H])N([H])[H])[C@@]1([H])C([H])([H])C#N,d0378a,z0384a
[H]C1=C2[C@H](N)[C@]3([H])N(C([H])([H])C([H])([H])N([H])C3([H])[H])C([H])([H])C([H])([H])N3[C@@]2([H])C([H])([H])[C@@]1([H])N([H])c1c(C([H])([H])[H])c([H])c([H])c(F)c1[C@]3([H])C([H])(F)F,d0378a,z0386a
[H]C([H])(F)O[C@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])C#N)C([H])([H])[C@@]3([H])C([H])([H])N(N4C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C4([H])[H])C([H])([H])[C@]32C([H])([H])C1([H])[H],d0378a,z0483a
[H]N([H])[C@@H]1NC2:C(C([H])([H])[C@]([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])NC(N([H])C([H])([H])C([H])([H])[H]):C(C#N):C2S1,d0378a,z0496a
[H]C1=NC(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(F)OC([H])([H])C([H])([H])[H]):C([H]):C1N([H])C([H])([H])C([H])([H])C#N,d0378a,z0519a
[H]c1nc2c([nH]1)c([C@@]([H])(C(F)(F)OC([H])([H])[H])C([H])([H])C([H])([H])[H])c(C([H])([H])C#N)n2C([H])([H])[H],d0378a,z0521a
[H]ON(c1nc(C([H])([H])C#N)n2c1C([H])([H])C([H])([H])Oc1c-2c([H])c([H])c([H])c1C([H])(F)F)C([H])([H])C([H])([H])[H],d0378a,z0581a
