,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
1,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
2,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
3,[H]c1nnc(-c2c([H])c([H])c(C([H])([H])N([H])[C@]([H])(n3c(C([H])([H])C#N)nc([H])c3[H])C(F)(F)F)c([H])c2OC([H])([H])[H])o1,,375.08145189983674,678.2872082191669,303.2057563193302,1.9468459720681466,26.0,2.0,6.38981819152832,"['d0378a', 'd0411b']",[],-13.395766139279884,too moved,50.0
4,[H]c1nnc(-c2c([H])c(N([H])c3nc(C([H])([H])C#N)n(C([H])([H])C(F)(F)F)c3[H])c([H])c([H])c2OC([H])([H])[H])o1,,,,,0.0,26.0,1.0,2.1724801063537598,"['d0378a', 'd0411a']",[],,crashed,50.0
5,[H]N([H])N(C([H])([H])[C@]([H])(N([H])[H])C([H])([H])N([H])[H])C([H])([H])[C@]([H])(N([H])C([H])([H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H],,-6.86205545410121,365.125100912937,371.9871563670382,2.7320920704799794,18.0,0.0,9.849611759185791,"['d0378a', 'd0472b']",[],0.38122530300562274,too moved,45.0
6,[H]c1nc(C([H])([H])C#N)n(C([H])([H])C(=S)N([H])c2c([H])c([H])c([H])c([H])c2N([H])C(F)(F)F)c1[H],,,,,0.0,22.0,1.0,2.5419554710388184,"['d0378a', 'd0741a']",[],,crashed,41.0
7,[H]c1c([H])c(C([H])(F)F)c2c(c1[H])[C@@]1(C([H])([H])N2C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])N([H])[C@]1([H])C([H])([H])C#N,,26.233252245688107,226.9994445850344,200.7661923393463,1.662841456153907,21.0,0.0,3.0759103298187256,"['d0378a', 'z0041a']",[],-1.2492024878899097,too moved,48.0
8,[H]C1=C2C3=C(N(C([H])([H])[H])[C@]2([H])F)C([H])([H])C([H])([H])[C@]2(C3=N1)C([H])([H])C([H])([H])N([H])[C@]2([H])C([H])([H])C#N,,17.534254485721647,419.12752659574375,401.5932721100221,2.1587397254112415,20.0,0.0,4.567475080490112,"['d0378a', 'z0107a']",[],-0.8767127242860824,too moved,45.0
9,[H]N1c2c(C([H])([H])[H])nc(C([H])([H])C#N)n2[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],,10.944623243475064,254.71126900230897,243.7666457588339,2.140796768734068,17.0,0.0,3.6524088382720947,"['d0378a', 'z0111a']",[],-0.6438013672632391,too moved,48.0
10,[H]C1N[C@H]2[C@@H](C1[H])C([H])([H])C([H])([H])C([H])([H])[C@@H]1N2[C@@]([H])(C([H])([H])C#N)N([H])C1([H])[H],,-22.064912460124447,199.93543082169992,222.00034328182437,2.1020617775720463,16.0,0.0,2.997117519378662,"['d0378a', 'z0136a']",[],1.379057028757778,too moved,50.0
11,[H]O[C@]1([H])N([H])[C@]([H])([C@@]([H])(C#N)N([H])[H])N(C([H])([H])C([H])(F)F)[C@]12c1nc(C([H])([H])[H])sc1C([H])([H])C([H])([H])C2([H])[H],,-69.45734138784263,407.1042544805708,476.5615958684134,1.910710874520498,23.0,0.0,5.957411527633667,"['d0378a', 'z0200a']",[],3.019884408167071,too moved,48.0
12,[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)[C@]1([H])N([H])[C@]([H])(C([H])([H])C#N)N(C([H])([H])C([H])(F)F)C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],,-3.8462162246606226,428.70521553355053,432.55143175821115,2.2096939480388853,24.0,0.0,14.101682901382446,"['d0378a', 'z0211a']",[],0.16025900936085927,too moved,50.0
13,[H]c1n[nH]c(-c2c(-n3c(C([H])([H])C#N)nc([H])c3[H])c([H])c(F)c([H])c2C([H])(F)F)c1[H],,22.670293278043516,372.9179635580439,350.24767028000036,2.0697363284119024,23.0,0.0,2.4152770042419434,"['d0378a', 'z0215a']",[],-0.9856649251323268,too moved,48.0
14,[H]Oc1c([H])c([H])c(F)c(N(C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])[H])c1OC([H])([H])[H],,-4.067363843840042,313.56154010053524,317.6289039443753,2.919879688056667,23.0,0.0,11.730492353439331,"['d0378a', 'z0221a']",[],0.17684190625391485,too moved,44.0
15,[H]N1C([H])([H])[C@]([H])(C([H])([H])C#N)[C@@]23C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])(F)F)[C@@]2([H])OC([H])([H])O[C@@]13[H],,,,,0.0,18.0,2.0,2.4892446994781494,"['d0378a', 'z0309a']",[],,crashed,45.0
16,[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])[C@@]([H])(N1C([H])([H])C(F)(F)C(=O)[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C#N,,94.31889200834667,579.8610715842461,485.54217957589947,1.979505239837212,27.0,0.0,21.79560160636902,"['d0378a', 'z0351a']",[],-3.493292296605432,too moved,49.0
17,[H]N1C([H])([H])C([H])([H])N(C([H])([H])C(F)(F)F)[C@@]12N([H])C([H])([H])[C@@](C#N)(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],,,,,0.0,20.0,1.0,2.206995725631714,"['d0378a', 'z0364a']",[],,crashed,40.0
18,[H]ON1[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]2([C@@]([H])(C([H])([H])[H])C([H])([H])S[C@@]2([H])N([H])[H])[C@@]1([H])C([H])([H])C#N,,-3.795507714994585,286.65916136879804,290.4546690837926,1.962369102690668,17.0,0.0,3.2992141246795654,"['d0378a', 'z0384a']",[],0.22326515970556382,too moved,48.0
19,[H]C1=C2[C@H](N)[C@]3([H])N(C([H])([H])C([H])([H])N([H])C3([H])[H])C([H])([H])C([H])([H])N3[C@@]2([H])C([H])([H])[C@@]1([H])N([H])c1c(C([H])([H])[H])c([H])c([H])c(F)c1[C@]3([H])C([H])(F)F,,,,,0.0,26.0,3.0,3.2875497341156006,"['d0378a', 'z0386a']",[],,crashed,43.0
20,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
21,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
22,[H]C([H])(F)O[C@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])C#N)C([H])([H])[C@@]3([H])C([H])([H])N(N4C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C4([H])[H])C([H])([H])[C@]32C([H])([H])C1([H])[H],,,,,0.0,22.0,4.0,3.111436128616333,"['d0378a', 'z0483a']",[],,crashed,46.0
23,[H]N([H])[C@@H]1NC2:C(C([H])([H])[C@]([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])NC(N([H])C([H])([H])C([H])([H])[H]):C(C#N):C2S1,,31.785255130342932,339.82692659277166,308.0416714624287,2.8790900241964197,21.0,0.0,10.664882183074951,"['d0378a', 'z0496a']",[],-1.5135835776353777,too moved,39.0
24,[H]C1=NC(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(F)OC([H])([H])C([H])([H])[H]):C([H]):C1N([H])C([H])([H])C([H])([H])C#N,,,,,0.0,18.0,1.0,2.259587526321411,"['d0378a', 'z0519a']",[],,crashed,39.0
25,[H]c1nc2c([nH]1)c([C@@]([H])(C(F)(F)OC([H])([H])[H])C([H])([H])C([H])([H])[H])c(C([H])([H])C#N)n2C([H])([H])[H],,28.199417385173405,204.37456783957475,176.17515045440135,1.9049367550421503,20.0,0.0,2.673633575439453,"['d0378a', 'z0521a']",[],-1.4099708692586703,too moved,35.0
26,[H]ON(c1nc(C([H])([H])C#N)n2c1C([H])([H])C([H])([H])Oc1c-2c([H])c([H])c([H])c1C([H])(F)F)C([H])([H])C([H])([H])[H],,,,,0.0,22.0,2.0,2.148273229598999,"['d0378a', 'z0581a']",[],,crashed,50.0
27,[H]N1C([H])([H])C([H])([H])[C@@]2([C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(F)C([H])([H])[C@]2([H])F)[C@@]1([H])[C@@](O)(C#N)N([H])C([H])([H])F,,,,,0.0,19.0,1.0,2.536973476409912,"['d0378a', 'z0625a']",[],,crashed,48.0
28,[H]OC(=O)c1c([H])nn(OC([H])([H])F)c1-n1c(C([H])([H])C#N)nc(C([H])([H])[H])c1[H],,,,,0.0,19.0,1.0,1.9312734603881836,"['d0378a', 'z0628a']",[],,crashed,48.0
29,[H]N1C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@]([H])(N2C([H])([H])C([H])([H])N([H])[C@]2([H])C([H])([H])C#N)C([H])([H])[C@@]2([H])N(C([H])([H])F)C([H])([H])C2([H])[H])C1([H])[H],,,,,0.0,21.0,1.0,2.7290308475494385,"['d0378a', 'z0637a']",[],,crashed,48.0
30,[H]OC([H])([H])[C@]1([H])C([H])([H])N([H])[C@]([H])(C([H])([H])C#N)[C@@]12C([H])([H])N([H])N(C([H])([H])[H])C2([H])[H],,24.44611554808455,267.3442528177414,242.89813726965684,1.7069872242762656,15.0,0.0,2.0544281005859375,"['d0378a', 'z0653a']",[],-1.62974103653897,too moved,47.0
31,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
