,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,,DistanceError 9.07 Å,,,,,,,,[],[],,too distant,
1,,DistanceError 8.54 Å,,,,,,,,[],[],,too distant,
2,[H]c1n[nH]c([H])c1C(=O)N1C([H])([H])C([H])([H])O[C@]([H])(N([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])O[C@]2([H])C(=O)N([H])c2nc([H])c(C([H])([H])[H])c([H])c2[H])C1([H])[H],,-150.87292639736717,367.43495009057955,518.3078764879467,1.6948181561851052,28.0,2.0,9.645068883895874,"['z0471a', 'd0254a']",[],5.029097546578906,too moved,47.0
3,,TimeoutError,,,,,,,,[],[],,timeout,
4,,DistanceError 6.02 Å,,,,,,,,[],[],,too distant,
5,,DistanceError 7.81 Å,,,,,,,,[],[],,too distant,
6,,DistanceError 6.48 Å,,,,,,,,[],[],,too distant,
7,,DistanceError 5.86 Å,,,,,,,,[],[],,too distant,
8,,DistanceError 6.68 Å,,,,,,,,[],[],,too distant,
9,,DistanceError 12.60 Å,,,,,,,,[],[],,too distant,
10,,DistanceError 7.53 Å,,,,,,,,[],[],,too distant,
11,,DistanceError 10.46 Å,,,,,,,,[],[],,too distant,
12,[H]ON1C([H])([H])[C@]2([H])N(C(=O)C3(C([H])([H])N([H])N([H])C3([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])[C@]([H])(C([H])([H])[H])C1([H])[H],,-65.27414250561685,246.8794708088056,312.15361331442244,1.7294154241696422,19.0,0.0,1.43208646774292,"['z0471a', 'z0193a']",[],3.43548118450615,too moved,32.0
13,,RecursionError maximum recursion depth exceeded while calling a Python object,,,,,,,,[],[],,crashed,
14,,DistanceError 9.64 Å,,,,,,,,[],[],,too distant,
15,,DistanceError 5.89 Å,,,,,,,,[],[],,too distant,
16,,DistanceError 5.20 Å,,,,,,,,[],[],,too distant,
17,,DistanceError 5.68 Å,,,,,,,,[],[],,too distant,
18,,DistanceError 5.54 Å,,,,,,,,[],[],,too distant,
19,,DistanceError 5.61 Å,,,,,,,,[],[],,too distant,
20,,DistanceError 7.35 Å,,,,,,,,[],[],,too distant,
21,,DistanceError 5.61 Å,,,,,,,,[],[],,too distant,
22,,DistanceError 5.65 Å,,,,,,,,[],[],,too distant,
23,,DistanceError 6.01 Å,,,,,,,,[],[],,too distant,
24,,DistanceError 6.04 Å,,,,,,,,[],[],,too distant,
25,,DistanceError 6.30 Å,,,,,,,,[],[],,too distant,
26,,DistanceError 5.44 Å,,,,,,,,[],[],,too distant,
27,,DistanceError 5.53 Å,,,,,,,,[],[],,too distant,
28,,DistanceError 6.38 Å,,,,,,,,[],[],,too distant,
29,,DistanceError 9.07 Å,,,,,,,,[],[],,too distant,
30,[H]c1[nH]nc([C@@]2([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]23C([H])([H])N([H])C([H])([H])C([H])([H])C3([H])[H])c1C([H])([H])[H],,-44.036006078526725,330.058492461759,374.0944985402857,1.00254222911639,17.0,0.0,1.203324317932129,"['d0160a', 'd0191a']",[],2.5903532987368663,too moved,30.0
31,[H]c1nnc2c3c([H])c([H])nc([H])c3c([H])c(N([H])C(=O)[C@@]3([H])OC([H])([H])C([H])([H])C3([H])[H])nc1-2,,-71.4750399979443,135.53584693827986,207.01088693622415,0.4009244001687988,22.0,0.0,1.385197639465332,"['d0160a', 'd0254a']",[],3.2488654544520132,acceptable,50.0
32,,DistanceError 5.29 Å,,,,,,,,[],[],,too distant,
33,[H]c1nc(-n2c([H])c([H])c([H])c2[H])c(C([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c([H])c1[H],,-45.74047439227894,337.0483313382096,382.78880573048855,0.7323464140291261,23.0,0.0,1.380765676498413,"['d0160a', 'd0472a']",[],1.9887162779251712,acceptable,48.0
34,[H]C(=O)N(C([H])([H])C([H])([H])[H])C1(c2n[nH]c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],,33.271612940226134,346.33911140628953,313.0674984660634,2.278163837329526,16.0,0.0,2.077963352203369,"['d0160a', 'd0612a']",[],-2.0794758087641334,equally sized,32.0
35,[H]c1[nH]nc2c1N([H])C([H])([H])[C@@]([H])(F)C1=C2[C@@]2(S[C@]([H])(C([H])([H])[H])N([H])C2([H])[H])C([H])([H])N([H])C1([H])[H],,-58.65006619465254,367.2065048093969,425.85657100404944,0.823958177664038,20.0,0.0,1.6278133392333984,"['d0160a', 'd0615b']",[],2.9325033097326267,acceptable,45.0
36,[H]OC([H])([H])c1c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c([H])c1-c1n[nH]c([H])c1C([H])([H])[H],,-28.46754181686447,394.5265402814522,422.99408209831665,1.0469723166794394,18.0,0.0,0.8331201076507568,"['d0160a', 'd0851a']",[],1.581530100936915,too moved,34.0
37,[H]c1nc(C([H])([H])N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(c1[H])-c1n[nH]c([H])c1C([H])([H])S2(=O)=O,,,,,0.0,23.0,1.0,1.0808496475219727,"['d0160a', 'd0866a']",[],,crashed,48.0
38,[H]c1nc([H])c([H])c(-c2nn(C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]4(N([H])C(=O)c5c([H])c([H])c([H])c([H])c5N4[H])C3([H])[H])c([H])c2C([H])([H])[H])c1[H],,,,,0.0,27.0,1.0,1.7550060749053955,"['d0160a', 'd1196a']",[],,crashed,45.0
39,[H]c1nc([H])c([H])c(-c2n[nH]c([H])c2C([H])([H])N([H])C([H])([H])OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],,-27.66607962907088,228.02629153589154,255.69237116496242,1.193340842233592,21.0,2.0,2.514782428741455,"['d0160a', 'z0052a']",[],1.2028730273509078,too moved,43.0
40,[H]C1=C([H])C([H])([H])C2=C1N([H])N(c1nc([H])c([H])[nH]1)[C@@]2([H])c1c([H])c([H])nc([H])c1[H],,,,,0.0,17.0,2.0,0.8833827972412109,"['d0160a', 'z0103a']",[],,crashed,36.0
41,,DistanceError 7.95 Å,,,,,,,,[],[],,too distant,
42,,RecursionError maximum recursion depth exceeded while calling a Python object,,,,,,,,[],[],,crashed,
43,[H]c1nc([H])c([H])c(C2NN3C([H])N[C@@H](C#N)[C@@H]3C2C([H])([H])[H])c1[H],,-0.20238025550546013,213.58521464139693,213.7875948969024,0.8626940166266052,17.0,0.0,1.1313929557800293,"['d0160a', 'z0875c']",[],0.01190472091208589,acceptable,30.0
44,[H]OC([H])([H])C#Cc1sc(-c2c([H])c(C(=O)N([H])S(=O)(=O)c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c(OC([H])([H])[H])c([H])c2[C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c([H])c1[H],,-104.00448956904827,200.34272669636883,304.3472162654171,0.7590425499565724,44.0,0.0,3.3342185020446777,"['d0160a', '5i3p-a']",[],2.3637383992965515,acceptable,28.0
45,[H]Oc1c([H])c([H])c([H])c(C([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])nn(O[H])c2O[H])c1-c1c([H])c([H])c([H])c([H])c1[H],,-75.1005022440753,254.79429994697557,329.89480219105087,0.6722808273013248,27.0,0.0,1.9257102012634277,"['d0160a', '5hn0-a']",[],2.7815000831139,acceptable,45.0
46,[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c(-c2c([H])sc([H])c2[H])c1[H],,-85.68897798210605,142.0646489958412,227.75362697794725,0.8942467395749265,28.0,0.0,2.962336301803589,"['d0160a', '5f41-a']",[],3.0603206422180733,acceptable,43.0
47,[H]OC(=O)C([H])([H])c1c([H])c([H])c(OC([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c(-c2sc([H])c([H])c2[H])c1[H],,-74.71460222537877,191.4634500009168,266.17805222629556,1.224722331501939,28.0,0.0,2.6232569217681885,"['d0160a', '6h80-a']",[],2.6683786509063845,too moved,43.0
48,[H]OC(=O)C([H])([H])c1c([H])c(-c2sc(C#CC([H])([H])O[H])c([H])c2[H])c([H])c(C([H])([H])[C@@](O)(O[H])c2[nH]nc(-c3c([H])c([H])nc([H])c3[H])c2C([H])([H])[H])c1[H],,-54.03919848753466,194.0829004330394,248.12209892057408,1.154417718186434,35.0,0.0,4.044426918029785,"['d0160a', '5hmy-a']",[],1.5439770996438476,too moved,35.0
49,[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c1N([H])N([H])C([H])([H])[H],,-22.517508950815966,305.85735577924885,328.3748647300648,0.9569460773913268,11.0,0.0,0.7228729724884033,"['d0160a', '6izx-a']",[],2.047046268255997,equally sized,10.0
50,[H]OC([H])([H])C#Cc1sc(-c2c([H])c(C(=O)N([H])S(=O)(=O)c3c([H])c([H])c([H])c4c([H])c([H])c([H])nc34)c(C([H])([H])[H])c([H])c2OC([H])([H])c2c([H])n[nH]c2-c2c([H])c([H])nc([H])c2[H])c([H])c1[H],,-69.04304121613703,205.93754079892656,274.9805820150636,0.676156360307494,45.0,0.0,5.0413618087768555,"['d0160a', '5i3q-a']",[],1.534289804803045,acceptable,27.0
51,[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(C(=O)O[H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c(-c2sc([H])c([H])c2[H])c1[H],,-214.9702847920945,199.11968910897286,414.08997390106737,1.420987414637441,30.0,0.0,2.8470499515533447,"['d0160a', '5hmx-b']",[],7.165676159736483,too moved,40.0
52,[H]OC([H])([H])C#Cc1sc(-c2c([H])c(C(=O)N([H])S(=O)(=O)c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c(OC([H])([H])[H])c([H])c2[C@@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c([H])c1[H],,-69.29099354034517,235.1589658560283,304.44995939637346,0.6319770605431617,44.0,0.0,5.269737958908081,"['d0160a', '5k5m-a']",[],1.5747953077351176,acceptable,28.0
53,[H]OC([H])([H])C#Cc1sc(-c2c([H])c(C(=O)N([H])S(=O)(=O)C([H])([H])[H])c(C([H])([H])[H])c([H])c2[C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c([H])c1[H],,-38.961197498364044,148.70773769319482,187.66893519155886,0.7467167484320856,36.0,0.0,3.907689094543457,"['d0160a', '5hmz-a']",[],1.082255486065668,acceptable,34.0
54,[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(C(=O)O[H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H],,-43.99280611369517,232.00568955991724,275.9984956736124,1.3346168822297975,31.0,0.0,3.2944400310516357,"['d0160a', '5hmw-b']",[],1.4191227778611344,too moved,39.0
55,[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c(-c2sc([H])c([H])c2[H])c1[H],,-90.78741666797205,152.12505997635205,242.9124766443241,1.1895243946281964,28.0,0.0,3.082693338394165,"['d0160a', '5f3z-a']",[],3.2424077381418592,too moved,43.0
56,[H]OC(=O)C([H])([H])c1c([H])c([H])c(OC([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c(-c2sc([H])c([H])c2[H])c1[H],,-74.92342828716474,183.1522825932108,258.07571088037554,1.1922106253989073,28.0,0.0,3.7645483016967773,"['d0160a', '6h9r-a']",[],2.6758367245415977,too moved,43.0
57,[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H],,-27.155997227658247,152.99189006584825,180.1478872935065,1.0472392118949876,29.0,0.0,3.2527377605438232,"['d0160a', '5f3t-a']",[],0.9364136975054568,too moved,42.0
58,,DistanceError 8.54 Å,,,,,,,,[],[],,too distant,
59,[H]c1nc([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[C@@]23N([H])N([H])C([H])([H])[C@]3([H])C([H])([H])[H])c([H])c1[H],,-46.767926172497255,336.57700467160566,383.3449308441029,0.9170861203569353,17.0,0.0,1.3205175399780273,"['d0191a', 'd0160a']",[],2.7510544807351325,acceptable,30.0
60,[H]c1nc([H])c(C([H])([H])n2c([H])c([H])c(N([H])C(=O)[C@@]3([H])OC([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],,-44.42438352412381,247.05909748707893,291.48348101120274,0.6019980145622228,20.0,0.0,3.1436634063720703,"['d0191a', 'd0254a']",[],2.2212191762061906,acceptable,40.0
