smiles,hit0,hit1
[H]c1n[nH]c([H])c1C(=O)N1C([H])([H])C([H])([H])O[C@]([H])(N([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])O[C@]2([H])C(=O)N([H])c2nc([H])c(C([H])([H])[H])c([H])c2[H])C1([H])[H],z0471a,d0254a
[H]ON1C([H])([H])[C@]2([H])N(C(=O)C3(C([H])([H])N([H])N([H])C3([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])[C@]([H])(C([H])([H])[H])C1([H])[H],z0471a,z0193a
[H]c1[nH]nc([C@@]2([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]23C([H])([H])N([H])C([H])([H])C([H])([H])C3([H])[H])c1C([H])([H])[H],d0160a,d0191a
[H]c1nnc2c3c([H])c([H])nc([H])c3c([H])c(N([H])C(=O)[C@@]3([H])OC([H])([H])C([H])([H])C3([H])[H])nc1-2,d0160a,d0254a
[H]c1nc(-n2c([H])c([H])c([H])c2[H])c(C([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c([H])c1[H],d0160a,d0472a
[H]C(=O)N(C([H])([H])C([H])([H])[H])C1(c2n[nH]c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],d0160a,d0612a
[H]c1[nH]nc2c1N([H])C([H])([H])[C@@]([H])(F)C1=C2[C@@]2(S[C@]([H])(C([H])([H])[H])N([H])C2([H])[H])C([H])([H])N([H])C1([H])[H],d0160a,d0615b
[H]OC([H])([H])c1c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c([H])c1-c1n[nH]c([H])c1C([H])([H])[H],d0160a,d0851a
[H]c1nc(C([H])([H])N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(c1[H])-c1n[nH]c([H])c1C([H])([H])S2(=O)=O,d0160a,d0866a
[H]c1nc([H])c([H])c(-c2nn(C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]4(N([H])C(=O)c5c([H])c([H])c([H])c([H])c5N4[H])C3([H])[H])c([H])c2C([H])([H])[H])c1[H],d0160a,d1196a
[H]c1nc([H])c([H])c(-c2n[nH]c([H])c2C([H])([H])N([H])C([H])([H])OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],d0160a,z0052a
[H]C1=C([H])C([H])([H])C2=C1N([H])N(c1nc([H])c([H])[nH]1)[C@@]2([H])c1c([H])c([H])nc([H])c1[H],d0160a,z0103a
[H]c1nc([H])c([H])c(C2NN3C([H])N[C@@H](C#N)[C@@H]3C2C([H])([H])[H])c1[H],d0160a,z0875c
[H]OC([H])([H])C#Cc1sc(-c2c([H])c(C(=O)N([H])S(=O)(=O)c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c(OC([H])([H])[H])c([H])c2[C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c([H])c1[H],d0160a,5i3p-a
[H]Oc1c([H])c([H])c([H])c(C([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])nn(O[H])c2O[H])c1-c1c([H])c([H])c([H])c([H])c1[H],d0160a,5hn0-a
[H]OC(=O)C([H])([H])c1c([H])c([H])c([C@]([H])(c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])C([H])([H])[H])c(-c2c([H])sc([H])c2[H])c1[H],d0160a,5f41-a
[H]OC(=O)C([H])([H])c1c([H])c([H])c(OC([H])([H])c2c(-c3c([H])c([H])nc([H])c3[H])n[nH]c2[H])c(-c2sc([H])c([H])c2[H])c1[H],d0160a,6h80-a
