,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(Cl)c1[H],,-88.61533113447013,-302.1818291162044,-213.5664979817343,0.8451753453870748,24.0,2.0,1.4555084705352783,"['d0153b', 'd0153a']",[],3.4082819667103896,acceptable,50.0
1,[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c([H])c1[H],,-79.96280523021457,-259.631662363841,-179.6688571336264,0.9648761496816124,25.0,0.0,1.286797285079956,"['d0153b', 'd0162a']",[],3.198512209208583,acceptable,48.0
2,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
3,[H]c1c([H])c(F)c(C(=O)c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(F)c1[H],,-43.11444083716046,-65.03173861818844,-21.91729778102798,0.8461216525870947,22.0,0.0,1.013366937637329,"['d0153b', 'd0176a']",[],1.9597473107800207,acceptable,46.0
4,[H]c1c([H])c(N([H])Oc2c([H])c([H])c(S(=O)(=O)N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c2[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,,,,0.0,28.0,1.0,1.4741919040679932,"['d0153b', 'd0210a']",[],,crashed,43.0
5,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
6,[H]c1c([H])c(N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c([H])c([H])c1N([H])C(=O)C([H])([H])[H],,-32.752414982800786,-151.72511960539995,-118.97270462259917,1.071057954094833,23.0,0.0,1.6440250873565674,"['d0153b', 'd0249a']",[],1.424018042730469,too moved,48.0
7,[H]c1c([H])c(F)c([H])c([S@](=O)(=Nc2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])N([H])c2c(C([H])([H])[H])nn(C([H])([H])[H])c2C([H])([H])[H])c1[H],,-62.699154648199965,-174.31087775339176,-111.6117231051918,0.8156319067962076,31.0,0.0,2.282360076904297,"['d0153b', 'd0253a']",[],2.022553375748386,acceptable,39.0
8,[H]c1c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])S2(=O)=O)c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,-47.26401332824935,-193.99402716472105,-146.7300138364717,1.123776578158052,20.0,0.0,0.9859304428100586,"['d0153b', 'd0258a']",[],2.3632006664124674,too moved,40.0
9,[H]c1c([H])c(N([H])C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,-45.63214492832176,-108.29986486957367,-62.66771994125191,1.1254271795711657,19.0,0.0,1.1417796611785889,"['d0153b', 'd0279a']",[],2.401691838332724,too moved,37.0
10,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
11,[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,24.337068167394502,-21.367456245923822,-45.704524413318325,1.2409707808207184,23.0,0.0,5.063328266143799,"['d0153b', 'd0376a']",[],-1.0581333985823698,too moved,48.0
12,[H]c1c(C([H])([H])[H])noc1C([H])([H])c1c(O)c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c1Cl,,-43.881200930363505,-149.51050980073208,-105.62930887036858,1.0919534439712966,20.0,0.0,1.0726828575134277,"['d0153b', 'd0379a']",[],2.1940600465181754,too moved,40.0
13,[H]c1n[nH]c([H])c1Cc1c([H])c([H])c([H])c([H])c1Cl,,-22.49622083172956,96.054145132821,118.55036596455056,1.283591987495658,13.0,0.0,0.928642749786377,"['d0153b', 'd0414a']",[],1.7304785255176585,too moved,39.0
14,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c(S(=O)(=O)N2C([H])([H])C([H])(OC([H])([H])[H])C2([H])[H])c1[H],,-88.08367236962755,-156.1618225111451,-68.07815014151754,1.0635113466981068,21.0,0.0,1.1336145401000977,"['d0153b', 'd0503a']",[],4.194460589029883,too moved,43.0
15,[H]c1c([H])c(O[C@@]2([H])C(=O)N(C([H])([H])[H])C([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,-74.15803497750771,-126.81648852294018,-52.658453545432465,1.0243801616997552,20.0,0.0,1.1463887691497803,"['d0153b', 'd0566a']",[],3.7079017488753854,too moved,40.0
16,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c1Cl,,-47.8899863561151,-128.24278155251812,-80.35279519640302,0.9881600767206136,17.0,0.0,1.1259050369262695,"['d0153b', 'd0567a']",[],2.817058020947947,acceptable,30.0
17,[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,-49.29129240839039,-92.17617528926266,-42.88488288087227,1.1176937269283003,20.0,0.0,1.0686376094818115,"['d0153b', 'd0587a']",[],2.4645646204195195,too moved,40.0
18,[H]c1nc(C([H])([H])[H])sc1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(S(=O)(=O)N([H])C([H])([H])[H])[C@@]12C([H])([H])N([H])C([H])([H])[C@@]([H])(F)C2([H])[H],,-110.45285298599964,-87.58267204727059,22.87018093872905,1.733682409221474,24.0,0.0,2.5727720260620117,"['d0153b', 'd0615a']",[],4.602202207749985,too moved,46.0
19,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c([H])c1C(=O)C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],,-73.17030296241992,-96.68538259568213,-23.515079633262197,1.0058264095674034,20.0,0.0,1.0573759078979492,"['d0153b', 'd0644a']",[],3.6585151481209963,too moved,40.0
20,[H]c1c([H])c(C([H])([H])[C@@]2([H])C([H])([H])C3=C(C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C#N,,-16.194971505482684,-118.0400887214645,-101.84511721598182,1.3300313192619155,19.0,0.0,1.609321117401123,"['d0153b', 'd0693a']",[],0.8523669213411939,too moved,32.0
21,[H]c1c([H])c(C([H])([H])N(C([H])([H])[H])S(=O)(=O)N([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],,-60.258635266012334,-333.92835488471223,-273.6697196186999,1.0428096158158384,19.0,0.0,0.9747624397277832,"['d0153b', 'd0749a']",[],3.171507119263807,too moved,37.0
22,[H]C1O[C@@H]2[C@H](O1)C([H])C([H])C([H])[C@H]2C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],,70.95891239943782,67.65021771495388,-3.308694684483939,1.2697402117016492,18.0,0.0,2.0232489109039307,"['d0153b', 'd0759a']",[],-3.9421617999687677,equally sized,34.0
23,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c([H])c1C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],,-37.33409100196471,69.53770788435155,106.87179888631626,1.0743519344107992,22.0,0.0,1.2035415172576904,"['d0153b', 'd0771a']",[],1.6970041364529413,too moved,46.0
24,,RecursionError maximum recursion depth exceeded while calling a Python object,,,,,,,,[],[],,crashed,
25,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c2c1[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],,,,,0.0,22.0,1.0,1.4431052207946777,"['d0153b', 'd0787a']",[],,crashed,46.0
26,[H]O[C@]1([H])[C@@]([H])(N([H])C([H])([H])[H])[C@]2(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])Cl)C([H])([H])C([H])([H])[C@@]1([H])[C@@]([H])(N([H])[H])C([H])([H])[H],,-53.29789245210599,45.756940876924766,99.05483332903076,1.4859183921197519,20.0,0.0,5.220097780227661,"['d0153b', 'd0843a']",[],2.6648946226052996,too moved,50.0
27,[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2Cl)N([H])[H])c([H])c1[H],,-66.05069047623354,-96.00141791429941,-29.95072743806586,1.1130186843494805,20.0,0.0,0.9635837078094482,"['d0153b', 'd1149a']",[],3.3025345238116772,too moved,40.0
28,[H]c1c([H])c([H])c(N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2Cl)c([H])c1[H],,-29.559352882650387,-122.8427453669812,-93.28339248433082,1.0331137461136173,21.0,0.0,1.1102495193481445,"['d0153b', 'd1212a']",[],1.4075882325071614,too moved,43.0
29,[H]c1nc(C([H])([H])[H])n(C([H])([H])c2c([H])c(C#N)c([H])c(C([H])([H])N([H])C([H])([H])N([H])S(=O)(=O)c3c([H])c([H])c([H])c([H])c3Cl)c2[H])c1[H],,,,,0.0,27.0,2.0,1.7438819408416748,"['d0153b', 'z0375a']",[],,crashed,45.0
30,[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])c2c([H])c([H])c([H])c3c2C([H])([H])C([H])([H])[C@@]2(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]32[H])c(Cl)c1[H],,,,,0.0,27.0,2.0,2.1345009803771973,"['d0153b', 'z0659a']",[],,crashed,45.0
31,[H]c1c([H])c([H])c(S(=O)(=O)N(c2c([H])c3c(c([H])c2Br)C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O3)C([H])([H])[H])c(Cl)c1[H],,-43.21724911885016,50.24370746003379,93.46095657888395,1.565239812502554,26.0,0.0,1.3534719944000244,"['d0153b', 'z0922b']",[],1.6622018891865447,too moved,47.0
32,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
33,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
34,[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(Cl)c1[H],,-272.7730756611329,-377.61353211711435,-104.84045645598141,0.8517498855810647,24.0,2.0,1.7132058143615723,"['d0153a', 'd0153b']",[],10.491272140812804,acceptable,50.0
35,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
36,[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])[C@@]2([H])Oc3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3O2)c(Cl)c1[H],,,,,0.0,28.0,1.0,1.5870335102081299,"['d0153a', 'd0174a']",[],,crashed,43.0
37,[H]O[C@@]1([H])[C@]([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(F)[C@@]([H])(O[H])[C@@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl)[C@@]1([H])N([H])C([H])([H])[H],,,,-121.3532375539798,1.6257438729958311,26.0,0.0,4.867628574371338,"['d0153a', 'd0176a']",[],,crashed,43.0
38,[H]O[C@]1(N([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])C([H])([H])[C@@]([H])(N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C([H])([H])[C@]2([H])Cl,,,,28.93411957403734,1.0324941673629795,20.0,0.0,2.006751775741577,"['d0153a', 'd0210a']",[],,crashed,50.0
39,[H]OC([H])([H])C(N([H])C(=O)c1c([H])c([H])c([H])c(CC([H])([H])C([H])([H])N=[S@@](=O)(c2c([H])c([H])c([H])c([H])c2Cl)N([H])C([H])([H])[H])c1[H])(C([H])([H])[H])C([H])([H])[H],,-47.003642880519976,-182.32941073195488,-135.3257678514349,1.6846317677145481,27.0,2.0,4.48366641998291,"['d0153a', 'd0248a']",[],1.620815271742068,too moved,45.0
40,[H]ON([H])[C@@]1([H])C([H])([H])[C@@]([H])(N([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl,,,,,0.0,21.0,1.0,1.2369012832641602,"['d0153a', 'd0249a']",[],,crashed,43.0
41,[H]OC([H])([H])N=[S@@](=O)(N([H])c1c(C([H])([H])[H])nn(C([H])([H])[H])c1C([H])([H])[H])[C@]1([H])[C@]([H])(N([H])C([H])([H])[H])c2c(Cl)c([H])c([H])c([H])c2C([H])([H])C([H])([H])[C@@]1([H])O[H],,,,,0.0,28.0,1.0,1.166153907775879,"['d0153a', 'd0253a']",[],,crashed,40.0
42,[H]C1=C(C([H])([H])[H])C([H])([H])[C@]12C([H])([H])[C@@H](c1c([H])c([H])c([H])c([H])c1Cl)N(C([H])([H])c1c([H])c([H])c([H])c(F)c1[H])C2([H])[H],,,,,0.0,22.0,2.0,1.1329874992370605,"['d0153a', 'd0258a']",[],,crashed,46.0
43,[H]ON([H])[C@@]1([H])O[C@@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl)[C@](O[H])(N([H])C([H])([H])[H])[C@]([H])(N([H])c2nc([H])c(F)c([H])c2[H])C1([H])[H],,,,,0.0,24.0,1.0,1.0775554180145264,"['d0153a', 'd0279a']",[],,crashed,46.0
44,[H]c1c([H])c([H])c([S@](=O)(=NC([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])S(=O)(=O)N([H])C([H])([H])[H])C2([H])[H])N([H])C([H])([H])[H])c(Cl)c1[H],,,,,0.0,24.0,3.0,1.625600814819336,"['d0153a', 'd0283a']",[],,crashed,50.0
45,[H]O[C@@]1([C@]23C([H])([H])C([H])([H])O[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])Cl)N([H])[C@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])N(C(=O)c2sc([H])c([H])c2[H])C1([H])[H],,-77.44329422423773,-116.87249948511958,-39.429205260881844,2.5233528907948095,22.0,5.0,3.6614906787872314,"['d0153a', 'd0376a']",[],2.8682701564532493,too moved,41.0
46,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
47,,DistanceError 7.89 Å,,,,,,,,[],[],,too distant,
48,[H]O[C@]1([H])N(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(C([H])([H])N([H])[H])[C@@]1([H])c1c([H])c([H])c([H])c([H])c1Cl,,-92.81539617711661,-386.84101811196956,-294.02562193485295,0.9168344170990347,22.0,0.0,1.1028540134429932,"['d0153a', 'd0503a']",[],4.218881644414392,acceptable,46.0
49,[H]c1c([H])c(N([H])[C@]2(O)C([H])([H])C([H])([H])[C@]3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])Cl)[C@@]2([H])N([H])C([H])([H])[H])c(F)c(C([H])([H])[H])c1[H],,,,,0.0,22.0,1.0,1.2213177680969238,"['d0153a', 'd0566a']",[],,crashed,46.0
50,[H]c1c([H])c([H])c([S@](=O)(=NC([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2F)N([H])C([H])([H])[H])c(Cl)c1[H],,,,,0.0,25.0,2.0,1.4254646301269531,"['d0153a', 'd0567a']",[],,crashed,48.0
51,[H]O[C@@]1([H])[C@@]([H])(C([H])([H])N(c2nc([H])nc([H])c2Cl)C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])[C@]1(c1c([H])c([H])c([H])c([H])c1Cl)N([H])C([H])([H])[H],,-94.15805750061833,-135.64464551285496,-41.48658801223664,1.1069254399861659,26.0,0.0,1.213536262512207,"['d0153a', 'd0587a']",[],3.6214637500237816,too moved,43.0
52,[H]OC([H])([H])N(C([H])([H])[H])[C@]1(c2c([H])c([H])c([H])c([H])c2Cl)S[C@@]([H])(C([H])([H])N([H])c2c([H])nc([H])c(F)c2[H])C([H])([H])N1[H],,,,,0.0,24.0,1.0,1.2135839462280273,"['d0153a', 'd0615a']",[],,crashed,42.0
53,[H]OC1(O[H])[C@](C(=O)c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl,,-85.07050797919561,-69.85063584468762,15.219872134507995,1.2757940633442868,25.0,0.0,2.3097338676452637,"['d0153a', 'd0644a']",[],3.4028203191678243,too moved,40.0
54,[H]c1c([H])c([H])c([C@]2(N([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])n3c([H])nc4c([H])c([H])c([H])c([H])c43)C([H])([H])C2([H])[H])c(Cl)c1[H],,-59.589076407290634,-181.15145640233834,-121.5623799950477,1.1479722577979714,25.0,0.0,1.7741518020629883,"['d0153a', 'd0693a']",[],2.3835630562916252,too moved,36.0
55,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
56,[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])C([H])([H])C([H])([H])[C@]([H])(Cl)C3([H])[H])C([H])([H])[C@@]2([H])N([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,,36.388035991413346,-89.57362002617349,-125.96165601758683,1.3005712420256859,26.0,0.0,2.60624623298645,"['d0153a', 'd0759a']",[],-1.3995398458235901,too moved,39.0
57,[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])C([H])([H])/N=C(/N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(Cl)c1[H],,-233.33172664242912,-208.9941340674717,24.337592574957426,1.042357191863026,28.0,2.0,20.95889925956726,"['d0153a', 'd0771a']",[],7.777724221414304,too moved,43.0
58,,RecursionError maximum recursion depth exceeded while calling a Python object,,,,,,,,[],[],,crashed,
