smiles,hit0,hit1
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(Cl)c1[H],d0153b,d0153a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c([H])c1[H],d0153b,d0162a
[H]c1c([H])c(F)c(C(=O)c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(F)c1[H],d0153b,d0176a
[H]c1c([H])c(N([H])Oc2c([H])c([H])c(S(=O)(=O)N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c2[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0210a
[H]c1c([H])c(N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c([H])c([H])c1N([H])C(=O)C([H])([H])[H],d0153b,d0249a
[H]c1c([H])c(F)c([H])c([S@](=O)(=Nc2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])N([H])c2c(C([H])([H])[H])nn(C([H])([H])[H])c2C([H])([H])[H])c1[H],d0153b,d0253a
[H]c1c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])S2(=O)=O)c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0258a
[H]c1c([H])c(N([H])C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0279a
[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0376a
[H]c1c(C([H])([H])[H])noc1C([H])([H])c1c(O)c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c1Cl,d0153b,d0379a
[H]c1n[nH]c([H])c1Cc1c([H])c([H])c([H])c([H])c1Cl,d0153b,d0414a
[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c(S(=O)(=O)N2C([H])([H])C([H])(OC([H])([H])[H])C2([H])[H])c1[H],d0153b,d0503a
[H]c1c([H])c(O[C@@]2([H])C(=O)N(C([H])([H])[H])C([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0566a
[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c1Cl,d0153b,d0567a
[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0587a
[H]c1nc(C([H])([H])[H])sc1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(S(=O)(=O)N([H])C([H])([H])[H])[C@@]12C([H])([H])N([H])C([H])([H])[C@@]([H])(F)C2([H])[H],d0153b,d0615a
[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c([H])c1C(=O)C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],d0153b,d0644a
[H]c1c([H])c(C([H])([H])[C@@]2([H])C([H])([H])C3=C(C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C#N,d0153b,d0693a
[H]c1c([H])c(C([H])([H])N(C([H])([H])[H])S(=O)(=O)N([H])[H])c(Cl)c(S(=O)(=O)N([H])C([H])([H])[H])c1[H],d0153b,d0749a
[H]C1O[C@@H]2[C@H](O1)C([H])C([H])C([H])[C@H]2C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],d0153b,d0759a
[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c([H])c1C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],d0153b,d0771a
[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c2c1[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],d0153b,d0787a
[H]O[C@]1([H])[C@@]([H])(N([H])C([H])([H])[H])[C@]2(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])Cl)C([H])([H])C([H])([H])[C@@]1([H])[C@@]([H])(N([H])[H])C([H])([H])[H],d0153b,d0843a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2Cl)N([H])[H])c([H])c1[H],d0153b,d1149a
[H]c1c([H])c([H])c(N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2Cl)c([H])c1[H],d0153b,d1212a
[H]c1nc(C([H])([H])[H])n(C([H])([H])c2c([H])c(C#N)c([H])c(C([H])([H])N([H])C([H])([H])N([H])S(=O)(=O)c3c([H])c([H])c([H])c([H])c3Cl)c2[H])c1[H],d0153b,z0375a
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])c2c([H])c([H])c([H])c3c2C([H])([H])C([H])([H])[C@@]2(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]32[H])c(Cl)c1[H],d0153b,z0659a
[H]c1c([H])c([H])c(S(=O)(=O)N(c2c([H])c3c(c([H])c2Br)C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O3)C([H])([H])[H])c(Cl)c1[H],d0153b,z0922b
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c(Cl)c2[H])c(Cl)c1[H],d0153a,d0153b
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])[C@@]2([H])Oc3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3O2)c(Cl)c1[H],d0153a,d0174a
[H]O[C@@]1([H])[C@]([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(F)[C@@]([H])(O[H])[C@@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl)[C@@]1([H])N([H])C([H])([H])[H],d0153a,d0176a
[H]O[C@]1(N([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])C([H])([H])[C@@]([H])(N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C([H])([H])[C@]2([H])Cl,d0153a,d0210a
[H]OC([H])([H])C(N([H])C(=O)c1c([H])c([H])c([H])c(CC([H])([H])C([H])([H])N=[S@@](=O)(c2c([H])c([H])c([H])c([H])c2Cl)N([H])C([H])([H])[H])c1[H])(C([H])([H])[H])C([H])([H])[H],d0153a,d0248a
[H]ON([H])[C@@]1([H])C([H])([H])[C@@]([H])(N([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl,d0153a,d0249a
[H]OC([H])([H])N=[S@@](=O)(N([H])c1c(C([H])([H])[H])nn(C([H])([H])[H])c1C([H])([H])[H])[C@]1([H])[C@]([H])(N([H])C([H])([H])[H])c2c(Cl)c([H])c([H])c([H])c2C([H])([H])C([H])([H])[C@@]1([H])O[H],d0153a,d0253a
[H]C1=C(C([H])([H])[H])C([H])([H])[C@]12C([H])([H])[C@@H](c1c([H])c([H])c([H])c([H])c1Cl)N(C([H])([H])c1c([H])c([H])c([H])c(F)c1[H])C2([H])[H],d0153a,d0258a
[H]ON([H])[C@@]1([H])O[C@@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl)[C@](O[H])(N([H])C([H])([H])[H])[C@]([H])(N([H])c2nc([H])c(F)c([H])c2[H])C1([H])[H],d0153a,d0279a
[H]c1c([H])c([H])c([S@](=O)(=NC([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])S(=O)(=O)N([H])C([H])([H])[H])C2([H])[H])N([H])C([H])([H])[H])c(Cl)c1[H],d0153a,d0283a
[H]O[C@@]1([C@]23C([H])([H])C([H])([H])O[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])Cl)N([H])[C@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])N(C(=O)c2sc([H])c([H])c2[H])C1([H])[H],d0153a,d0376a
[H]O[C@]1([H])N(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(C([H])([H])N([H])[H])[C@@]1([H])c1c([H])c([H])c([H])c([H])c1Cl,d0153a,d0503a
[H]c1c([H])c(N([H])[C@]2(O)C([H])([H])C([H])([H])[C@]3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])Cl)[C@@]2([H])N([H])C([H])([H])[H])c(F)c(C([H])([H])[H])c1[H],d0153a,d0566a
[H]c1c([H])c([H])c([S@](=O)(=NC([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c2F)N([H])C([H])([H])[H])c(Cl)c1[H],d0153a,d0567a
[H]O[C@@]1([H])[C@@]([H])(C([H])([H])N(c2nc([H])nc([H])c2Cl)C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])[C@]1(c1c([H])c([H])c([H])c([H])c1Cl)N([H])C([H])([H])[H],d0153a,d0587a
[H]OC([H])([H])N(C([H])([H])[H])[C@]1(c2c([H])c([H])c([H])c([H])c2Cl)S[C@@]([H])(C([H])([H])N([H])c2c([H])nc([H])c(F)c2[H])C([H])([H])N1[H],d0153a,d0615a
[H]OC1(O[H])[C@](C(=O)c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl,d0153a,d0644a
[H]c1c([H])c([H])c([C@]2(N([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])n3c([H])nc4c([H])c([H])c([H])c([H])c43)C([H])([H])C2([H])[H])c(Cl)c1[H],d0153a,d0693a
[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])C([H])([H])C([H])([H])[C@]([H])(Cl)C3([H])[H])C([H])([H])[C@@]2([H])N([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,d0153a,d0759a
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])N([H])C([H])([H])/N=C(/N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(Cl)c1[H],d0153a,d0771a
[H]OC([H])(N([H])c1oc2c([H])c([H])c([H])c([H])c2c1[H])N1[C@]([H])(C([H])([H])[H])C([H])([H])[C@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl)C([H])([H])[C@@]1([H])O[H],d0153a,d0787a
[H]c1c([H])c([H])c([C@@]([H])(N([H])[H])[C@]2([H])C([H])([H])C([H])([H])[C@@](c3c([H])c([H])c([H])c([H])c3Cl)(N([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],d0153a,d1149a
[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])N=[S@@](=O)(c1c([H])c([H])c([H])c([H])c1Cl)N([H])C([H])([H])[H],d0153a,d1212a
[H]OC(=O)C([H])([H])c1c([H])c(-c2sc(C([H])([H])C([H])([H])N([H])C([H])([H])N([H])S(=O)(=O)c3c([H])c([H])c([H])c([H])c3Cl)c([H])c2[H])c([H])c(C([H])([H])C(=O)O[H])c1[H],d0153a,5hmx-a
[H]OC(=O)C([H])([H])c1c([H])c(-c2c([H])c([H])c([H])c(C([H])([H])C([H])([H])N=[S@@](=O)(c3c([H])c([H])c([H])c([H])c3Cl)N([H])C([H])([H])[H])c2[H])c([H])c(C([H])([H])C(=O)O[H])c1[H],d0153a,5hmw-a
[H]Oc1c([H])c(N([H])c2c([H])c([H])c(-c3nc(N([H])[H])sc3[H])c([H])c2[H])c([H])c([H])c1S(=O)(=O)N([H])C([H])([H])[H],d0162a,d0153b
[H]c1c(N([H])C(=O)C([H])([H])[H])c([H])c(C([H])([H])[H])c2c1[S@@](=O)c1c(N([H])[H])sc(Cl)c1-2,d0162a,d0153a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c2oc3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3c2c1[H],d0162a,d0174a
[H]ON([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@]12[C@@]([H])(F)C([H])([H])[C@@]([H])(c1nc(N([H])[H])sc1[H])C([H])([H])[C@]2([H])F,d0162a,d0176a
[H]OC([H])([H])C(N([H])C(=O)c1c([H])c([H])c([H])c(N([H])c2c([H])c([H])c(-c3nc(N([H])[H])sc3[H])c([H])c2[H])c1[H])(C([H])([H])[H])C([H])([H])[H],d0162a,d0248a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],d0162a,d0249a
[H]c1sc(N([H])[H])nc1[C@]1([H])C(=O)C([H])([H])[C@]2(C([H])([H])C1=O)C([H])([H])C([H])([H])C([H])([H])[C@]([H])(F)C2([H])[H],d0162a,d0258a
[H]Oc1c(N([H])c2c([H])c([H])c(-c3nc(N([H])[H])sc3[H])c([H])c2[H])nc([H])c(F)c1[H],d0162a,d0279a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(N([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])S(=O)(=O)N([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],d0162a,d0283a
[H]c1sc2c(c1[H])-c1c([H])c([H])c(-c3c([H])sc(N([H])[H])c3C([H])([H])[H])c([H])c1C2=O,d0162a,d0376a
[H]OC([H])([H])C([H])([H])[C@]1([H])N([H])[C@@]2(C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[C@@]([H])(c1nc(N([H])[H])sc1[H])[C@@]([H])(C([H])([H])[H])C2([H])[H],d0162a,d0379a
[H]c1n[nH]c([H])c1ON([H])C([H])([H])C(=O)N([H])c1c([H])c([H])c(-c2nc(N([H])[H])sc2[H])c([H])c1[H],d0162a,d0414a
[H]O[C@]1([H])N([N@+]([O-])(O[H])c2c([H])c([H])c(-c3nc(N([H])[H])sc3[H])c(OC([H])([H])[H])c2[H])C([H])([H])C([H])([H])C1([H])[H],d0162a,d0503a
[H]O[C@@]1([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])C(=O)[C@]([H])(c1c([H])sc(N([H])[H])c1C([H])([H])[H])C([H])([H])C2([H])[H],d0162a,d0566a
[H]Oc1c([H])c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c1N([H])c1c([H])c([H])c(-c2nc(N([H])[H])sc2[H])c([H])c1[H],d0162a,d0567a
[H]c1nc([H])c([H])c(C(c2c([H])c([H])c(-c3nc(N([H])[H])sc3[H])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])n1,d0162a,d0587a
[H]c1nc([H])c([C@@](O)(N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])c2c(N([H])[H])sc([H])c2-3)C([H])([H])[H])c([H])c1F,d0162a,d0615a
[H]O[C@]1([H])C([H])([H])[C@@]([H])(c2nc(N([H])[H])sc2[H])C([H])([H])C([H])([H])[C@]12C([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])C2([H])[H],d0162a,d0644a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(-n2c([H])nc3c([H])c([H])c([H])c([H])c32)c([H])c1C#N,d0162a,d0693a
[H]N([H])c1nc([C@]2([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(F)C3([H])[H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c(N([H])S([H])(=O)=O)s1,d0162a,d0749a
[H]c1sc(N([H])[H])nc1-c1c([H])c([H])c(N(C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],d0162a,d0771a
