target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C734,1,,,,NC1=NCCCS1,CC(C)n1cc(Br)cn1,CC(C)n1cc(NC2=NCCCS2)cn1,N-nucleophilic_aromatic_substitution,,
C9420,1,,,,OCCCCC1CCCO1,O=C(O)C=Cc1cscn1,O=C(C=Cc1cscn1)OCCCCC1CCCO1,Steglich_esterification,,
C8715,1,,,,OB(O)c1ccncc1,Brc1cnc[nH]1,c1cc(-c2cnc[nH]2)ccn1,Sp2-sp2_Suzuki_coupling,,
C16080,1,,,,O=C(O)c1ccc(-c2nc[nH]n2)nc1,CC(CN)c1ncc[nH]1,CC(CNC(=O)c1ccc(-c2nc[nH]n2)nc1)c1ncc[nH]1,Amidation,,
C19774,1,,,,CC(N)c1ncc[nH]1,O=C(O)c1ccnc(-n2cccc2)c1,CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,Amidation,,
C10275,1,,,,O=Cc1cc[nH]n1,NCC1COCC1O,OC1COCC1CNCc1ccn[nH]1,Reductive_amination,,
C9237,1,,,,NC(CO)Cc1cccnc1,C=C(Cn1ccnc1)C(=O)O,C=C(Cn1ccnc1)C(=O)NC(CO)Cc1cccnc1,Amidation,,
C12483,1,,,,Nc1cc(Cl)ccn1,NCc1c[nH]cn1,Nc1cc(NCc2c[nH]cn2)ccn1,N-nucleophilic_aromatic_substitution,,
C12548,1,,,,Cc1cnccc1N,O=Cc1c[nH]cn1,Cc1cnccc1NCc1c[nH]cn1,Reductive_amination,,
C10412,1,,,,O=S(=O)(Cl)C1CCOC1,COC(=O)CCNCc1cccnc1,COC(=O)CCN(Cc1cccnc1)S(=O)(=O)C1CCOC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C13884,1,,,,O=C(O)c1cnc(-c2ccccn2)s1,CC(C)CC(N)C(F)(F)F,CC(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,Amidation,,
C1443,1,,,,O=C(O)c1csc(-c2ccsc2)n1,CC(C)(N)CO,CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,Amidation,,
C2664,1,,,,CC(N)c1ncccn1,N#CCS(=O)(=O)Cl,CC(NS(=O)(=O)CC#N)c1ncccn1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C2576,1,,,,c1cc(C2CCNC2)no1,CC(C)(N)CO,CC(C)(CO)NC(=O)N1CCC(c2ccon2)C1,Formation_of_urea_from_two_amines,,
C1345,1,,,,CNc1cccnc1,CCS(=O)(=O)F,CCS(=O)(=O)N(C)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C5550,1,,,,CC(C)(C)O,OCC(O)c1cscn1,CC(C)(C)OCC(O)c1cscn1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C6353,1,,,,CC(N)c1cccnc1,CCCS(=O)(=O)Cl,CCCS(=O)(=O)NC(C)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C6527,1,,,,CN(C)S(=O)(=O)Cl,CCC(N)c1ccncc1,CCC(NS(=O)(=O)N(C)C)c1ccncc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C6543,1,,,,CC(N)c1ccccn1,N#CCS(=O)(=O)Cl,CC(NS(=O)(=O)CC#N)c1ccccn1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C6950,1,,,,O=S(=O)(Cl)CCC(F)(F)C(F)F,CCC(N)c1cccnc1,CCC(NS(=O)(=O)CCC(F)(F)C(F)F)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C791,1,,,,CCS(=O)(=O)Cl,NCc1ncccc1F,CCS(=O)(=O)NCc1ncccc1F,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C886,1,,,,CCS(=O)(=O)F,NCc1ncccc1Cl,CCS(=O)(=O)NCc1ncccc1Cl,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C890,1,,,,CCS(=O)(=O)Cl,NCc1ccncc1Cl,CCS(=O)(=O)NCc1ccncc1Cl,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C897,1,,,,CCS(=O)(=O)F,NCc1ccc(OCc2ccccn2)cc1,CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C7755,1,,,,CCS(=O)(=O)F,NCc1nc2cc(Cl)ccc2[nH]1,CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C1226,1,,,,CC(C)(N)CO,O=C(O)c1cnc(-c2ccc(Cl)s2)s1,CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,Amidation,,
C3075,1,,,,CCS(=O)(=O)Cl,NCC1CC(=O)N(c2ccc(Cl)cc2)C1,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C772,1,,,,CCS(=O)(=O)Cl,COc1cccnc1CN,CCS(=O)(=O)NCc1ncccc1OC,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C808,1,,,,CCS(=O)(=O)Cl,NCc1nc(Cl)ccc1Br,CCS(=O)(=O)NCc1nc(Cl)ccc1Br,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C850,1,,,,CCS(=O)(=O)Cl,Cc1cnccc1CN,CCS(=O)(=O)NCc1ccncc1C,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C852,1,,,,CCS(=O)(=O)Cl,Cc1cccnc1CN,CCS(=O)(=O)NCc1ncccc1C,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C856,1,,,,CCS(=O)(=O)Cl,Cc1cnc(CN)c(C)c1,CCS(=O)(=O)NCc1ncc(C)cc1C,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C885,1,,,,CCS(=O)(=O)F,Cc1cc(C)c(CN)cn1,CCS(=O)(=O)NCc1cnc(C)cc1C,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C915,1,,,,CCS(=O)(=O)Cl,Cc1ccncc1CN,CCS(=O)(=O)NCc1cnccc1C,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C28013,1,,,,O=C(O)c1ccncc1,Cc1ccc(N)c2cccnc12,Cc1ccc(NC(=O)c2ccncc2)c2cccnc12,Amidation,,
C29639,1,,,,O=C(O)c1ccncc1,Nc1ccc(Cl)c2ncccc12,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1,Amidation,,
C47445,1,,,,CC(O)CN,Cc1c(N)ccnc1Cl,Cc1c(NC(=O)NCC(C)O)ccnc1Cl,Formation_of_urea_from_two_amines,,
C48678,1,,,,Cc1cnccc1N,CC(O)CN,Cc1cnccc1NC(=O)NCC(C)O,Formation_of_urea_from_two_amines,,
C49374,1,,,,CC(O)CN,Cc1cccc(N)n1,Cc1cccc(NC(=O)NCC(C)O)n1,Formation_of_urea_from_two_amines,,
C49503,1,,,,Cc1nc(C=O)cs1,Nc1nccc2ccccc12,Cc1nc(CNc2nccc3ccccc23)cs1,Reductive_amination,,
C56537,1,,,,OCc1ccncc1,Nc1cccc2c(Br)ccnc12,Brc1ccnc2c(NCc3ccncc3)cccc12,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C54733,1,,,,CC(O)CN,Cc1cc(N)nn1CC(F)(F)F,Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C54945,1,,,,CC(O)CN,Cc1cc(N)nn1C1CC1,Cc1cc(NC(=O)NCC(C)O)nn1C1CC1,Formation_of_urea_from_two_amines,,
C32376,1,,,,c1ccc2c(c1)CNCCO2,Brc1ccccn1,c1ccc(N2CCOc3ccccc3C2)nc1,N-nucleophilic_aromatic_substitution,,
C55155,1,,,,CC(O)CN,COCCCn1ccc(N)n1,COCCCn1ccc(NC(=O)NCC(C)O)n1,Formation_of_urea_from_two_amines,,
C55174,1,,,,CC(O)CN,Nc1ccn(-c2ncccn2)n1,CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,Formation_of_urea_from_two_amines,,
