hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
69515,NC1=NCCCS1,PQXQEOIFIUJLIE-UHFFFAOYSA-N,4.0,100.0,EUR,58.0,10,Enamine,Global catalog,EN300-221735,Br.NC1=NCCCS1,,4,4,"[86, 62350, 62352, 62357]","[734, 131917, 131919, 131924]",N-nucleophilic_aromatic_substitution,[734]
69516,CC(C)n1cc(Br)cn1,HYWPFIXULAMLRZ-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-206185,CC(C)n1cc(Br)cn1,,1,1,[86],[734],N-nucleophilic_aromatic_substitution,[734]
69859,CCS(=O)(=O)Cl,FRYHCSODNHYDPU-UHFFFAOYSA-N,9.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-20630,CCS(=O)(=O)Cl,,9,9,"[357, 359, 380, 387, 389, 391, 392, 393, 395]","[772, 791, 808, 850, 852, 856, 890, 915, 3075]",Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),"[772, 791, 808, 850, 852, 856, 890, 915, 3075]"
69970,COc1cccnc1CN,YYZWARUBOQAMQS-UHFFFAOYSA-N,1.0,100.0,EUR,91.0,10,Enamine,Global catalog,EN300-234756,COc1cccnc1CN,,1,1,[387],[772],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[772]
69935,NCc1ncccc1F,QLRSPKRGYAGOEC-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-111522,Cl.Cl.NCc1ncccc1F,,1,1,[357],[791],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[791]
69972,NCc1nc(Cl)ccc1Br,YTHRNMAFBYGWGU-UHFFFAOYSA-N,1.0,100.0,EUR,78.0,10,Enamine,Global catalog,EN300-6762324,Cl.NCc1nc(Cl)ccc1Br,,1,1,[389],[808],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[808]
69974,Cc1cnccc1CN,DZMLSCJHELOPFT-UHFFFAOYSA-N,1.0,50.0,EUR,26.0,2,Enamine,EU stock,EN300-156128,Cc1cnccc1CN,,1,1,[391],[850],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[850]
69975,Cc1cccnc1CN,QNLAYSBIWHHNIT-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-70011,Cc1cccnc1CN,,1,1,[392],[852],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[852]
69976,Cc1cnc(CN)c(C)c1,PDCOMACPZBDJAI-UHFFFAOYSA-N,1.0,50.0,EUR,195.0,2,Enamine,EU stock,EN300-637439,Cc1cnc(CN)c(C)c1,,1,1,[393],[856],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[856]
69871,CCS(=O)(=O)F,OIBMEBLCOQCFIT-UHFFFAOYSA-N,5.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-53132,CCS(=O)(=O)F,,5,5,"[311, 358, 360, 369, 394]","[885, 886, 897, 1345, 7755]",Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),"[885, 886, 897, 1345, 7755]"
69977,Cc1cc(C)c(CN)cn1,DCSKAVJDRSTGDL-UHFFFAOYSA-N,1.0,50.0,EUR,96.0,2,Enamine,EU stock,EN300-248908,Cc1cc(C)c(CN)cn1.Cl,,1,1,[394],[885],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[885]
69936,NCc1ncccc1Cl,QPRZPKGMUJBNPY-UHFFFAOYSA-N,1.0,50.0,EUR,45.0,2,Enamine,EU stock,EN300-7423931,Cl.Cl.NCc1ncccc1Cl,,1,1,[358],[886],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[886]
69937,NCc1ccncc1Cl,AAEMFCVTGBYCHP-UHFFFAOYSA-N,1.0,50.0,EUR,146.0,2,Enamine,EU stock,EN300-315954,NCc1ccncc1Cl,,1,1,[359],[890],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[890]
69938,NCc1ccc(OCc2ccccn2)cc1,MOGOVNPLJXJTQM-UHFFFAOYSA-N,1.0,100.0,EUR,125.0,10,Enamine,Global catalog,EN300-44974,NCc1ccc(OCc2ccccn2)cc1,,1,1,[360],[897],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[897]
69978,Cc1ccncc1CN,VLIQJGACTLGWCQ-UHFFFAOYSA-N,1.0,50.0,EUR,31.0,2,Enamine,EU stock,EN300-160160,Cc1ccncc1CN,,1,1,[395],[915],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[915]
69839,CC(C)(N)CO,CBTVGIZVANVGBH-UHFFFAOYSA-N,3.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-19785,CC(C)(N)CO,,3,3,"[287, 299, 373]","[1226, 1443, 2576]","Formation_of_urea_from_two_amines, Amidation","[1226, 1443, 2576]"
69955,O=C(O)c1cnc(-c2ccc(Cl)s2)s1,WVWISMXPOCOVOM-UHFFFAOYSA-N,1.0,50.0,EUR,129.0,2,Enamine,EU stock,EN300-55134,O=C(O)c1cnc(-c2ccc(Cl)s2)s1,,1,1,[373],[1226],Amidation,[1226]
69870,CNc1cccnc1,DBGFNLVRAFYZBI-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-75884,CNc1cccnc1,,1,1,[311],[1345],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[1345]
69838,O=C(O)c1csc(-c2ccsc2)n1,JZSRMMAFRQYIHP-UHFFFAOYSA-N,1.0,50.0,EUR,58.0,2,Enamine,EU stock,EN300-14475,O=C(O)c1csc(-c2ccsc2)n1,,1,1,[287],[1443],Amidation,[1443]
13563,c1cc(C2CCNC2)no1,UPYSXYBXOWPKLL-UHFFFAOYSA-N,1.0,50.0,EUR,215.0,2,Enamine,EU stock,EN300-1704846,Cl.c1cc(C2CCNC2)no1,,1,1,[299],[2576],Formation_of_urea_from_two_amines,[2576]
69843,CC(N)c1ncccn1,GVPDKCZQAZOFJX-UHFFFAOYSA-N,1.0,50.0,EUR,71.0,2,Enamine,EU stock,EN300-1072130,CC(N)c1ncccn1.Cl.Cl,,1,1,[292],[2664],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[2664]
69846,N#CCS(=O)(=O)Cl,QSOXEHOYDPAXTG-UHFFFAOYSA-N,3.0,50.0,EUR,65.0,2,Enamine,EU stock,EN300-50576,N#CCS(=O)(=O)Cl,,3,3,"[292, 329, 913]","[2664, 6543, 65264]",Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),"[2664, 6543, 65264]"
69963,NCC1CC(=O)N(c2ccc(Cl)cc2)C1,QOLMBFOCCBCENO-UHFFFAOYSA-N,1.0,100.0,EUR,245.0,10,Enamine,Global catalog,EN300-1228766,Cl.NCC1CC(=O)N(c2ccc(Cl)cc2)C1,,1,1,[380],[3075],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[3075]
70165,NCCN1CCCC1=O,HHEKNWQXFVOUNJ-UHFFFAOYSA-N,10.0,50.0,EUR,33.0,2,Enamine,EU stock,EN300-98214,NCCN1CCCC1=O,,10,10,"[555, 564, 567, 628, 630, 35960, 35985, 125605, 125622, 125630]","[4093, 41552, 41689, 65644, 65691, 70857, 105650, 105675, 195790, 195798]","Sulfonamide_Schotten-Baumann_with_amine_(intermolecular), Amidation","[4093, 65691]"
70172,O=C(O)C1(c2ccccn2)CC1,DHOWKIWZOCQDDV-UHFFFAOYSA-N,7.0,100.0,EUR,24.0,10,Enamine,Global catalog,EN300-193013,Cl.O=C(O)C1(c2ccccn2)CC1,,7,7,"[555, 125637, 125638, 125640, 126196, 126197, 126286]","[4093, 195805, 195806, 195808, 196364, 196365, 196454]",Amidation,[4093]
70163,O=C1CCCN1CC1CO1,ZNCCGGMWVUBVBO-UHFFFAOYSA-N,2.0,50.0,EUR,84.0,2,Enamine,EU stock,EN300-50559,O=C1CCCN1CC1CO1,,2,2,"[550, 558]","[4109, 43155]",Epoxide_+_amine_coupling,"[4109, 43155]"
70175,NC1(c2ccccn2)CC1,HRVLXTZHPZXHTR-UHFFFAOYSA-N,1.0,100.0,EUR,23.0,10,Enamine,Global catalog,EN300-202517,Cl.Cl.NC1(c2ccccn2)CC1,,1,1,[558],[4109],Epoxide_+_amine_coupling,[4109]
69841,CC(C)(C)O,DKGAVHZHDRPRBM-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-19307,CC(C)(C)O,,1,1,[312],[5550],Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[5550]
69872,OCC(O)c1cscn1,BIPPHLOXPKTPOS-UHFFFAOYSA-N,1.0,100.0,EUR,240.0,10,Enamine,Global catalog,EN300-1588556,Cl.OCC(O)c1cscn1,,1,1,[312],[5550],Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[5550]
69574,CC(N)c1cccnc1,IQVQNBXPYJGNEA-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-12752,CC(N)c1cccnc1,,1,1,[324],[6353],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6353]
69889,CCCS(=O)(=O)Cl,KPBSJEBFALFJTO-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-20712,CCCS(=O)(=O)Cl,,1,1,[324],[6353],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6353]
69878,CN(C)S(=O)(=O)Cl,JFCHSQDLLFJHOA-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-31750,CN(C)S(=O)(=O)Cl,,1,1,[328],[6527],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6527]
69896,CCC(N)c1ccncc1,VGFZORUFTNLGLI-UHFFFAOYSA-N,1.0,100.0,EUR,28.0,10,Enamine,Global catalog,EN300-84554,CCC(N)c1ccncc1,,1,1,[328],[6527],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6527]
69914,O=S(=O)(Cl)CCC(F)(F)C(F)F,OJONOGCEDDHBFT-UHFFFAOYSA-N,1.0,50.0,EUR,244.0,2,Enamine,EU stock,EN300-380658,O=S(=O)(Cl)CCC(F)(F)C(F)F,,1,1,[342],[6950],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6950]
69915,CCC(N)c1cccnc1,VQGKOCARCUCUMC-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-1240576,CCC(N)c1cccnc1,,1,1,[342],[6950],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[6950]
69949,NCc1nc2cc(Cl)ccc2[nH]1,WVBPEUGZSSDGPT-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-74681,Cl.Cl.NCc1nc2cc(Cl)ccc2[nH]1,,1,1,[369],[7755],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[7755]
69621,OB(O)c1ccncc1,QLULGIRFKAWHOJ-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-29529,OB(O)c1ccncc1,,1,1,[149],[8715],Sp2-sp2_Suzuki_coupling,[8715]
69622,Brc1cnc[nH]1,FHZALEJIENDROK-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-79484,Brc1c[nH]cn1,,1,1,[149],[8715],Sp2-sp2_Suzuki_coupling,[8715]
69698,NC(CO)Cc1cccnc1,XKBHUHOUKQVIHT-UHFFFAOYSA-N,1.0,50.0,EUR,36.0,2,Enamine,EU stock,EN300-174380,Cl.Cl.NC(CO)Cc1cccnc1,,1,1,[196],[9237],Amidation,[9237]
69699,C=C(Cn1ccnc1)C(=O)O,LVGCMSHXFMYULB-UHFFFAOYSA-N,1.0,50.0,EUR,233.0,2,Enamine,EU stock,EN300-307464,C=C(Cn1ccnc1)C(=O)O,,1,1,[196],[9237],Amidation,[9237]
69585,OCCCCC1CCCO1,USGLOBLTQVEPRF-UHFFFAOYSA-N,1.0,50.0,EUR,215.0,2,Enamine,EU stock,EN300-1634563,OCCCCC1CCCO1,,1,1,[128],[9420],Steglich_esterification,[9420]
69586,O=C(O)C=Cc1cscn1,IXZOCDJVRALXCG-UHFFFAOYSA-N,1.0,50.0,EUR,63.0,2,Enamine,EU stock,EN300-833065,O=C(O)/C=C/c1cscn1,,1,1,[128],[9420],Steglich_esterification,[9420]
69527,O=Cc1cc[nH]n1,ICFGFAUMBISMLR-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-36665,O=Cc1cc[nH]n1,,1,1,[190],[10275],Reductive_amination,[10275]
69689,NCC1COCC1O,MUTHVSUAOIYRHX-UHFFFAOYSA-N,1.0,50.0,EUR,132.0,2,Enamine,EU stock,EN300-386296,Cl.NC[C@@H]1COC[C@@H]1O,,1,1,[190],[10275],Reductive_amination,[10275]
69790,O=S(=O)(Cl)C1CCOC1,MVZIUOJNVVIOEY-UHFFFAOYSA-N,1.0,50.0,EUR,62.0,2,Enamine,EU stock,EN300-75790,O=S(=O)(Cl)C1CCOC1,,1,1,[256],[10412],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[10412]
69791,COC(=O)CCNCc1cccnc1,VICHRUIARTZWPL-UHFFFAOYSA-N,1.0,100.0,EUR,255.0,10,Enamine,Global catalog,EN300-106381,COC(=O)CCNCc1cccnc1,,1,1,[256],[10412],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),[10412]
