hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
734,CC(C)n1cc(NC2=NCCCS2)cn1,QOAMYTSWHMHASV-UHFFFAOYSA-N,1,8,"{18566, 18567, 34824, 34825, 298, 299, 34767, 34768}","['iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[86],"{69515, 69516}",[142],N-nucleophilic_aromatic_substitution,True,[734],"z0767a, z0892b"
772,CCS(=O)(=O)NCc1ncccc1OC,VJAXJNJKELENHP-UHFFFAOYSA-N,1,7,"{23873, 34886, 24042, 34890, 430, 50417, 442}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[387],"{69970, 69859}",[896],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[772],
791,CCS(=O)(=O)NCc1ncccc1F,VUWLOCLKMVGYPC-UHFFFAOYSA-N,1,7,"{35040, 50469, 496, 25393, 500, 35033, 25183}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[357],"{69859, 69935}",[795],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[791],
808,CCS(=O)(=O)NCc1nc(Cl)ccc1Br,KYKFBYOZGOXJTI-UHFFFAOYSA-N,1,7,"{544, 50498, 35109, 25991, 35120, 542, 26079}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[389],"{69859, 69972}",[901],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[808],
850,CCS(=O)(=O)NCc1ccncc1C,JSMASCHCFMRBQP-UHFFFAOYSA-N,1,7,"{35306, 35310, 655, 656, 50578, 27572, 27935}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[391],"{69859, 69974}",[903],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[850],
852,CCS(=O)(=O)NCc1ncccc1C,YCSYUEQAYOMAGE-UHFFFAOYSA-N,1,7,"{658, 28083, 660, 35314, 50581, 28088, 35321}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[392],"{69859, 69975}",[904],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[852],
856,CCS(=O)(=O)NCc1ncc(C)cc1C,RWOAYQXMDLLTCN-UHFFFAOYSA-N,1,7,"{35336, 50585, 35340, 28565, 664, 28409, 669}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[393],"{69976, 69859}",[905],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[856],
885,CCS(=O)(=O)NCc1cnc(C)cc1C,CZXIYJPCHZSMDX-UHFFFAOYSA-N,1,7,"{35395, 35397, 29417, 29359, 690, 50611, 695}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[394],"{69977, 69871}",[906],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[885],
886,CCS(=O)(=O)NCc1ncccc1Cl,QXEWTLBETOJJBD-UHFFFAOYSA-N,1,7,"{29568, 35401, 35403, 50612, 697, 699, 29596}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[358],"{69936, 69871}",[801],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[886],
890,CCS(=O)(=O)NCc1ccncc1Cl,XDGUIPBTSIDPMH-UHFFFAOYSA-N,1,7,"{705, 29807, 35409, 35410, 50614, 29655, 701}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[359],"{69937, 69859}",[807],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[890],
897,CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,ZPBHINXHGPMFIS-UHFFFAOYSA-N,1,6,"{706, 708, 29901, 30034, 35416, 35422}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[360],"{69938, 69871}",[813],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[897],
915,CCS(=O)(=O)NCc1cnccc1C,BCMFRBFZBGDNRH-UHFFFAOYSA-N,1,7,"{31072, 31108, 744, 746, 50640, 35478, 35481}","['DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[395],"{69978, 69859}",[913],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[915],
1226,CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,LGAJFWJWFLCBPR-UHFFFAOYSA-N,1,5,"{41842, 41844, 47894, 570, 575}","['all enamine ordered', 'iter1 scaffolds']",1,{1},[373],"{69955, 69839}",[858],Amidation,True,[1226],
1345,CCS(=O)(=O)N(C)c1cccnc1,KUNYWHXFLWUFPB-UHFFFAOYSA-N,1,8,"{50976, 4489, 47084, 51151, 4464, 51152, 55055, 47093}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[311],"{69870, 69871}",[634],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[1345],
1443,CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,IQFFGYDSWILZBZ-UHFFFAOYSA-N,1,9,"{771, 612, 48009, 621, 41134, 43149, 43154, 41140, 766}","['all enamine ordered', 'iter1 scaffolds']",1,{1},[287],"{69838, 69839}",[562],Amidation,True,[1443],
2576,CC(C)(CO)NC(=O)N1CCC(c2ccon2)C1,HCFQKVQSVAJCEG-UHFFFAOYSA-N,1,9,"{19046, 47306, 46347, 19051, 5133, 5102, 46349, 49367, 49370}","['all enamine ordered', 'iter1 scaffolds']",1,{1},[299],"{13563, 69839}",[598],Formation_of_urea_from_two_amines,True,[2576],
2664,CC(NS(=O)(=O)CC#N)c1ncccn1,XXQBDXPESCLSQC-UHFFFAOYSA-N,1,4,"{4443, 4387, 44277, 44275}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[292],"{69843, 69846}",[576],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[2664],
3075,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1,FOZSYKGVMKDKBV-UHFFFAOYSA-N,1,4,"{48473, 1082, 1092, 48487}","['Knitwork pure merge', 'JA curated YES', 'AC curated INTERESTING', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[380],"{69963, 69859}",[890],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[3075],
4093,O=C1CCCN1CCNC(=O)C1(c2ccccn2)CC1,GEKOBKXDLILBGR-UHFFFAOYSA-N,1,9,"{106018, 126916, 130279, 29000, 29168, 106033, 126899, 130266, 153084}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[555],"{70172, 70165}",[1362],Amidation,True,[4093],"d0472b, z0215a, z0386a, z0637a, z1018a"
4109,O=C1CCCN1CC(O)CNC1(c2ccccn2)CC1,WDWYXIDACVPHLO-UHFFFAOYSA-N,1,11,"{106080, 111205, 130361, 153098, 126958, 130350, 126964, 29494, 106073, 111196, 29753}","['all enamine ordered', 'iter1 scaffolds']",1,{1},[558],"{70163, 70175}",[1365],Epoxide_+_amine_coupling,True,[4109],
5550,CC(C)(C)OCC(O)c1cscn1,CVLSHSMLHFDUPS-UHFFFAOYSA-N,1,2,"{51474, 51476}","['AC curated YES', 'Green Site/RNA tunnel merge', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed']",1,{1},[312],"{69872, 69841}",[638],Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,True,[5550],
6353,CCCS(=O)(=O)NC(C)c1cccnc1,BXUSHCNUMJPCGE-UHFFFAOYSA-N,1,2,"{51745, 51748}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[324],"{69889, 69574}",[684],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[6353],
6527,CCC(NS(=O)(=O)N(C)C)c1ccncc1,XVUBRPZAPHYKMV-UHFFFAOYSA-N,1,2,"{51809, 51810}","['AC curated YES', 'DF curated INTERESTING', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[328],"{69896, 69878}",[700],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[6527],
6543,CC(NS(=O)(=O)CC#N)c1ccccn1,MHZFNJCMRZQBRV-UHFFFAOYSA-N,1,2,"{51832, 51831}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'Fragmenstein placed', 'Knitwork impure merge']",1,{1},[329],"{69788, 69846}",[704],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[6543],
6950,CCC(NS(=O)(=O)CCC(F)(F)C(F)F)c1cccnc1,KGPMAROHLPCGEI-UHFFFAOYSA-N,1,2,"{51979, 51980}","['AC curated YES', 'DF curated INTERESTING', 'iter1 scaffolds', 'Thumb Site 2 merge', 'acceptable', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[342],"{69914, 69915}",[756],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[6950],
7755,CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,IYFJGUVPMIFAOX-UHFFFAOYSA-N,1,2,"{39464, 39466}","['Green Site/RNA tunnel merge', 'DF curated INTERESTING', 'JA curated YES', 'AC curated INTERESTING', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[369],"{69949, 69871}",[842],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[7755],
8715,c1cc(-c2cnc[nH]2)ccn1,AJQQGJNKKDEODG-UHFFFAOYSA-N,1,20,"{177417, 27787, 177423, 183057, 183069, 3106, 13091, 69166, 69170, 3029, 42325, 42328, 55140, 55141, 204138, 51564, 13039, 51569, 204145, 27766}","['AC curated YES', 'Primer grip/N-pocket merge', 'DF curated YES', 'iter1 scaffolds', 'acceptable', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[149],"{69621, 69622}",[303],Sp2-sp2_Suzuki_coupling,True,[8715],
9237,C=C(Cn1ccnc1)C(=O)NC(CO)Cc1cccnc1,RVTMFWDQLFZZMH-UHFFFAOYSA-N,1,24,"{198272, 149506, 67203, 15496, 67209, 66709, 66712, 16795, 66358, 66363, 2875, 49980, 49988, 15433, 61641, 61642, 2894, 16726, 50658, 50666, 63089, 63092, 198262, 149496}","['AC curated YES', 'Green Site/RNA tunnel merge', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed']",1,{1},[196],"{69698, 69699}",[396],Amidation,True,[9237],
9420,O=C(C=Cc1cscn1)OCCCCC1CCCO1,MKHBBPCZLAEZGC-UHFFFAOYSA-N,1,12,"{8736, 37123, 38340, 29606, 37126, 38346, 46189, 46190, 10897, 10933, 29532, 8765}","['AC curated YES', 'Primer grip/N-pocket merge', 'Fragmenstein placed', 'iter1 scaffolds', 'Knitwork impure merge', 'acceptable', 'all enamine ordered']",1,{1},[128],"{69585, 69586}",[237],Steglich_esterification,True,[9420],
10275,OC1COCC1CNCc1ccn[nH]1,DFFAHRILMAZSJI-UHFFFAOYSA-N,1,4,"{62315, 2068, 62317, 2078}","['AC curated YES', 'Primer grip/N-pocket merge', 'Knitwork pure merge', 'Fragmenstein placed', 'iter1 scaffolds', 'acceptable']",1,{1},[190],"{69689, 69527}",[376],Reductive_amination,True,[10275],
10412,COC(=O)CCN(Cc1cccnc1)S(=O)(=O)C1CCOC1,NMMXOIPTLDWKIW-UHFFFAOYSA-N,1,18,"{2146, 37603, 35620, 37605, 33222, 69032, 74620, 33177, 39051, 10444, 10477, 69037, 72746, 72754, 20179, 2137, 20156, 35613}","['AC curated YES', 'Primer grip/N-pocket merge', 'Knitwork pure merge', 'AC curated INTERESTING', 'iter1 scaffolds', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[256],"{69790, 69791}",[500],Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),True,[10412],
12483,Nc1cc(NCc2c[nH]cn2)ccn1,FJIZSRBICNYNGK-UHFFFAOYSA-N,1,11,"{69508, 179204, 76690, 42867, 76691, 51221, 42869, 51223, 179221, 189301, 69503}","['Primer grip/N-pocket merge', 'DF curated YES', 'Knitwork pure merge', 'AC curated INTERESTING', 'iter1 scaffolds', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[247],"{69776, 69775}",[476],N-nucleophilic_aromatic_substitution,True,[12483],
12548,Cc1cnccc1NCc1c[nH]cn1,DJVQSQXCKGQNJE-UHFFFAOYSA-N,1,15,"{189314, 14310, 69511, 69512, 4400, 80592, 179251, 76692, 76694, 42871, 51224, 42873, 179227, 53209, 51225}","['Primer grip/N-pocket merge', 'DF curated YES', 'Knitwork pure merge', 'iter1 scaffolds', 'Fragmenstein placed', 'elaborated iter1 scaffold', 'acceptable', 'all enamine ordered']",1,{1},[248],"{69761, 69777}",[477],Reductive_amination,True,[12548],"d0378a, d0160a, d0191a, d0472a, d0615b, z0103a, z0215a, z0637a, z0875c"
13884,CC(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,HGMRINZTTPAZBD-UHFFFAOYSA-N,1,12,"{107968, 73409, 316484, 108006, 128806, 7081, 143824, 143795, 410995, 7094, 73403, 128798}","['Primer grip/N-pocket merge', 'DF curated YES', 'Knitwork pure merge', 'iter1 scaffolds', 'Fragmenstein placed', 'elaborated iter1 scaffold', 'acceptable', 'all enamine ordered']",1,{1},[262],"{69802, 69803}",[506],Amidation,True,[13884],"d0264a, d0472b, d0472a, z0215a, z0384a, z0496a, z0637a"
16080,CC(CNC(=O)c1ccc(-c2nc[nH]n2)nc1)c1ncc[nH]1,QAXRUQAZQORQFQ-UHFFFAOYSA-N,1,14,"{131263, 150659, 10789, 63871, 63865, 60170, 10706, 150677, 60760, 57145, 131258, 60765, 60157, 57151}","['Green Site/RNA tunnel merge', 'DF curated YES', 'iter1 scaffolds', 'Knitwork impure merge', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[184],"{69681, 69682}",[363],Amidation,True,[16080],
19774,CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,DNLUSRYLIQAQAE-UHFFFAOYSA-N,1,4,"{376688, 249635, 61491, 61493}","['Primer grip/N-pocket merge', 'DF curated YES', 'Knitwork pure merge', 'iter1 scaffolds', 'Fragmenstein placed', 'elaborated iter1 scaffold', 'acceptable', 'all enamine ordered']",1,{1},[186],"{69578, 69683}",[365],Amidation,True,[19774],"d0472a, z0103a"
20299,O=C(Nc1cccnc1C1CC1)c1cn[nH]c1,OUADHXQUGPVFPL-UHFFFAOYSA-N,1,14,"{186049, 173634, 76279, 440930, 206727, 268428, 186093, 173616, 144371, 64788, 206741, 76278, 64790, 144377}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[1029],"{70744, 70745}",[2207],Amidation,True,[20299],"d0160a, d0472b, d0472a, d0615b, z0215a, z0628a, z0637a, z0936a"
23289,CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,ZTHISXNUAOFTJB-UHFFFAOYSA-N,1,22,"{30217, 196624, 100920, 100937, 30282, 117071, 56016, 200271, 335957, 335958, 100311, 56023, 117082, 200283, 100320, 75363, 75366, 418407, 418408, 220661, 220662, 196606}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[976],"{69640, 70680}",[2070],Amidation,True,[23289],"d0160a, d0264a, d0615b, z0215a, z0496a, z0628a, z0936a, z1018a"
27991,O=C(OCCN1CCCc2ccccc21)c1cc2ccccn2c1,AFFRRVMMHWFGOI-UHFFFAOYSA-N,1,18,"{87333, 164069, 164133, 164072, 168037, 203781, 144555, 88044, 212879, 164155, 87347, 205043, 203797, 144566, 88027, 167996, 205053, 212862}",[],1,{1},[709],"{70368, 70370}",[1648],Steglich_esterification,True,[27991],
28013,Cc1ccc(NC(=O)c2ccncc2)c2cccnc12,IMMHZJLASOVDCS-UHFFFAOYSA-N,1,19,"{164741, 210962, 17814, 88087, 94360, 94368, 18210, 172199, 88106, 18223, 17718, 204887, 20447, 180449, 164707, 180452, 20456, 204905, 172146}","['Green Site/RNA tunnel merge', 'Knitwork pure merge', 'JA curated YES', 'iter1 scaffolds', 'acceptable', 'Fragmenstein placed', 'all enamine ordered']",1,{1},[428],"{69755, 70029}",[961],Amidation,True,[28013],
28106,O=C(OCCN1CCCc2ccccc21)c1ncsc1Br,SGOQIRYDERXCCT-UHFFFAOYSA-N,1,3,"{144610, 364369, 144594}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[710],"{70368, 70371}",[1649],Steglich_esterification,True,[28106],"z0165a, z0628a"
28301,CCn1cc(NC(=O)CCCc2csc3ccccc23)cn1,SEXBZMJMGRUWGS-UHFFFAOYSA-N,1,20,"{16515, 29203, 161304, 166556, 85028, 166567, 184490, 161331, 16440, 29114, 168770, 184537, 184548, 21608, 168810, 177773, 84976, 21495, 177786, 246267}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[901],"{70128, 70600}",[1960],Amidation,True,[28301],"z0215a, z0628a, z0653a, 3vws-b, 3vws-a"
28628,O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,DHXCDLUKFAKLSY-UHFFFAOYSA-N,1,10,"{180932, 30632, 186154, 219823, 219825, 203218, 186167, 180920, 30619, 203262}","['iter1 scaffolds', 'all enamine ordered', 'elaborated iter1 scaffold']",1,{1},[887],"{70401, 70583}",[1944],Amidation,True,[28628],"z0041a, z0107a, z0136a, 3vws-b, 3vws-a"
