smiles,hit1
Cc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1F,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=O)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Cl,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=S)c1,d1351a
N[n+]1ccc(C(=O)Nc2ccc(Cl)c3ncccc23)cc1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Br)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1I,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])cc1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Br,d1351a
C[n+]1ccc(C(=O)Nc2ccc(Cl)c3ncccc23)cc1,d1351a
Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(I)c1,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1O,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1S,d1351a
Nc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Cl)c1,d1351a
O=C(Nc1cc(Cl)c(Cl)c2ncccc12)c1ccncc1,d1351a
O=C(Nc1c(Cl)cc(Cl)c2ncccc12)c1ccncc1,d1351a
O=C(Nc1c(Br)cc(Cl)c2ncccc12)c1ccncc1,d1351a
CN(C(=O)c1ccncc1)c1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2[nH]c(=O)ccc12)c1ccncc1,d1351a
Cc1ccc2c(NC(=O)c3ccncc3)ccc(Cl)c2n1,d1351a
Cc1ccnc2c(Cl)ccc(NC(=O)c3ccncc3)c12,d1351a
Cc1cc(NC(=O)c2ccncc2)c2cccnc2c1Cl,d1351a
O=C(Nc1cc(F)c(Cl)c2ncccc12)c1ccncc1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])c(O)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(Cl)ncc1O,d1351a
NNc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,d1351a
Nc1nccc(C(=O)Nc2ccc(Cl)c3ncccc23)c1N,d1351a
Nc1cnc(Cl)cc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(O)nc(O)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])c(S)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)ncc1Br,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1c(O)cncc1O,d1351a
Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(F)cn1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)nc(F)c1,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(O)n1,d1351a
Nc1cncc(O)c1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1c(Br)cncc1I,d1351a
Nc1cnc(F)cc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(N)n1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1F,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(S)c1F,d1351a
Nc1cncc(N)c1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(Br)ncc1F,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(SS)c1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1Br,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(O)c1F,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(F)cn1,d1351a
CNc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,d1351a
Nc1c(C(=O)Nc2ccc(Cl)c3ncccc23)ccnc1S,d1351a
COc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Cl)c1I,d1351a
Cc1cncc(N)c1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
CNc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])cc1F,d1351a
N#Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1c(F)cncc1F,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(S)c1Cl,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(I)c1F,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(=O)[nH]cc1O,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)ncc1O,d1351a
Nc1cnc(O)cc1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(O)cn1,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)ncc1Cl,d1351a
Nn1ccc(C(=O)Nc2ccc(Cl)c3ncccc23)cc1=O,d1351a
Nc1cncc(F)c1C(=O)Nc1ccc(Cl)c2ncccc12,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1cc(S)nc(S)c1,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(Br)cn1,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(N)cn1,d1351a
Nc1nccc(C(=O)Nc2ccc(Cl)c3ncccc23)c1O,d1351a
O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(O)c1Cl,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(S)n1,d1351a
Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(F)n1,d1351a
