id,smiles
77413,Cc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12
77414,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1F
77415,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=O)c1
77416,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1
77417,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Cl
77418,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=S)c1
77419,N[n+]1ccc(C(=O)Nc2ccc(Cl)c3ncccc23)cc1
77420,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Br)c1
77421,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1I
77422,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])cc1
77423,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Br
77424,C[n+]1ccc(C(=O)Nc2ccc(Cl)c3ncccc23)cc1
77425,Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1
77426,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(I)c1
77427,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1
77428,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1O
77429,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1S
77430,Nc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12
77431,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Cl)c1
77432,O=C(Nc1cc(Cl)c(Cl)c2ncccc12)c1ccncc1
77433,O=C(Nc1c(Cl)cc(Cl)c2ncccc12)c1ccncc1
77434,O=C(Nc1c(Br)cc(Cl)c2ncccc12)c1ccncc1
77435,CN(C(=O)c1ccncc1)c1ccc(Cl)c2ncccc12
77436,O=C(Nc1ccc(Cl)c2[nH]c(=O)ccc12)c1ccncc1
77437,Cc1ccc2c(NC(=O)c3ccncc3)ccc(Cl)c2n1
77438,Cc1ccnc2c(Cl)ccc(NC(=O)c3ccncc3)c12
77439,Cc1cc(NC(=O)c2ccncc2)c2cccnc2c1Cl
77440,O=C(Nc1cc(F)c(Cl)c2ncccc12)c1ccncc1
77441,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])c(O)c1
77442,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(Cl)ncc1O
77443,NNc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1
77444,Nc1nccc(C(=O)Nc2ccc(Cl)c3ncccc23)c1N
77445,Nc1cnc(Cl)cc1C(=O)Nc1ccc(Cl)c2ncccc12
77447,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(O)nc(O)c1
77448,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])c(S)c1
77449,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)ncc1Br
77450,O=C(Nc1ccc(Cl)c2ncccc12)c1c(O)cncc1O
77451,Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(F)cn1
77459,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)nc(F)c1
