hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
77413,Cc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,DKXOGIRLTSGRJI-UHFFFAOYSA-N,1,1,{237414},[],1,{1},[6906],"{77227, 70030}",[2386],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77414,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1F,ZEHYTGIWLNUMJA-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6907],"{77228, 70030}",[2387],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77415,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=O)c1,UDKOUZLHYKSJFE-UHFFFAOYSA-N,1,1,{237415},[],1,{1},[6908],"{77229, 70030}",[2388],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77416,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1,LQTUHDDQBMLITN-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6909],"{77230, 70030}",[2389],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77417,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Cl,FEGQPMPNQIBIFW-UHFFFAOYSA-N,1,1,{237416},[],1,{1},[6910],"{70030, 77231}",[2390],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77418,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[nH]c(=S)c1,WDSXJQJCRKVNRF-UHFFFAOYSA-N,1,1,{237417},[],1,{1},[6911],"{77232, 70030}",[2391],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77420,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Br)c1,YMACCDUQZKZGKU-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6913],"{77234, 70030}",[2392],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77421,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1I,FHJMQFKSNSGLBX-UHFFFAOYSA-N,1,1,{237418},[],1,{1},[6914],"{77235, 70030}",[2393],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77422,O=C(Nc1ccc(Cl)c2ncccc12)c1cc[n+]([O-])cc1,YPTQRGWRACQHFW-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6915],"{77236, 70030}",[2394],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77423,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1Br,SEDCSWGYZVKWFB-UHFFFAOYSA-N,1,1,{237419},[],1,{1},[6916],"{77237, 70030}",[2395],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77425,Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,SFMIFWFCGANEIQ-UHFFFAOYSA-N,1,1,{237421},[],1,{1},[6918],"{70030, 77239}",[2396],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77427,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,XRTWCUBAXOHFQM-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6920],"{77241, 70030}",[2397],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77428,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1O,XJDXJFMRGYLKLI-UHFFFAOYSA-N,1,1,{237423},[],1,{1},[6921],"{77242, 70030}",[2398],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77429,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1S,FNMWNAKKFAQWDR-UHFFFAOYSA-N,1,1,{237424},[],1,{1},[6922],"{77243, 70030}",[2399],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77430,Nc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,ZFJULGNILCROJB-UHFFFAOYSA-N,1,1,{237425},[],1,{1},[6923],"{77244, 70030}",[2400],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77431,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Cl)c1,YLFTYQADIKUYLP-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6924],"{77245, 70030}",[2401],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77434,O=C(Nc1c(Br)cc(Cl)c2ncccc12)c1ccncc1,MJGSXYCHJYMWDI-UHFFFAOYSA-N,1,1,{237427},[],1,{1},[6927],"{77328, 69755}",[2402],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77435,CN(C(=O)c1ccncc1)c1ccc(Cl)c2ncccc12,AUVRBYBBKIQASN-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6928],"{77329, 69755}",[2403],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77438,Cc1ccnc2c(Cl)ccc(NC(=O)c3ccncc3)c12,PJXQTSBCVHJRKP-UHFFFAOYSA-N,1,1,{237430},[],1,{1},[6931],"{69755, 77332}",[2404],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77442,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(Cl)ncc1O,CVJLDESCBYRUSZ-UHFFFAOYSA-N,1,1,{237434},[],1,{1},[6935],"{70030, 77247}",[2405],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77444,Nc1nccc(C(=O)Nc2ccc(Cl)c3ncccc23)c1N,ZEYRBNDBLVWNBP-UHFFFAOYSA-N,1,1,{237435},[],1,{1},[6937],"{77249, 70030}",[2406],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77445,Nc1cnc(Cl)cc1C(=O)Nc1ccc(Cl)c2ncccc12,SCHDDTPOXGQVEZ-UHFFFAOYSA-N,1,1,{237436},[],1,{1},[6938],"{77250, 70030}",[2407],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77447,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(O)nc(O)c1,XFZJRAQUFMYNIR-UHFFFAOYSA-N,1,1,{237437},[],1,{1},[6940],"{77251, 70030}",[2408],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77459,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)nc(F)c1,BYJNDXFLXZDNSG-UHFFFAOYSA-N,1,1,{237446},[],1,{1},[6952],"{77256, 70030}",[2410],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77472,Nc1cnc(F)cc1C(=O)Nc1ccc(Cl)c2ncccc12,OOTGRIVUZCDFPN-UHFFFAOYSA-N,1,1,{237456},[],1,{1},[6965],"{77260, 70030}",[2415],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77473,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(N)n1,AKDLQSUYGKFRMK-UHFFFAOYSA-N,1,1,{237457},[],1,{1},[6966],"{77261, 70030}",[2416],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77482,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1F,MQYCNUOGMHRDIQ-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6975],"{77262, 70030}",[2417],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77485,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(Br)ncc1F,OCOADEBPRSAWMM-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6978],"{77265, 70030}",[2418],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77489,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(O)c1F,PNZPTWWVGQRGHR-UHFFFAOYSA-N,1,1,{237463},[],1,{1},[6982],"{77268, 70030}",[2419],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77490,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(F)cn1,FTWJTVFTLAEIQX-UHFFFAOYSA-N,1,1,{237464},[],1,{1},[6983],"{77269, 70030}",[2420],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77494,CNc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,CIXSUHMNFGZJLO-UHFFFAOYSA-N,1,1,{237468},[],1,{1},[6987],"{77270, 70030}",[2421],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77502,COc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,PKCFMXQDQRGZQE-UHFFFAOYSA-N,1,0,set(),[],1,{1},[6995],"{77272, 70030}",[2425],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77503,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(Cl)c1I,RZCYRPLDFCEVMH-UHFFFAOYSA-N,1,1,{237475},[],1,{1},[6996],"{77273, 70030}",[2426],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77514,CNc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,RRXUTBQGHFYNDX-UHFFFAOYSA-N,1,1,{237485},[],1,{1},[7007],"{77275, 70030}",[2430],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77516,N#Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)ccn1,KOLRUNJXVRCYKB-UHFFFAOYSA-N,1,1,{237487},[],1,{1},[7009],"{77277, 70030}",[2431],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77517,O=C(Nc1ccc(Cl)c2ncccc12)c1c(F)cncc1F,KGPFAAIGJFVIFJ-UHFFFAOYSA-N,1,1,{237488},[],1,{1},[7010],"{77278, 70030}",[2432],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77519,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(I)c1F,YNCAVXKHMCCZDT-UHFFFAOYSA-N,1,0,set(),[],1,{1},[7012],"{77280, 70030}",[2433],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77533,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(F)ncc1Cl,ZILUFIILJKREFE-UHFFFAOYSA-N,1,1,{237501},[],1,{1},[7026],"{77285, 70030}",[2437],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77593,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)c(Br)cn1,HJQSZQCXVGWBTD-UHFFFAOYSA-N,1,1,{237547},[],1,{1},[7086],"{77289, 70030}",[2456],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77614,Nc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(F)n1,JVNYZISUFTUEOU-UHFFFAOYSA-N,1,1,{237561},[],1,{1},[7107],"{77294, 70030}",[2460],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77615,O=C(Nc1ccc(Cl)c2ncccc12)c1ccn(O)c(=O)c1,GVZALRPEDLHCSI-UHFFFAOYSA-N,1,1,{237562},[],1,{1},[7108],"{70030, 77295}",[2461],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77616,Nc1nccc(C(=O)Nc2ccc(Cl)c3ncccc23)c1Cl,RQUDDCYHJJWKDP-UHFFFAOYSA-N,1,1,{237563},[],1,{1},[7109],"{77296, 70030}",[2462],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77617,O=C(Nc1ccc(Cl)c2ncccc12)c1cc(O)ncc1F,PGTTYWWYDAXFTR-UHFFFAOYSA-N,1,1,{237564},[],1,{1},[7110],"{77297, 70030}",[2463],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77619,Nc1c(C(=O)Nc2ccc(Cl)c3ncccc23)ccnc1F,QTJOFTCXQRALNH-UHFFFAOYSA-N,1,1,{237566},[],1,{1},[7112],"{77299, 70030}",[2464],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77632,O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(O)c1O,HVIQGCTXQLGIFI-UHFFFAOYSA-N,1,1,{237577},[],1,{1},[7125],"{77302, 70030}",[2468],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77633,NNc1cnccc1C(=O)Nc1ccc(Cl)c2ncccc12,FAVLVDCRSWVQBT-UHFFFAOYSA-N,1,1,{237578},[],1,{1},[7126],"{70030, 77303}",[2469],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
77634,Cc1cc(C(=O)Nc2ccc(Cl)c3ncccc23)cc(C)n1,YOKVEJILSHDNKC-UHFFFAOYSA-N,1,1,{237579},[],1,{1},[7127],"{77304, 70030}",[2470],Amidation,False,[29639],"d0472b, z0221a, z0881a, z1040a"
