compound_id,smiles,amount
70030,Nc1ccc(Cl)c2ncccc12,99.0
77227,Cc1cnccc1C(=O)O,1.0
77228,O=C(O)c1ccncc1F,1.0
77229,O=C(O)c1cc[nH]c(=O)c1,1.0
77230,O=C(O)c1ccnc(F)c1,1.0
77231,O=C(O)c1ccncc1Cl,1.0
77232,O=C(O)c1cc[nH]c(=S)c1,1.0
77233,N[n+]1ccc(C(=O)O)cc1,1.0
77234,O=C(O)c1ccnc(Br)c1,1.0
77235,O=C(O)c1ccncc1I,1.0
77236,O=C(O)c1cc[n+]([O-])cc1,1.0
77237,O=C(O)c1ccncc1Br,1.0
77238,C[n+]1ccc(C(=O)O)cc1,1.0
77239,Cc1cc(C(=O)O)ccn1,1.0
77240,O=C(O)c1ccnc(I)c1,1.0
77241,Nc1cc(C(=O)O)ccn1,1.0
77242,O=C(O)c1ccncc1O,1.0
77243,O=C(O)c1ccncc1S,1.0
77244,Nc1cnccc1C(=O)O,1.0
77245,O=C(O)c1ccnc(Cl)c1,1.0
69755,O=C(O)c1ccncc1,87.0
77326,Nc1cc(Cl)c(Cl)c2ncccc12,1.0
77327,Nc1c(Cl)cc(Cl)c2ncccc12,1.0
77328,Nc1c(Br)cc(Cl)c2ncccc12,1.0
77329,CNc1ccc(Cl)c2ncccc12,1.0
77330,Nc1ccc(Cl)c2[nH]c(=O)ccc12,1.0
77331,Cc1ccc2c(N)ccc(Cl)c2n1,1.0
77332,Cc1ccnc2c(Cl)ccc(N)c12,1.0
77333,Cc1cc(N)c2cccnc2c1Cl,1.0
77334,Nc1cc(F)c(Cl)c2ncccc12,1.0
77246,O=C(O)c1cc[n+]([O-])c(O)c1,1.0
77247,O=C(O)c1cc(Cl)ncc1O,1.0
77248,NNc1cc(C(=O)O)ccn1,1.0
77249,Nc1nccc(C(=O)O)c1N,1.0
77250,Nc1cnc(Cl)cc1C(=O)O,1.0
77251,O=C(O)c1cc(O)nc(O)c1,1.0
77252,O=C(O)c1cc[n+]([O-])c(S)c1,1.0
77253,O=C(O)c1cc(F)ncc1Br,1.0
77254,O=C(O)c1c(O)cncc1O,1.0
77255,Cc1cc(C(=O)O)c(F)cn1,1.0
77256,O=C(O)c1cc(F)nc(F)c1,1.0
77257,Nc1cc(C(=O)O)cc(O)n1,1.0
77258,Nc1cncc(O)c1C(=O)O,1.0
77259,O=C(O)c1c(Br)cncc1I,1.0
77260,Nc1cnc(F)cc1C(=O)O,1.0
77261,Nc1cc(C(=O)O)cc(N)n1,1.0
77262,O=C(O)c1ccnc(F)c1F,1.0
77263,O=C(O)c1ccnc(S)c1F,1.0
77264,Nc1cncc(N)c1C(=O)O,1.0
77265,O=C(O)c1cc(Br)ncc1F,1.0
77266,O=C(O)c1ccnc(SS)c1,1.0
77267,O=C(O)c1ccnc(F)c1Br,1.0
77268,O=C(O)c1ccnc(O)c1F,1.0
77269,Nc1cc(C(=O)O)c(F)cn1,1.0
77270,CNc1cc(C(=O)O)ccn1,1.0
77271,Nc1c(C(=O)O)ccnc1S,1.0
77272,COc1cnccc1C(=O)O,1.0
77273,O=C(O)c1ccnc(Cl)c1I,1.0
77274,Cc1cncc(N)c1C(=O)O,1.0
77275,CNc1cnccc1C(=O)O,1.0
77276,O=C(O)c1cc[n+]([O-])cc1F,1.0
77277,N#Cc1cc(C(=O)O)ccn1,1.0
77278,O=C(O)c1c(F)cncc1F,1.0
77279,O=C(O)c1ccnc(S)c1Cl,1.0
77280,O=C(O)c1ccnc(I)c1F,1.0
77281,O=C(O)c1cc(=O)[nH]cc1O,1.0
77282,O=C(O)c1cc(F)ncc1O,1.0
77283,Nc1cnc(O)cc1C(=O)O,1.0
77284,Nc1cc(C(=O)O)c(O)cn1,1.0
77285,O=C(O)c1cc(F)ncc1Cl,1.0
77286,Nn1ccc(C(=O)O)cc1=O,1.0
77287,Nc1cncc(F)c1C(=O)O,1.0
77288,O=C(O)c1cc(S)nc(S)c1,1.0
77289,Nc1cc(C(=O)O)c(Br)cn1,1.0
77290,Nc1cc(C(=O)O)c(N)cn1,1.0
77291,Nc1nccc(C(=O)O)c1O,1.0
77292,O=C(O)c1ccnc(O)c1Cl,1.0
77293,Nc1cc(C(=O)O)cc(S)n1,1.0
77294,Nc1cc(C(=O)O)cc(F)n1,1.0
77295,O=C(O)c1ccn(O)c(=O)c1,1.0
77296,Nc1nccc(C(=O)O)c1Cl,1.0
77297,O=C(O)c1cc(O)ncc1F,1.0
77298,O=C(O)c1ccncc1NO,1.0
77299,Nc1c(C(=O)O)ccnc1F,1.0
77300,O=C(O)c1ccnc(Br)c1I,1.0
77301,O=C(O)c1c(F)cncc1S,1.0
77302,O=C(O)c1ccnc(O)c1O,1.0
77303,NNc1cnccc1C(=O)O,1.0
77304,Cc1cc(C(=O)O)cc(C)n1,1.0
77305,NOc1cc(C(=O)O)ccn1,1.0
77306,O=C(O)c1ccnc(NO)c1,1.0
77307,Nc1nccc(C(=O)O)c1F,1.0
77308,Nc1cc(C(=O)O)cc(Cl)n1,1.0
77309,O=C(O)c1c(O)cncc1F,1.0
77310,Nc1cc(C(=O)O)cc(Br)n1,1.0
77311,Nc1c(C(=O)O)ccnc1Br,1.0
77312,O=C(O)c1ccnc(F)c1O,1.0
77313,O=C(O)c1cc(F)[nH]c(=O)c1,1.0
77314,NOc1cnccc1C(=O)O,1.0
77315,O=C(O)c1c(O)cncc1Cl,1.0
77316,O=C(O)c1ccnc(F)c1Cl,1.0
77317,O=C(O)c1c(F)cncc1I,1.0
77318,O=C(O)c1c(F)cncc1Cl,1.0
77319,Nc1c(C(=O)O)ccnc1Cl,1.0
77335,Nc1cc(F)c(Cl)c2[nH]c(=O)ccc12,1.0
77320,Nc1cc(C(=O)O)cc[n+]1[O-],1.0
77321,O=C(O)c1cc(F)ncc1F,1.0
77322,Nc1cnc(Br)cc1C(=O)O,1.0
77323,Nc1c(C(=O)O)cc[nH]c1=O,1.0
77336,Nc1c(Cl)cc(Cl)c2nc(Cl)ccc12,1.0
77337,Nc1c(Cl)cc(Cl)c2nc(O)ccc12,1.0
77324,Cc1c(C(=O)O)ccnc1Cl,1.0
