compound_id,smiles,amount
70091,Nc1cccc2c(Br)ccnc12,98.0
183812,[O-][n+]1ccc(CO)cc1,1.0
183813,OCc1ccnc(S)c1,1.0
183814,OCc1ccnc(F)c1,1.0
183815,Cc1cnccc1CO,1.0
183816,Cc1cc(CO)ccn1,1.0
183817,OCc1ccnc(I)c1,1.0
183818,C[n+]1ccc(CO)cc1,1.0
183819,OCc1ccncc1O,1.0
183820,OCc1ccncc1I,1.0
183821,OCc1ccncc1S,1.0
70604,CC(O)c1ccncc1,1.0
183822,O=c1cc(CO)cc[nH]1,1.0
183823,OCc1ccncc1Br,1.0
69733,OCc1ccnc(Cl)c1,1.0
183824,OCc1ccncc1Cl,1.0
183825,OCc1ccnc(Br)c1,1.0
183826,OC1Cc2cnccc21,1.0
183827,Nc1cc(CO)ccn1,1.0
183828,OCc1ccncc1F,1.0
183829,Nc1cnccc1CO,1.0
70090,OCc1ccncc1,16.0
183907,CNc1cccc2c(Br)ccnc12,1.0
183908,Cc1cnc2c(N)cccc2c1Br,1.0
183830,CC(O)c1ccnc(Br)c1,1.0
183831,N#Cc1cc(CO)ccn1,1.0
183832,CC(O)c1ccncc1F,1.0
183833,OCc1c(F)cncc1I,1.0
183834,CC(O)c1ccnc(N)c1,1.0
183835,CCC(O)c1ccncc1,1.0
183836,CC(C)(O)c1ccncc1,1.0
183837,Nc1cc(CO)c(N)cn1,1.0
183838,C=CC(O)c1ccncc1,1.0
183839,OCc1ccnc(F)c1O,1.0
183840,Cc1nccc(CO)c1N,1.0
183841,C#Cc1cc(CO)ccn1,1.0
183842,CNc1cnccc1CO,1.0
183843,OCc1cc(O)ncc1F,1.0
183844,NCc1cc(CO)ccn1,1.0
183845,Nc1cc(CO)c(I)cn1,1.0
183846,Nc1nccc(CO)c1S,1.0
183847,OCc1ccnc(CBr)c1,1.0
183848,OCc1ccnc(F)c1I,1.0
183849,Cc1nccc(CO)c1C,1.0
183850,Nc1c(CO)ccnc1S,1.0
183851,COc1cnccc1CO,1.0
183852,O=Cc1cc(CO)ccn1,1.0
183853,Cc1cnccc1C(C)O,1.0
183854,Nc1cncc(F)c1CO,1.0
183855,Cc1cnc(N)cc1CO,1.0
183856,Cc1cnc(F)cc1CO,1.0
183857,CCc1cc(CO)ccn1,1.0
183858,N#Cc1cnccc1CO,1.0
183859,Cc1cc(CO)c(N)cn1,1.0
183860,Nc1c(CO)ccnc1Cl,1.0
183861,Nc1nccc(CO)c1F,1.0
183862,OCc1c(F)cncc1F,1.0
183863,OCc1ccnc(F)c1Cl,1.0
183864,OCc1cc(F)ncc1F,1.0
183865,OCc1ccnc(F)c1F,1.0
183866,Nc1cnc(F)cc1CO,1.0
183867,OCc1cc(I)ncc1F,1.0
183868,OCc1cc(F)nc(F)c1,1.0
183869,C#CC(O)c1ccncc1,1.0
183870,O=c1cc(CO)ccn1O,1.0
70243,NCC(O)c1ccncc1,1.0
183871,OCc1c(F)cncc1Cl,1.0
183872,Nc1cnc(Cl)cc1CO,1.0
183873,CNc1cc(CO)ccn1,1.0
183874,OCc1cc(F)ncc1Cl,1.0
183875,Cc1c(CO)ccnc1F,1.0
183876,Nc1cc(CO)cc(Cl)n1,1.0
183877,Cc1cc(CO)cc(C)n1,1.0
183878,Nc1nccc(CO)c1O,1.0
183879,OCc1cc(Cl)ncc1F,1.0
183880,Nc1cc(CO)c(F)cn1,1.0
183881,OCc1ccnc(Cl)c1O,1.0
183909,COc1cc(N)c2nccc(Br)c2c1,1.0
183882,OCc1ccnc(Cl)c1F,1.0
183883,OCc1cc(F)ncc1O,1.0
183884,Cc1cc(CO)c(F)cn1,1.0
183885,OCc1ccnc(O)c1F,1.0
183886,CC(O)c1ccncc1N,1.0
183887,OCc1ccnc(NO)c1,1.0
183888,OC(CF)c1ccncc1,1.0
183889,NNc1cc(CO)ccn1,1.0
183890,Cc1cncc(C)c1CO,1.0
183891,Nc1cc(CO)cc(F)n1,1.0
183892,Cc1cc(CO)cc(N)n1,1.0
183893,O=c1cc(CO)cc(F)[nH]1,1.0
183894,OCc1cc(F)ncc1I,1.0
183895,COc1cc(CO)ccn1,1.0
183896,OCc1cc(O)nc(O)c1,1.0
183897,OCc1ccnc(Br)c1O,1.0
183898,Nc1nccc(CO)c1N,1.0
183899,Cc1c(CO)ccnc1N,1.0
183900,OCc1ccnc(I)c1F,1.0
183901,Cn1ccc(CO)cc1=O,1.0
183902,OCc1ccncc1NO,1.0
183903,NNc1cnccc1CO,1.0
183904,OCc1cc(F)nc(I)c1,1.0
183905,OCc1c(O)cncc1F,1.0
183906,Cc1cc(C(C)O)ccn1,1.0
183910,Nc1cccc2c(Br)cc(C(F)F)nc12,1.0
183911,COc1ccc2c(Br)cc(C)nc2c1N,1.0
183912,OCCNc1cc(F)cc2c(Br)ccnc12,1.0
183913,CC(C)(F)c1cc(Br)c2cccc(N)c2n1,1.0
183914,COC(=O)c1cc(Br)c2cccc(N)c2n1,1.0
183915,Nc1cccc2c(Br)cc(C(F)(F)F)nc12,1.0
183916,COC(=O)c1cnc2c(N)cccc2c1Br,1.0
183917,CC(F)(F)c1cc(Br)c2cccc(N)c2n1,1.0
183918,Brc1ccnc2c(NCc3ccccc3)cccc12,1.0
183919,O=C(O)C1CCC(Nc2cccc3c(Br)ccnc23)CC1,1.0
183920,CC1CNCC1NC(=O)Nc1cccc2c(Br)ccnc12,1.0
183921,Brc1ccnc2c(NCc3nnc(C4CC4)o3)cccc12,1.0
183922,CC(C)c1noc(CNc2cccc3c(Br)ccnc23)n1,1.0
