target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C56548,1,,,,CC(O)CN,Cn1nc(N)cc1C1CC1,CC(O)CNC(=O)Nc1cc(C2CC2)n(C)n1,Formation_of_urea_from_two_amines,,
C35145,1,,,,CC(O)CN,CCCn1ccc2ccc(N)cc21,CCCn1ccc2ccc(NC(=O)NCC(C)O)cc21,Formation_of_urea_from_two_amines,,
C55149,1,,,,CC(O)CN,Cc1cc(N)nn1-c1ccccc1,Cc1cc(NC(=O)NCC(C)O)nn1-c1ccccc1,Formation_of_urea_from_two_amines,,
C55156,1,,,,CC(O)CN,Cn1nc(-c2ccsc2)cc1N,CC(O)CNC(=O)Nc1cc(-c2ccsc2)nn1C,Formation_of_urea_from_two_amines,,
C55174,1,,,,CC(O)CN,Nc1ccn(-c2ncccn2)n1,CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,Formation_of_urea_from_two_amines,,
C23289,1,,,,Nc1c[nH]nc1-c1nccs1,CC(CC(=O)O)N1CCCCC1=O,CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,Amidation,,
C55598,1,,,,CC(O)CN,Nc1cccc(-n2cccn2)c1,CC(O)CNC(=O)Nc1cccc(-n2cccn2)c1,Formation_of_urea_from_two_amines,,
C55856,1,,,,CC(O)CN,Cc1ccn(-c2cccc(N)c2)n1,Cc1ccn(-c2cccc(NC(=O)NCC(C)O)c2)n1,Formation_of_urea_from_two_amines,,
C60687,1,,,,OCc1ccn2ncnc2c1,Cc1oc2ccccc2c1C(=O)O,Cc1oc2ccccc2c1C(=O)OCc1ccn2ncnc2c1,Steglich_esterification,,
C28106,1,,,,OCCN1CCCc2ccccc21,O=C(O)c1ncsc1Br,O=C(OCCN1CCCc2ccccc21)c1ncsc1Br,Steglich_esterification,,
C49503,1,,,,Cc1nc(C=O)cs1,Nc1nccc2ccccc12,Cc1nc(CNc2nccc3ccccc23)cs1,Reductive_amination,,
C56537,1,,,,OCc1ccncc1,Nc1cccc2c(Br)ccnc12,Brc1ccnc2c(NCc3ccncc3)cccc12,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C734,1,,,,NC1=NCCCS1,CC(C)n1cc(Br)cn1,CC(C)n1cc(NC2=NCCCS2)cn1,N-nucleophilic_aromatic_substitution,,
C54733,1,,,,CC(O)CN,Cc1cc(N)nn1CC(F)(F)F,Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C36458,1,,,,Cc1cnccc1N,O=C(O)Cc1coc2ccccc12,Cc1cnccc1NC(=O)Cc1coc2ccccc12,Amidation,,
