target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C54123,1,,,,CC(O)CN,Cc1cn(C2CCCCC2)nc1N,Cc1cn(C2CCCCC2)nc1NC(=O)NCC(C)O,Formation_of_urea_from_two_amines,,
C30341,1,,,,CC1(C)OB(c2nccs2)OC1(C)C,Ic1nccc2ccccc12,c1ccc2c(-c3nccs3)nccc2c1,Sp2-sp2_Suzuki_coupling,,
C2664,1,,,,CC(N)c1ncccn1,N#CCS(=O)(=O)Cl,CC(NS(=O)(=O)CC#N)c1ncccn1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C33380,1,,,,NC(=O)Nc1cccc2ccccc12,CC1(c2ccco2)CO1,CC(O)(CNC(=O)Nc1cccc2ccccc12)c1ccco1,Epoxide_+_amine_coupling,,
C13699,1,,,,CC1(C)OB(c2cscn2)OC1(C)C,N#Cc1ccc(Cl)nc1C1CC1,N#Cc1ccc(-c2cscn2)nc1C1CC1,Sp2-sp2_Suzuki_coupling,,
C69322,1,,,,CC1(C)OB(c2cc(CC(=O)O)cc(CC(=O)O)c2)OC1(C)C,NC(c1ccccc1)c1ccc(I)s1,NC(c1ccccc1)c1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,Sp2-sp2_Suzuki_coupling,,
C1345,1,,,,CNc1cccnc1,CCS(=O)(=O)F,CCS(=O)(=O)N(C)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C5550,1,,,,CC(C)(C)O,OCC(O)c1cscn1,CC(C)(C)OCC(O)c1cscn1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C48706,1,,,,CC1(C)OB(c2csc(N)n2)OC1(C)C,Ic1nccc2ccccc12,Nc1nc(-c2nccc3ccccc23)cs1,Sp2-sp2_Suzuki_coupling,,
C29852,1,,,,c1cn[nH]c1,Brc1nccc2ccccc12,c1ccc2c(-n3cccn3)nccc2c1,N-nucleophilic_aromatic_substitution,,
C37157,1,,,,CO,CC(O)(CO)CNC(=O)Nc1ccc2c(c1)CCCN2,COCC(C)(O)CNC(=O)Nc1ccc2c(c1)CCCN2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C6353,1,,,,CC(N)c1cccnc1,CCCS(=O)(=O)Cl,CCCS(=O)(=O)NC(C)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C29796,1,,,,Ic1ccc2cnccc2c1,CC1(C)OB(c2cscn2)OC1(C)C,c1cc2cc(-c3cscn3)ccc2cn1,Sp2-sp2_Suzuki_coupling,,
