id,smiles,tags
772,CCS(=O)(=O)NCc1ncccc1OC,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
791,CCS(=O)(=O)NCc1ncccc1F,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
808,CCS(=O)(=O)NCc1nc(Cl)ccc1Br,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
850,CCS(=O)(=O)NCc1ccncc1C,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
852,CCS(=O)(=O)NCc1ncccc1C,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
856,CCS(=O)(=O)NCc1ncc(C)cc1C,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
885,CCS(=O)(=O)NCc1cnc(C)cc1C,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
886,CCS(=O)(=O)NCc1ncccc1Cl,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
890,CCS(=O)(=O)NCc1ccncc1Cl,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
897,CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
915,CCS(=O)(=O)NCc1cnccc1C,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed'}"
1226,CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,{'all enamine ordered'}
1345,CCS(=O)(=O)N(C)c1cccnc1,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
2664,CC(NS(=O)(=O)CC#N)c1ncccn1,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'Knitwork impure merge'}"
2829,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(C)cc2)C1,"{'JA curated YES', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'AC curated INTERESTING', 'Knitwork impure merge'}"
3075,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1,"{'Thumb Site 2 merge', 'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'acceptable', 'Fragmenstein placed', 'AC curated INTERESTING'}"
5550,CC(C)(C)OCC(O)c1cscn1,"{'Fragmenstein placed', 'Knitwork impure merge', 'Green Site/RNA tunnel merge', 'AC curated YES'}"
6353,CCCS(=O)(=O)NC(C)c1cccnc1,"{'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
6527,CCC(NS(=O)(=O)N(C)C)c1ccncc1,"{'Thumb Site 2 merge', 'all enamine ordered', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed', 'Knitwork impure merge', 'AC curated YES'}"
6950,CCC(NS(=O)(=O)CCC(F)(F)C(F)F)c1cccnc1,"{'Thumb Site 2 merge', 'all enamine ordered', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed', 'Knitwork impure merge', 'AC curated YES'}"
6954,O=C1C=C(c2ccccn2)CCCC1,"{'Thumb Site 2 merge', 'acceptable', 'Fragmenstein placed', 'Knitwork impure merge', 'AC curated YES'}"
7755,CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,"{'JA curated YES', 'all enamine ordered', 'DF curated INTERESTING', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'AC curated INTERESTING', 'Knitwork impure merge'}"
8588,CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,"{'Thumb Site 2 merge', 'JA curated YES', 'Knitwork pure merge', 'acceptable', 'Fragmenstein placed', 'AC curated YES'}"
8715,c1cc(-c2cnc[nH]2)ccn1,"{'all enamine ordered', 'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Knitwork impure merge', 'AC curated YES'}"
9420,O=C(C=Cc1cscn1)OCCCCC1CCCO1,"{'Syndirella scaffold', 'all enamine ordered', 'Primer grip/N-pocket merge', 'acceptable', 'iter1', 'Fragmenstein placed', 'Knitwork impure merge', 'AC curated YES'}"
10412,COC(=O)CCN(Cc1cccnc1)S(=O)(=O)C1CCOC1,"{'all enamine ordered', 'Knitwork pure merge', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'AC curated INTERESTING', 'AC curated YES'}"
13699,N#Cc1ccc(-c2cscn2)nc1C1CC1,"{'Knitwork pure merge', 'JA curated INTERESTING', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
21233,c1cncc(-c2nnc(-c3ccnc(-n4ccnc4)c3)o2)c1,"{'all enamine ordered', 'DF curated YES', 'Green Site/RNA tunnel merge', 'Fragmenstein placed', 'AC curated INTERESTING', 'Knitwork impure merge'}"
27417,CC(C)C(C)(CO)NC(=O)Nc1cccc2[nH]ccc12,{'all enamine ordered'}
29796,c1cc2cc(-c3cscn3)ccc2cn1,{'all enamine ordered'}
29852,c1ccc2c(-n3cccn3)nccc2c1,[]
30341,c1ccc2c(-c3nccs3)nccc2c1,"{'all enamine ordered', 'Knitwork pure merge', 'JA curated INTERESTING', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
33380,CC(O)(CNC(=O)Nc1cccc2ccccc12)c1ccco1,{'all enamine ordered'}
36844,CN1CCCc2ccc(NS(=O)(=O)c3cncs3)cc21,"{'JA curated YES', 'Knitwork pure merge', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
37157,COCC(C)(O)CNC(=O)Nc1ccc2c(c1)CCCN2,{'all enamine ordered'}
40440,Cn1ccc2cc(S(=O)(=O)Nc3ccc4occc4c3)ccc21,{'all enamine ordered'}
40797,CC(NC(=O)CCN1CCCC1=O)c1ccccn1,{'all enamine ordered'}
41689,O=C1CCCN1CCNS(=O)(=O)c1ccnn1C1CCCC1,{'all enamine ordered'}
43304,CSCCC(CO)NC(=O)C(=O)Nc1cccc2[nH]ccc12,{'all enamine ordered'}
43742,CCOC(=O)C1c2ccccc2CCC12CC2,[]
44522,O=C(c1ccc2c(c1)CCN2)c1cncs1,[]
45268,CC(O)CNC(=O)Nc1cccc(C2CC2)n1,{'all enamine ordered'}
47542,CCOC(=O)C12CC1CCc1ccccc12,[]
48706,Nc1nc(-c2nccc3ccccc23)cs1,"{'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
49559,CCOC(=O)c1cccc2c1NCCS2,[]
49677,CCOC(=O)c1cccc2c1NCCCS2,[]
49938,c1cc(-c2cscn2)c2ncoc2c1,{'all enamine ordered'}
54123,Cc1cn(C2CCCCC2)nc1NC(=O)NCC(C)O,"{'JA curated YES', 'all enamine ordered', 'Knitwork pure merge', 'acceptable', 'Green Site/RNA tunnel merge', 'Fragmenstein placed'}"
61134,CS(=O)(=O)N1CCCc2ccccc21,{'all enamine ordered'}
61200,CC(CCl)S(=O)(=O)N1CCCc2ccccc21,[]
65168,CCOC(=O)C(C#N)=CN1CCCc2ccccc21,[]
65250,CC(C)(CS(=O)(=O)N1CCCc2ccccc21)C(F)F,{'all enamine ordered'}
65264,N#CCS(=O)(=O)N1CCCc2ccccc21,{'all enamine ordered'}
65644,O=C(NCCN1CCCC1=O)c1ccnc2ccccc12,"{'Syndirella scaffold', 'all enamine ordered', 'Knitwork pure merge', 'JA curated INTERESTING', 'acceptable', 'Green Site/RNA tunnel merge', 'iter1', 'Fragmenstein placed'}"
66258,Cc1ncc(NC(=C2CCNN2)c2cccc(F)c2)s1,"{'JA', 'SeeSAR'}"
66260,O=C(Nc1cc2cnccc2cn1)C1CCCO1,"{'JA', 'SeeSAR'}"
66262,Nc1cncc2cc(NC(=O)C3CCCO3)ncc12,"{'JA', 'SeeSAR'}"
66263,Nc1cc2cnc(NC(=O)C3CCCO3)cc2cn1,"{'JA', 'SeeSAR'}"
66264,O=C(Nc1cc2cnc(O)cc2cn1)C1CCCO1,"{'JA', 'SeeSAR'}"
66267,O=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1,"{'JA', 'SeeSAR'}"
66268,C=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1,"{'JA', 'SeeSAR'}"
66269,C=C(Nc1cc2cnc(N)cc2cn1)C1CCNO1,"{'JA', 'SeeSAR'}"
66270,NC(=O)Oc1cc2sc(=O)oc2cc1N,"{'JA', 'SeeSAR'}"
66271,NC(=O)Oc1cc2c(cc1N)OC(C1CCCO1)S2,"{'JA', 'SeeSAR'}"
66272,NC(=O)Oc1cc2c(cc1N)OC(C=C1CCNO1)S2,"{'JA', 'SeeSAR'}"
66273,NC(=O)Oc1cc2c(cc1N)OC(CC1CCNO1)S2,"{'JA', 'SeeSAR'}"
66274,Cc1ncc(C(=O)Oc2cc3c(cc2N)OC(C=C2CCNO2)S3)s1,"{'JA', 'SeeSAR'}"
66275,Cc1ncc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)s1,"{'JA', 'SeeSAR'}"
66276,Cc1nc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)c[nH]1,"{'JA', 'SeeSAR'}"
66277,COC1C(Oc2ccc(OC(C)=O)cc2)CC(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66278,COC1c2c(sc3cc(OC(C)=O)ccc23)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66279,COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3C12,"{'JA', 'SeeSAR'}"
66280,COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3OC12,"{'JA', 'SeeSAR'}"
66281,COC1CC(CC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66282,COC1CC(ON2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66283,COC1CC(OC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66284,COC1CC(c2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66285,COC1CC([n+]2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66286,COC1CC(OCC[NH+](C)Cc2cccnc2)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66287,COC1CC(OCc2ccn(Cc3cccnc3)c2)C(c2cccs2)CC1C(=O)[O-],"{'JA', 'SeeSAR'}"
66288,COC1CC(C2CC[NH+](Cc3cccnc3)CC2)CCC1C(=O)[O-],"{'JA', 'SeeSAR'}"
67390,COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(C(C)c3c[nH]nc3-c3ccncc3)cc2OC)c1,"{'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
67398,Cc1cc(C(C)c2c[nH]nc2-c2ccncc2)c(-c2ccc(C#CCO)s2)cc1C(=O)NS(C)(=O)=O,"{'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
67403,O=C(Nc1ccn(Cc2cccnc2)c1)C1CCCO1,"{'SeeSAR', 'DF'}"
67405,c1cncc(Cn2ccc(Nc3cccnc3-n3cccc3)c2)c1,"{'DF', 'SeeSAR', 'DF curated INTERESTING', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
67410,N#Cc1nc[nH]c1Nc1cccn1Cc1cccnc1,"{'JA curated YES', 'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
67424,O=C(Nc1ccc(Cc2cccnc2)cn1)C1CCCO1,"{'SeeSAR', 'DF'}"
67659,COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,"{'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
67721,Nc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccccc1,"{'DF curated YES', 'Primer grip/N-pocket merge', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge', 'AC curated YES'}"
68667,CCS(=O)(=O)NCc1ccc2c(c1)OC(Oc1ccc(S(=O)(=O)N3CCNCC3)cc1)O2,"{'Thumb Site 2 merge', 'JA curated YES', 'DF curated YES', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
69322,NC(c1ccccc1)c1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,"{'Thumb Site 2 merge', 'JA curated YES', 'DF curated INTERESTING', 'acceptable', 'Fragmenstein placed', 'Fragmenstein pure merge'}"
70786,CC(O)C[NH2+]C1CS(=O)(=O)c2cc(Br)ccc2N1,"{'JA', 'SeeSAR'}"
70787,CC(O)C[NH2+]C1Cc2ccc(Br)cc2S(=O)(=O)C1,"{'JA', 'SeeSAR'}"
70788,CC(O)C[NH2+]C1Cc2ccccc2S(=O)(=O)C1,"{'JA', 'SeeSAR'}"
70789,C[NH+]1CC[NH+](C2CS(=O)(=O)c3cc(F)ccc3N2)CC1,"{'JA', 'SeeSAR'}"
70790,Cc1ccc2c(c1)S(=O)(=O)CC(CCO)C2,"{'JA', 'SeeSAR'}"
70791,Cc1ccc2c(c1)S(=O)(=O)CC([NH+]1CC[NH+](C)CC1)N2,"{'JA', 'SeeSAR'}"
70792,Cc1ccc2c(c1)S(=O)(=O)CC([NH+]1CC[NH+](C)CC1)C2,"{'JA', 'SeeSAR'}"
70793,C[NH+]1CC[NH+](C2Cc3ccccc3S(=O)(=O)C2)CC1,"{'JA', 'SeeSAR'}"
70794,C[NH+]1CC[NH+](C2Cc3ccc(Br)cc3S(=O)(=O)C2)CC1,"{'JA', 'SeeSAR'}"
70795,CCCC1Cc2ccc(Br)cc2S(=O)(=O)C1,"{'JA', 'SeeSAR'}"
70796,[NH3+]CC1Cc2ccc(Br)cc2S(=O)(=O)C1,"{'JA', 'SeeSAR'}"
70797,CC(O)CC1Cc2ccc(Br)cc2S(=O)(=O)C1,"{'JA', 'SeeSAR'}"
70798,O=S1(=O)CC(CCO)Cc2ccc(Br)cc21,"{'JA', 'SeeSAR'}"
70799,Cc1cc2c(F)ccc(NC(=O)N3CC[NH+](C)CC3)c2[nH]1,"{'JA', 'SeeSAR'}"
70800,CC1=Cc2c(F)ccc(NC(=O)N3CC[NH+](C)CC3)c2C1,"{'JA', 'SeeSAR'}"
70801,C[NH+]1CCN(C(=O)Nc2ccc3ccccc3c2)CC1,"{'JA', 'SeeSAR'}"
70802,Cc1cc(NC(=O)N2CC[NH+](C)CC2)cc2ccccc12,"{'JA', 'SeeSAR'}"
70803,Cc1cc(-c2ccccc2)cc(-c2nc(N)sc2C)c1,"{'JA', 'SeeSAR'}"
70804,CC1(CCc2ccc3ccccc3c2)NC(=O)NC1=O,"{'JA', 'SeeSAR'}"
70805,CC1(CCc2cccc3cc[nH]c23)NC(=O)NC1=O,"{'JA', 'SeeSAR'}"
70806,CC1(CCc2cccc3c2CC=C3)NC(=O)NC1=O,"{'JA', 'SeeSAR'}"
70807,Cc1cc2c(Cl)ccc(N3C(=O)NC(=O)C3C)c2[nH]1,"{'JA', 'SeeSAR'}"
70808,CC1=Cc2c(Cl)ccc(N3C(=O)NC(=O)C3C)c2C1,"{'JA', 'SeeSAR'}"
70809,CC1C(=O)NC(=O)N1c1ccc2ccccc2c1,"{'JA', 'SeeSAR'}"
70810,Cc1cc(N2C(=O)NC(=O)C2C)cc2ccccc12,"{'JA', 'SeeSAR'}"
70811,Nc1cccnc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70812,COc1cccnc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70813,CNc1cccnc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70814,COc1c(CC(=O)[O-])cc(CC(=O)[O-])nc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70815,COc1ccc(C(=O)NS(C)(=O)=O)nc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70816,COc1ccc(C(=O)NS(C)(=O)=O)nc1-n1cccc1,"{'SeeSAR', 'DF'}"
70817,COc1cc(C)cnc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70818,COc1cc(C)c(C(=O)NS(=O)(=O)c2cccc3cccnc23)nc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
70819,COc1ccc(C(=O)NS(=O)(=O)c2cccc3cccnc23)nc1-n1ccc(C#CCO)c1,"{'SeeSAR', 'DF'}"
