smiles,0,1
CCC(C(=O)NC1CN(C2=NCCCS2)C1)n1cncn1,z0892b,z0968a
CCC(C(=O)NC1CN(C2=NCCCS2)C1)n1cncn1,z0892b,z0968a
O=C(NC1CN(C2=NCCCS2)C1)c1cnccn1,z0892b,z0968a
CC(NC1=NCCCS1)c1ncon1,z0892b,z0968a
c1nc(CCNC2=NCCCS2)no1,z0892b,z0968a
CC(NC1=NCCCS1)c1ncccn1,z0892b,z0968a
c1ncn(CCNC2=NCCCS2)n1,z0892b,z0968a
c1noc(CCNC2=NCCCS2)n1,z0892b,z0968a
c1cnc(CCNC2=NCCCS2)cn1,z0892b,z0968a
CC1CCSC(NCCn2cncn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncccn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncno2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncon2)=N1,z0892b,z0968a
CC1CN=C(NCCc2ncon2)SC1,z0892b,z0968a
CC1CN=C(NC(C)c2ncon2)SC1,z0892b,z0968a
CC1CN=C(NCCn2cncn2)SC1,z0892b,z0968a
CC1CN=C(NC(C)c2ncccn2)SC1,z0892b,z0968a
CC1CN=C(NCCc2ncno2)SC1,z0892b,z0968a
O=C(NC1CN(C2=NCCCS2)C1)c1cnccn1,z0892b,z0968a
O=C(Cn1cncn1)N1CCN(C2=NCCCS2)CC1,z0892b,z0968a
c1cnc(CN2CCN(C3=NCCCS3)CC2)nc1,z0892b,z0968a
CC1CCSC(NCCn2cncn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncccn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncno2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCc2ncccn2)=N1,z0892b,z0968a
CC1CCSC(NCc2ncno2)=N1,z0892b,z0968a
CC1CCSC(NCc2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCc2ccncn2)=N1,z0892b,z0968a
CC1CCSC(NCc2cnccn2)=N1,z0892b,z0968a
CC(C(=O)N1CCN(C2=NCCCS2)CC1)c1cnccn1,z0892b,z0968a
CC(c1ncccn1)N1CCN(C2=NCCCS2)CC1,z0892b,z0968a
c1cnc(CN2CCN(C3=NCCCS3)CC2)nc1,z0892b,z0968a
O=C(Cn1cncn1)N1CCN(C2=NCCCS2)CC1,z0892b,z0968a
c1nc(CNC2=NCCCS2)no1,z0892b,z0968a
c1cnc(CNC2=NCCCS2)nc1,z0892b,z0968a
c1noc(CNC2=NCCCS2)n1,z0892b,z0968a
c1cnc(CNC2=NCCCS2)cn1,z0892b,z0968a
c1cc(CNC2=NCCCS2)ncn1,z0892b,z0968a
CC1CN=C(NCc2ncno2)SC1,z0892b,z0968a
CC1CN=C(NCc2cnccn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ncccn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ccncn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ncon2)SC1,z0892b,z0968a
CC1CCSC(NCc2ncccn2)=N1,z0892b,z0968a
CC1CCSC(NCc2ncno2)=N1,z0892b,z0968a
CC1CCSC(NCc2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCc2ccncn2)=N1,z0892b,z0968a
CC1CCSC(NCc2cnccn2)=N1,z0892b,z0968a
CCC1CCSC(NCc2ncon2)=N1,z0892b,z0968a
CC1CN=C(NCc2ncno2)SC1,z0892b,z0968a
CC1CN=C(NCc2cnccn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ncccn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ccncn2)SC1,z0892b,z0968a
CC1CN=C(NCc2ncon2)SC1,z0892b,z0968a
CC1CN=C(NCCc2ncon2)SC1,z0892b,z0968a
CC1CN=C(NC(C)c2ncon2)SC1,z0892b,z0968a
CC1CN=C(NCCn2cncn2)SC1,z0892b,z0968a
CC1CN=C(NC(C)c2ncccn2)SC1,z0892b,z0968a
CC1CN=C(NCCc2ncno2)SC1,z0892b,z0968a
CCC1CCSC(NCc2ncon2)=N1,z0892b,z0968a
CC(C(=O)N1CCN(C2=NCCCS2)CC1)c1cnccn1,z0892b,z0968a
CC(CNC1=NCCCS1)c1ncon1,z0892b,z0968a
c1ncn(CCCNC2=NCCCS2)n1,z0892b,z0968a
CC(c1ncccn1)N1CCN(C2=NCCCS2)CC1,z0892b,z0968a
CCC(C(=O)NC1CN(C2=NCCCS2)C1)n1cncn1,z0892b,z0968a
c1ncc(NC2=NC(C3CC3)CCS2)cn1,z0892b,z0968a
CCCC1CCSC(Nc2cncnc2)=N1,z0892b,z0968a
CCC(C(=O)NC1CN(C2=NCCCS2)C1)n1cncn1,z0892b,z0968a
CC(C)(C(=O)NC1CN(C2=NCCCS2)C1)c1cncnc1,z0892b,z0968a
O=C(NC1CN(C2=NCCCS2)C1)c1cnccn1,z0892b,z0968a
c1ncc(NC2=NCC(C3CC3)CS2)cn1,z0892b,z0968a
CC(C)C1CN=C(Nc2cncnc2)SC1,z0892b,z0968a
CC(NC1=NCCCS1)c1ncon1,z0892b,z0968a
c1nc(CCNC2=NCCCS2)no1,z0892b,z0968a
c1ncn(CCNC2=NCCCS2)n1,z0892b,z0968a
c1noc(CCNC2=NCCCS2)n1,z0892b,z0968a
c1cnc(CCNC2=NCCCS2)cn1,z0892b,z0968a
CC1CCSC(NCCn2cncn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncon2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncno2)=N1,z0892b,z0968a
CC1CCSC(NCCc2ncon2)=N1,z0892b,z0968a
CC1CN=C(NCCc2ncon2)SC1,z0892b,z0968a
CC1CN=C(NC(C)c2ncon2)SC1,z0892b,z0968a
CC1CN=C(NCCn2cncn2)SC1,z0892b,z0968a
CC1CN=C(NCCc2ncno2)SC1,z0892b,z0968a
O=C(NC1CN(C2=NCCCS2)C1)c1cnccn1,z0892b,z0968a
CC(C)C1CCSC(Nc2cncnc2)=N1,z0892b,z0968a
O=C(Cn1cncn1)N1CCN(C2=NCCCS2)CC1,z0892b,z0968a
CC1CCSC(NCCn2cncn2)=N1,z0892b,z0968a
CC1CCSC(NC(C)c2ncon2)=N1,z0892b,z0968a
