smiles,0,1
Clc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
c1cnn(CCCNC2=NCCCS2)c1,z0767a,z0892b
Cn1nccc1CNC1=NCCCS1,z0767a,z0892b
O=C(NC1CN(C2=NCCCS2)C1)c1cn[nH]c1,z0767a,z0892b
Brc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
CC(CC(=O)NC1CN(C2=NCCCS2)C1)n1cccn1,z0767a,z0892b
Cn1cc(CCNC2=NCCCS2)cn1,z0767a,z0892b
CC(C)n1ccc(NC2=NCCCS2)n1,z0767a,z0892b
CC(C)n1cc(NC2=NCCCS2)cn1,z0767a,z0892b
CCn1cc(CNC2=NCCCS2)cn1,z0767a,z0892b
Cn1cc(CNC2=NCCCS2)cn1,z0767a,z0892b
CCn1ccc(NC2=NCCCS2)n1,z0767a,z0892b
CCn1cc(CNC2=NCCCS2)cn1,z0767a,z0892b
CCn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
O=C(CCc1cn[nH]c1)N1CCN(C2=NCCCS2)CC1,z0767a,z0892b
CCCn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
CC(C)n1cc(NC2=NCCCS2)cn1,z0767a,z0892b
CCn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
Cn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
CCCn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
CC(NC1=NCCCS1)c1cnn(C)c1,z0767a,z0892b
CC(Cn1cccn1)NC1=NCCCS1,z0767a,z0892b
O=C(NC1CN(C2=NCCCS2)C1)c1cn[nH]c1,z0767a,z0892b
CC(CC(=O)NC1CN(C2=NCCCS2)C1)n1cccn1,z0767a,z0892b
CC(C)(C(=O)NC1CN(C2=NCCCS2)C1)c1cc[nH]n1,z0767a,z0892b
CC(C)(C(=O)NC1CN(C2=NCCCS2)C1)c1cc[nH]n1,z0767a,z0892b
Cn1ccc(CCNC2=NCCCS2)n1,z0767a,z0892b
c1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
Cc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
Brc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
Clc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
Cn1nccc1CCNC1=NCCCS1,z0767a,z0892b
Cn1ccc(CNC2=NCCCS2)n1,z0767a,z0892b
Cn1ccc(CNC2=NCCCS2)n1,z0767a,z0892b
Cn1ccc(NC2=NCCCS2)n1,z0767a,z0892b
Cn1nccc1CNC1=NCCCS1,z0767a,z0892b
Cn1cc(CNC2=NCCCS2)cn1,z0767a,z0892b
Cn1cc(CCNC2=NCCCS2)cn1,z0767a,z0892b
Cn1cc(NC2=NCCCS2)cn1,z0767a,z0892b
Cn1ccc(CCNC2=NCCCS2)n1,z0767a,z0892b
Cn1nccc1CCNC1=NCCCS1,z0767a,z0892b
CC(NC1=NCCCS1)c1cnn(C)c1,z0767a,z0892b
Cc1cnn(CCNC2=NCCCS2)c1,z0767a,z0892b
CC(C)n1ccc(NC2=NCCCS2)n1,z0767a,z0892b
CCn1ccc(NC2=NCCCS2)n1,z0767a,z0892b
Cn1ccc(NC2=NCCCS2)n1,z0767a,z0892b
OC(CN1CCN(C2=NCCCS2)CC1)Cn1cccn1,z0767a,z0892b
OC(CN1CCN(C2=NCCCS2)CC1)Cn1cccn1,z0767a,z0892b
O=C(CCc1cn[nH]c1)N1CCN(C2=NCCCS2)CC1,z0767a,z0892b
O=C(CCc1cncnc1)N1CCN(C2=NCCCS2)CC1,z0968a,z0892b
CC(C)(C(=O)NC1CN(C2=NCCCS2)C1)c1cncnc1,z0968a,z0892b
CC(c1ncccn1)N1CCN(C2=NCCCS2)CC1,z0968a,z0892b
COc1ncc(NC2=NCCCS2)cn1,z0968a,z0892b
c1ncc(NC2=NCCCS2)cn1,z0968a,z0892b
COc1ncc(NC2=NCCCS2)cn1,z0968a,z0892b
Cc1ncc(NC2=NCCCS2)cn1,z0968a,z0892b
CC(NC1=NCCCS1)c1ncccn1,z0968a,z0892b
O=C(CCc1cncnc1)N1CCN(C2=NCCCS2)CC1,z0968a,z0892b
CC(c1ncccn1)N1CCN(C2=NCCCS2)CC1,z0968a,z0892b
CC(C(=O)N1CCN(C2=NCCCS2)CC1)c1cncnc1,z0968a,z0892b
c1cnc(CN2CCN(C3=NCCCS3)CC2)nc1,z0968a,z0892b
CC(C)(C(=O)NC1CN(C2=NCCCS2)C1)c1cncnc1,z0968a,z0892b
CC(C(=O)N1CCN(C2=NCCCS2)CC1)c1cncnc1,z0968a,z0892b
c1cnc(CNC2=NCCCS2)nc1,z0968a,z0892b
c1cc(CNC2=NCCCS2)ncn1,z0968a,z0892b
Cc1nccc(CNC2=NCCCS2)n1,z0968a,z0892b
Cc1nccc(CNC2=NCCCS2)n1,z0968a,z0892b
c1cnc(CN2CCN(C3=NCCCS3)CC2)nc1,z0968a,z0892b
Cc1ncc(NC2=NCCCS2)cn1,z0968a,z0892b
O=C(NC1CN(C2=NCCCS2)C1)c1cn[nH]c1,z0892b,z0767a
O=C(NC1CN(C2=NCCCS2)C1)c1cn[nH]c1,z0892b,z0767a
