smiles,0,1
CCC(=O)NC1COc2ccccc2C1,z0384a,z0991a
CCC(=O)NC1COc2ccccc21,z0384a,z0991a
CC(C(N)=O)N1CCCOc2ccccc21,z0384a,z0991a
CCC(=O)NC1CCc2ccccc2OC1,z0384a,z0991a
CCC(=O)NC1CCOc2ccccc2C1,z0384a,z0991a
CCC(=O)NC1CCCOc2ccccc21,z0384a,z0991a
CC(C(N)=O)N1CCOc2ccccc2C1,z0384a,z0991a
CCC(=O)NC1CN(C(=O)NCC2COc3ccccc32)C1,z0384a,z0991a
CCC(=O)NC1CN(C(=O)C2Cc3ccccc3O2)C1,z0384a,z0991a
CCC(=O)NC1CN(C(=O)N2CCCOc3ccccc32)C1,z0384a,z0991a
CCC(=O)NC1CN(C(=O)C2=Cc3ccccc3OC2)C1,z0384a,z0991a
CCC(=O)NC1CN(S(=O)(=O)C2=Cc3ccccc3OCC2)C1,z0384a,z0991a
CCC(=O)NC1CN(C(=O)NC(C)C2COc3ccccc32)C1,z0384a,z0991a
CC(C(=O)NC1CCc2ccccc2OC1)C1=CCCC1,z0384a,z0991a
CCC(=O)NC12CC(C1)N(C(=O)C1COc3ccccc31)C2,z0384a,z0991a
NC(=O)CCn1ccc(NC(=O)CC2CSc3ccccc3O2)n1,z0384a,z0991a
NC(=O)CCN1CCC(NC(=O)CC2Cc3ccccc3O2)CC1,z0384a,z0991a
CC(C(N)=O)N1CCC(NC(=O)CC2Cc3ccccc3O2)CC1,z0384a,z0991a
CCC(=O)NC1CCC(NC(=O)CC2Cc3ccccc3O2)CC1,z0384a,z0991a
O=C(CCC1CCCN1)NC1CCOc2ccccc2C1,z0384a,z0991a
O=C(CCC1CCCN1)NC1COc2ccccc21,z0384a,z0991a
O=C(CCC1CCCN1)NC1CCc2ccccc2OC1,z0384a,z0991a
O=C(CCC1CCCN1)NC1CCCOc2ccccc21,z0384a,z0991a
CN1CCCC1CCC(=O)NC1COc2ccccc21,z0384a,z0991a
O=C(CCC1NC(=O)NC1=O)NC1CCc2ccccc2OC1,z0384a,z0991a
O=C(CCC1NC(=O)NC1=O)NC1COc2ccccc21,z0384a,z0991a
O=C(CCc1ccccc1)NC1CCc2ccccc2OC1,z0384a,z0991a
O=C(CCc1ccccc1)NC1COc2ccccc2C1,z0384a,z0991a
O=C(CCc1ccccc1)NC1CCCOc2ccccc21,z0384a,z0991a
CC(C)c1ccc(CCC(=O)NC2COc3ccccc32)cc1,z0384a,z0991a
COc1cccc(CCC(=O)NC2COc3ccccc32)c1,z0384a,z0991a
Cc1ccc(CCC(=O)NC2CCc3ccccc3OC2)cc1,z0384a,z0991a
Cc1ccc(CCC(=O)NC2CCOc3ccccc3C2)cc1,z0384a,z0991a
O=C(CCc1cccc(Cl)c1)NC1COc2ccccc21,z0384a,z0991a
CNC(=O)c1cccc(CCC(=O)NC2COc3ccccc32)c1,z0384a,z0991a
O=C(CCc1ccc(F)cc1)NC1CCCOc2ccccc21,z0384a,z0991a
O=C(CCc1ccc(F)cc1)NC1CCc2ccccc2OC1,z0384a,z0991a
O=C(CCc1ccccc1Cl)NC1COc2ccccc21,z0384a,z0991a
O=C(CC(c1ccccc1)C1CC1)NC1COc2ccccc21,z0384a,z0991a
NC(=O)CCc1ccccc1OCC1COc2ccccc21,z0384a,z0991a
O=C(CCc1ccccc1C(F)(F)F)NC1COc2ccccc21,z0384a,z0991a
O=C(CCc1cccc(O)c1)NC1CCc2ccccc2OC1,z0384a,z0991a
CN(C)c1cccc(CCC(=O)NC2COc3ccccc32)c1,z0384a,z0991a
Nc1ccccc1CCC(=O)NC1COc2ccccc21,z0384a,z0991a
O=C(CCc1ccc(C(=O)O)cc1)NC1COc2ccccc21,z0384a,z0991a
Cc1ccccc1CCC(=O)NC1CCCOc2ccccc21,z0384a,z0991a
Cc1ccccc1CCC(=O)NC1COc2ccccc21,z0384a,z0991a
O=C(CCc1ccccc1C(=O)O)NC1COc2ccccc2C1,z0384a,z0991a
Cc1cccc(CCC(=O)NC2CCOc3ccccc3C2)c1,z0384a,z0991a
Cc1cccc(CCC(=O)NC2CCc3ccccc3OC2)c1,z0384a,z0991a
Cc1cccc(CCC(=O)NC2COc3ccccc32)c1,z0384a,z0991a
Cc1cccc(CCC(=O)NC2CCCOc3ccccc32)c1,z0384a,z0991a
CC(C(=O)NC1CCOc2ccccc2C1)c1ccccc1F,z0384a,z0991a
CC(C(=O)NC1CCc2ccccc2OC1)c1ccccc1F,z0384a,z0991a
O=C(CCc1ccc(F)cc1)NC1CCCOc2ccccc21,z0384a,z0991a
O=C(CCc1ccc(F)cc1)NC1CCc2ccccc2OC1,z0384a,z0991a
CC(C(=O)NC1CCc2ccccc2OC1)c1cccc(F)c1,z0384a,z0991a
O=C(CCN1C(=O)c2ccccc2S1(=O)=O)NC1COc2ccccc2C1,z0384a,z0991a
CC(C(=O)NC1CCCOc2ccccc21)n1cc(CCO)nn1,z0384a,z0991a
