smiles,0,1
c1c[nH]c(-c2cscn2)n1,d0378a,z0496a
CC(CNC(=O)c1cscn1)NC(=O)Cc1ncc[nH]1,d0378a,z0496a
CCc1cnc(CC(=O)NC(C)CNC(=O)c2cscn2)[nH]1,d0378a,z0496a
CC(CNC(=O)c1cscn1)(NC(=O)Cc1ncc[nH]1)C1CC1,d0378a,z0496a
CC(CNC(=O)CCc1cscn1)CNC(=O)c1cncn1C,d0378a,z0496a
CCc1nc[nH]c1C(=O)NCC(C)CNC(=O)CCc1cscn1,d0378a,z0496a
CC(NC(=O)Cc1cnc(C2CC2)[nH]1)c1cscn1,d0378a,z0496a
Cn1cncc1CC(=O)NCCc1cscn1,d0378a,z0496a
Cc1[nH]cnc1CC(=O)NC(C)CNC(=O)Cc1cscn1,d0378a,z0496a
CC(C)CC(CNC(=O)CCc1ncc[nH]1)NC(=O)c1cscn1,d0378a,z0496a
Cn1cnc(CC(NC(=O)C(F)(F)c2cscn2)C(=O)O)c1,d0378a,z0496a
CCC(CNC(=O)c1cscn1)NC(=O)Cc1cnc[nH]1,d0378a,z0496a
CCC(CNC(=O)c1cscn1)NC(=O)Cc1cncn1C,d0378a,z0496a
CC(C)C(CNC(=O)CCc1c[nH]cn1)NCc1cscn1,d0378a,z0496a
CC(CCNC(=O)Cc1cscn1)NC(=O)c1cn(C)cn1,d0378a,z0496a
CC(CCNC(=O)Cc1cscn1)NC(=O)c1cn(C(C)C)cn1,d0378a,z0496a
CC(NC(=O)C(c1cscn1)N(C)C)c1ncc[nH]1,d0378a,z0496a
CC(NC(=O)C(c1cscn1)N(C)C)c1nccn1C,d0378a,z0496a
CN(CC(O)CN(C)C(=O)c1cscn1)C(=O)Cc1cnc[nH]1,d0378a,z0496a
CCn1cncc1CN(C)C(=O)c1cscn1,d0378a,z0496a
CC(C)(C(=O)N1CCC(c2ncc[nH]2)C1)c1cscn1,d0378a,z0496a
CC(C)(C(=O)N1CCC(c2ncc[nH]2)CC1)c1cscn1,d0378a,z0496a
Cc1[nH]cnc1CC(=O)N(C)CCN(C)C(=O)c1cscn1,d0378a,z0496a
COC(=O)Cc1nc(-c2cscn2)cn1C,d0378a,z0496a
Cc1[nH]cnc1CC(=O)NCC(C)(C)CNC(=O)c1cscn1,d0378a,z0496a
Cc1[nH]cnc1C(=O)N(C)C(C)CCNC(=O)c1cscn1,d0378a,z0496a
COCCN(Cc1ncc[nH]1)C(=O)c1nnc(-c2cscn2)o1,d0378a,z0496a
O=C(NCCCn1ccnc1)c1nnc(-c2cscn2)o1,d0378a,z0496a
O=C(NC(CO)c1ncc[nH]1)c1nnc(-c2cscn2)o1,d0378a,z0496a
CC(CNC(=O)Cc1cscn1)CNC(=O)Cc1cncn1C,d0378a,z0496a
Cn1ccnc1CCC(=O)NC(CNCc1cscn1)C(C)(C)C,d0378a,z0496a
c1c[nH]c(-c2noc(-c3cscn3)n2)n1,d0378a,z0496a
CC(C)(c1cscn1)c1nc(-c2ncc[nH]2)no1,d0378a,z0496a
c1c[nH]c(-c2noc(CSCc3cscn3)n2)n1,d0378a,z0496a
Cn1ccnc1-c1noc(-c2cscn2)n1,d0378a,z0496a
