smiles,0,1
C1=C(c2nccs2)CNC1,d0264a,d0866a
c1ncc(N2CCNCCC23CC3)s1,d0264a,d0866a
c1nc(N2CCNCC2)cs1,d0264a,d0866a
c1nc(C2CSCCN2)cs1,d0264a,d0866a
c1csc(C2NCCCS2)n1,d0264a,d0866a
C1=CCC(c2cncs2)NC1,d0264a,d0866a
c1csc(C2CCCCCN2)n1,d0264a,d0866a
c1ncc(N2CCNC3CC32)s1,d0264a,d0866a
c1csc(C23CCN(CC2)CC3)n1,d0264a,d0866a
c1ncc(C2CCNCC2)s1,d0264a,d0866a
c1nc(C2NCCS2)cs1,d0264a,d0866a
c1ncc(C2CSCCN2)s1,d0264a,d0866a
C1=CC(c2cscn2)NC1,d0264a,d0866a
c1csc(C2CCCN2)n1,d0264a,d0866a
c1csc(C2NCCS2)n1,d0264a,d0866a
c1ncc(C2CCCCCN2)s1,d0264a,d0866a
c1nc(C2CCN2)cs1,d0264a,d0866a
c1ncc(C2NCCCS2)s1,d0264a,d0866a
c1ncc(C2NCC3CC32)s1,d0264a,d0866a
c1nc(N2CCNC3CC32)cs1,d0264a,d0866a
c1nc(C2CCCCNC2)cs1,d0264a,d0866a
c1ncc(N2CCNCC2)s1,d0264a,d0866a
c1csc(N2CCCNCC2)n1,d0264a,d0866a
C1=CCC(c2cscn2)NC1,d0264a,d0866a
c1csc(C2CSCCN2)n1,d0264a,d0866a
c1csc(C2CCN2)n1,d0264a,d0866a
c1nc(C2CNCCS2)cs1,d0264a,d0866a
C1=C(c2cscn2)CNC1,d0264a,d0866a
c1ncc(C2CCCNCC2)s1,d0264a,d0866a
C1=CCC(c2nccs2)NC1,d0264a,d0866a
c1csc(N2CCNC3CC32)n1,d0264a,d0866a
C1=C(c2nccs2)CNCC1,d0264a,d0866a
C1=CC(c2nccs2)NC1,d0264a,d0866a
C1=C(c2cncs2)CCNC1,d0264a,d0866a
C1=C(c2nccs2)CCNC1,d0264a,d0866a
c1csc(N2CCNCCC23CC3)n1,d0264a,d0866a
C1=C(c2cscn2)C2(CC2)NC1,d0264a,d0866a
c1nc(C2CCNCC2)cs1,d0264a,d0866a
c1nc(C2NCCCCS2)cs1,d0264a,d0866a
c1nc(C2CCCCCN2)cs1,d0264a,d0866a
c1csc(C2CCCNC2)n1,d0264a,d0866a
c1csc(C23CNCC2C3)n1,d0264a,d0866a
c1csc(N2CCNCC2)n1,d0264a,d0866a
c1ncc(C2CCN2)s1,d0264a,d0866a
c1nc(N2CCNCCC23CC3)cs1,d0264a,d0866a
c1ncc(N2CCNCC23CC3)s1,d0264a,d0866a
C1=C(c2cncs2)CNCC1,d0264a,d0866a
c1csc(C2CNC2)n1,d0264a,d0866a
c1csc(C2CCNCC2)n1,d0264a,d0866a
c1ncc(C23CNCC2C3)s1,d0264a,d0866a
c1csc(C2CNCCS2)n1,d0264a,d0866a
c1nc(C2CCCNCC2)cs1,d0264a,d0866a
c1ncc(C2NCCS2)s1,d0264a,d0866a
c1csc(C2CCCNCC2)n1,d0264a,d0866a
c1nc(C23CNCC2C3)cs1,d0264a,d0866a
C1=C(c2nccs2)C2(CC2)NC1,d0264a,d0866a
C1=C(c2cncs2)C2(CC2)NC1,d0264a,d0866a
c1nc(N2CCCNCC2)cs1,d0264a,d0866a
c1ncc(N2CCCNCC2)s1,d0264a,d0866a
C1=C(c2cscn2)CNCC1,d0264a,d0866a
C1=C(c2cncs2)CNC1,d0264a,d0866a
C1=CC(c2cncs2)NC1,d0264a,d0866a
c1csc(C2NCCCCS2)n1,d0264a,d0866a
c1ncc(C2NCCCCS2)s1,d0264a,d0866a
c1csc(C2CCNC2)n1,d0264a,d0866a
c1nc(C2NCCCS2)cs1,d0264a,d0866a
c1nc(N2CCNCC23CC3)cs1,d0264a,d0866a
c1ncc(C2CNCCS2)s1,d0264a,d0866a
c1csc(N2CCNCC23CC3)n1,d0264a,d0866a
CC(CCN)NC(=O)c1csc(CC2CCCNC2)n1,d0264a,d0866a
Cc1csc(CCCC(=O)NCCCCC2CCCNC2)n1,d0264a,d0866a
Cc1ncsc1CC(=O)N(C)CC1CCNC1,d0264a,d0866a
CN(CC1CCCN1)C(=O)Cc1scnc1-c1ccccc1,d0264a,d0866a
CN(CC1CCCNC1)C(=O)Cc1scnc1-c1ccccc1,d0264a,d0866a
