smiles,0,1
c1csc(C2CCCCN2)n1,z0193a,d0615b
c1csc(C2CCCNC2)n1,z0193a,d0615b
c1csc(N2CCCCC2)n1,z0193a,d0615b
c1csc(C2CCNCC2)n1,z0193a,d0615b
CCC(C)C(=O)NCC(=O)N1CCC(Cc2nccs2)CC1,z0193a,d0615b
CCC(C)C(=O)NCC(=O)N1CCCC(Cc2nccs2)C1,z0193a,d0615b
COCCCN(CCO)C(=O)C1CCCN(c2nccs2)C1,z0193a,d0615b
CC(=O)NC(C)C1CCN(C(C)C(=O)Nc2nccs2)CC1,z0193a,d0615b
CC(=O)NC(C)C1CCN(C(=O)CCCc2nccs2)CC1,z0193a,d0615b
CC(=O)NC(C)C1CCN(C(=O)NC(C)c2nccs2)CC1,z0193a,d0615b
CC(=O)NC(C)C1CCN(C(=O)CCNc2nccs2)CC1,z0193a,d0615b
CC(=O)NC(C)C1CCN(C(=O)CC(N)c2nccs2)CC1,z0193a,d0615b
CC(=O)NC(C)C1CCN(CC(=O)N(C)c2nccs2)CC1,z0193a,d0615b
CCC(NC(=O)N1CCC(C(C)NC(C)=O)CC1)c1nccs1,z0193a,d0615b
C(#CC1CCNCC1)Cc1nccs1,z0193a,d0615b
OC1(C#CCc2nccs2)CCNCC1,z0193a,d0615b
CCC(C)(C)C(=O)COC(=O)C1CCCN(c2nccs2)C1,z0193a,d0615b
CN(CCc1nccs1)C(=O)C(=O)NCCC1CCNCC1,z0193a,d0615b
C=CCNC(=O)CN1CCC(Oc2nccs2)CC1,z0193a,d0615b
O=C(C1CCN(c2nccs2)CC1)N1CCCc2c[nH]nc21,z0193a,d0615b
c1csc(CC2CCN(c3cncc4ncnn34)CC2)n1,z0193a,d0615b
CCC(C)(C(N)=O)C(=O)N1CCCC(Cc2nccs2)C1,z0193a,d0615b
CCCCC(=O)NCC1CCN(Cc2nccs2)CC1,z0193a,d0615b
CCCCC(=O)NCC1CCN(C(=O)c2nccs2)CC1,z0193a,d0615b
CCCCC(=O)NCC1CCN(CC(=O)Nc2nccs2)CC1,z0193a,d0615b
CSC(C)C(=O)NCC1CCCN(Cc2nccs2)C1,z0193a,d0615b
CC(CC(=O)Nc1c[nH]nc1-c1nccs1)C1CCNCC1,z0193a,d0615b
CC(CC(=O)Nc1ccc(-c2nccs2)cc1)C1CCNCC1,z0193a,d0615b
COC(=O)C(C)CNC(=O)C1CCN(c2nccs2)CC1,z0193a,d0615b
CC(F)(F)CC(=O)NC1CCCN(C(=O)CNc2nccs2)C1,z0193a,d0615b
CCC(C#N)C(=O)NC1CCCN(C(=O)CCc2nccs2)C1,z0193a,d0615b
COC(=O)C(CC(F)F)NC(=O)C1CCCN(c2nccs2)C1,z0193a,d0615b
NNC(CN1CCCCC1)c1nccs1,z0193a,d0615b
COC1CC2(C1)NC(=O)N(C1CCN(c3nccs3)CC1)C2=O,z0193a,d0615b
CNC(=O)COCCNC(=O)C1CCCN(c2nccs2)C1,z0193a,d0615b
CC(C)N1CCCCC1CNC(c1nccs1)C(F)(F)F,z0193a,d0615b
O=C1CC(CC(=O)NC2CCN(c3nccs3)CC2)CC(=O)N1,z0193a,d0615b
CC(=O)N1CCCC(C(C)NC(=O)CCC(=O)Nc2nccs2)C1,z0193a,d0615b
CC(C)N(C)C(=O)CNCC1CCN(C(=O)c2nccs2)CC1,z0193a,d0615b
CCCC(OC)C(=O)NCC1CCN(C(=O)c2nccs2)CC1,z0193a,d0615b
CCCC(OC)C(=O)NCC1CCN(Cc2nccs2)CC1,z0193a,d0615b
CCOC(=O)C(C)(C)N(C)C(=O)C1CCN(c2nccs2)CC1,z0193a,d0615b
CCOC(=O)CCC1CCN(C(=O)NCCc2nccs2)CC1,z0193a,d0615b
CC(CS(C)(=O)=O)C(=O)N1CCC(NCc2nccs2)CC1,z0193a,d0615b
CC(CS(C)(=O)=O)C(=O)N1CCCC(NCc2nccs2)C1,z0193a,d0615b
CC(CN1CCCCC1)N(C)C(=O)NCc1nccs1,z0193a,d0615b
O=C(OCC1C=CCC1)C1CCCN(c2nccs2)C1,z0193a,d0615b
O=C(CC1CC=CC1)NC1CCN(c2nccs2)CC1,z0193a,d0615b
O=C(NCCCC1C=CCC1)C1CCCN(c2nccs2)C1,z0193a,d0615b
O=C(NCCCC1C=CCC1)NC1CCN(c2nccs2)CC1,z0193a,d0615b
O=C(C1CC=CC1)N1CCCCC1c1nccs1,z0193a,d0615b
C1=CC(CCCNC2CCN(c3nccs3)CC2)CC1,z0193a,d0615b
O=C(NCCC1CC=CC1)C1CCN(c2nccs2)CC1,z0193a,d0615b
C1=C(CCNC2CCN(c3nccs3)CC2)CCC1,z0193a,d0615b
