smiles,0,1
CCC(C)NC(=O)CCNC(=O)N1CCCCCC1,d0176a,d0248a
CC(C)(C)NC(=O)CNC(=O)CN1CCCCCC1,d0176a,d0248a
CC(C)(C)CC(CCO)NC(=O)CC1CCCNCC1,d0176a,d0248a
NC(=O)CNC(=O)C1CCCCCN1,d0176a,d0248a
O=C(C1CCCCCN1)N(CCO)CC(F)(F)F,d0176a,d0248a
CCCN(CC(N)=O)C(=O)CC1CCCNCC1,d0176a,d0248a
CN(CCCO)C(=O)C1CCCCCN1,d0176a,d0248a
CC(=O)NC(C(=O)NCC1CCCCNC1)C(C)(C)C,d0176a,d0248a
CC(NC(=O)CCCF)C(CO)NC(=O)CN1CCCCCC1,d0176a,d0248a
CC(C)(C)NC(=O)CNC(=O)C1CCCCCN1,d0176a,d0248a
CC(O)CN(C)C(=O)N1CCCCCC1,d0176a,d0248a
CC(C)CC(C(N)=O)N(C)C(=O)C(C)N1CCCCCC1,d0176a,d0248a
CC(CO)NC(=O)CCN1CCCCCC1,d0176a,d0248a
O=C(NCC(O)C(F)(F)F)C1CCCCNC1,d0176a,d0248a
CC(C)(CNC(=O)C1CCCCNC1)C(N)=O,d0176a,d0248a
CCC(O)CNC(=O)C1CCCCCN1,d0176a,d0248a
CC(C)CC(CO)N(C)C(=O)CCN1CCCCCC1,d0176a,d0248a
COCCN(CC(N)=O)C(=O)C1CCCNCC1,d0176a,d0248a
CCCNC(=O)CN(C)C(=O)C1CCCCCN1,d0176a,d0248a
CC(C(=O)NCCCO)N1CCCCCC1,d0176a,d0248a
CC(=O)NC(CCC(C)C)C(=O)NCC1CCCCCN1,d0176a,d0248a
CN(CC(O)C(C)(C)C)C(=O)N1CCCCCC1,d0176a,d0248a
CC(CO)NC(=O)CC1CCCNCC1,d0176a,d0248a
CN(CCO)C(=O)CC1CCCNCC1,d0176a,d0248a
O=C(NCCCO)C1CCCCCN1,d0176a,d0248a
O=C(NCCO)C1CCCCCN1,d0176a,d0248a
CCC(CCO)NC(=O)C1CCCNCC1,d0176a,d0248a
CC(CCO)NC(=O)C1CCCCCN1,d0176a,d0248a
CC(CO)CNC(=O)C1CCCNCC1,d0176a,d0248a
CC(C)CC(C)NC(=O)NCCC(=O)N1CCCCCC1,d0176a,d0248a
NC(CC(=O)N1CCCCCC1)=NO,d0176a,d0248a
CCNC(=O)C(CC)NC(=O)C1CCCCNC1,d0176a,d0248a
CC(CO)N(C)C(=O)C1CCCNCC1,d0176a,d0248a
CCN(C(=O)CC1CCCNCC1)C(C)C(=O)NC,d0176a,d0248a
CC(NC(=O)CC(F)(F)F)C(=O)NCC1CCCCNC1,d0176a,d0248a
CCCNC(=O)C(C)NC(=O)N1CCCCCC1,d0176a,d0248a
CCN(CC(=O)N1CCCCCC1)C(=O)N(C)C(C)(C)CC,d0176a,d0248a
COCCCN(CCO)C(=O)C(C)N1CCCCCC1,d0176a,d0248a
CCC(C)(CO)CNC(=O)N1CCCCCC1,d0176a,d0248a
CSCCC(NC(N)=O)C(=O)N1CCCCCC1,d0176a,d0248a
NC(CNC(=O)N1CCCCCC1)=NO,d0176a,d0248a
O=C(NCCSCCC(F)(F)F)NCCC(=O)N1CCCCCC1,d0176a,d0248a
CC(=O)NC(CC(C)C)C(=O)NCC1CCCCNC1,d0176a,d0248a
O=C(NCCC(O)C(F)(F)F)C1CCCCCN1,d0176a,d0248a
