smiles,0,1
CCS(=O)(=O)NCc1cccnc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccncc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccccn1,d0279a,d0174a
CCS(=O)(=O)NCC1(c2ccc(F)cn2)CC1,d0279a,d0174a
CCS(=O)(=O)NCc1nnc(-c2ccncc2)o1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(N2CCCC2)cn1,d0279a,d0174a
CCS(=O)(=O)NCc1cn(-c2ccccc2)nc1-c1ccncc1,d0279a,d0174a
CCS(=O)(=O)NCc1cn(-c2ncccc2C#N)nn1,d0279a,d0174a
CCS(=O)(=O)NCc1ncccc1OC,d0279a,d0174a
CCS(=O)(=O)NCc1cncc(OC)c1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)Nc2ccccn2)cc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)N(C)C)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)Nc2cccnc2)cc1,d0279a,d0174a
CCS(=O)(=O)NCc1nnc(-c2ccccn2)o1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(NC(C)C)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1ccncc1OCC(F)(F)F,d0279a,d0174a
CCS(=O)(=O)NCC1C2CCC3(CN(c4ncccc4Cl)CC13)O2,d0279a,d0174a
CCS(=O)(=O)NCc1nnc(-c2ccncc2)o1,d0279a,d0174a
CCS(=O)(=O)NCc1nnc(-c2ccccn2)o1,d0279a,d0174a
CCS(=O)(=O)NCc1nnc(-c2ccncc2)[nH]1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccnc(C)c2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccnc(-c3cccs3)c2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1cncc(F)c1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(F)cn1,d0279a,d0174a
CCS(=O)(=O)NCc1ncccc1F,d0279a,d0174a
CCS(=O)(=O)NCC1(c2ccc(F)cn2)CC1,d0279a,d0174a
CCS(=O)(=O)NCC1(c2ccncc2F)CCNCC1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(F)cn2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1OCCN(C)C,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)N(C)c2cccnc2)cc1,d0279a,d0174a
CCc1cccnc1CNS(=O)(=O)CC,d0279a,d0174a
CCc1ccc(CNS(=O)(=O)CC)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1cnc(Cl)c(C)c1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(Cl)ccc1Br,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccnc(-c3cccs3)c2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1N1CCC(C(N)=O)CC1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1N1CCCC(O)C1,d0279a,d0174a
CCS(=O)(=O)NCc1cnccc1OC,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)Nc2ccncc2)cc1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2cc(C3CC3)ccn2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C(=O)NCc2ccccn2)cc1,d0279a,d0174a
CCS(=O)(=O)NCc1cn(CC(O)c2ccccn2)nn1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1N1CCc2ccccc2C1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1-n1ccnc1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(-n3ccnc3)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2cccnc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(-n3ccnc3)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(OCCOC)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(NC(C)C)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(-n3cncn3)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(C(C)(C)C)nc2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccc(C(C)C)nc2)no1,d0279a,d0174a
CCOc1ncccc1-c1noc(CNS(=O)(=O)CC)n1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C)cn1,d0279a,d0174a
CCS(=O)(=O)NCc1cncc(C)c1,d0279a,d0174a
CCS(=O)(=O)NCc1ccncc1C,d0279a,d0174a
CCS(=O)(=O)NCc1ncccc1C,d0279a,d0174a
CCS(=O)(=O)NCC12COCC1CN(Cc1cccnc1)C2,d0279a,d0174a
CCS(=O)(=O)NCc1ncc(C)cc1C,d0279a,d0174a
CCS(=O)(=O)NCc1cn(Cc2cccnc2)nn1,d0279a,d0174a
CCS(=O)(=O)NCc1nccc(C)c1C,d0279a,d0174a
CCS(=O)(=O)NCc1ncc(C)cc1C,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C)c(C)n1,d0279a,d0174a
CCS(=O)(=O)NCC1CCC2(CN(Cc3cccnc3)C2)OC1,d0279a,d0174a
CCS(=O)(=O)NCc1cnc(Cl)c(C)c1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(NC(C)=O)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1ccc(C)nc1,d0279a,d0174a
CCS(=O)(=O)NCc1cccnc1C,d0279a,d0174a
CCS(=O)(=O)NCc1cccc(C)n1,d0279a,d0174a
CCS(=O)(=O)NCc1ccnc(C)c1,d0279a,d0174a
CCS(=O)(=O)NCc1cc(C)nc(C)c1,d0279a,d0174a
CCS(=O)(=O)NCC12COCC1CN(Cc1ccccn1)C2,d0279a,d0174a
CCS(=O)(=O)NCc1nc(-c2ccnc(C)c2)no1,d0279a,d0174a
CCS(=O)(=O)NCc1cc(C)nc(C)c1,d0279a,d0174a
CCS(=O)(=O)NCC1CN(Cc2ccccn2)Cc2ccnn21,d0279a,d0174a
