comp_id,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,tags,#curated YES,#curated NO,#curated INTERESTING
6748,C=C(C(=O)OC)C(O)C=1C=CN=CC1,736.0,Z320967548,38.0,5.0,Legacy,Knitwork impure merge; Fragmenstein placed; acceptable; Thumb Site 2 merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Knitwork pure merge,0,0,1
55996,CC=1C=C(NC(=O)NC[C@@H](C)O)N(N1)C=2C=CC=CC2,,Z1563517098,$396.00 USD,15.0,sRDB,LCD curated YES; Fragmenstein placed; acceptable; JA curated INTERESTING; Green Site/RNA tunnel merge; LCD curated INTERESTING; Knitwork pure merge,1,0,2
40809,COC=1C=CC=2C(=COC2C1)CC(=O)OCC(=O)C3=CNC=4C=CC=CC34,738.0,Z25278747,38.0,5.0,Legacy,Fragmenstein placed; acceptable; Green Site/RNA tunnel merge; JA curated INTERESTING; Knitwork pure merge,0,0,1
30876,CC=1C=CC(NC(=O)C=2C=CC=NC2)=C3C=CC=NC13,739.0,Z284853590,38.0,5.0,Legacy,Fragmenstein; acceptable; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Green Site/RNA tunnel merge; JA curated INTERESTING,0,0,1
45327,C[C@H](O)CNC(=O)NC1=CC=CN=C1N2CCCC2,,Z1563511699,$396.00 USD,15.0,sRDB,LCD curated YES; Fragmenstein placed; acceptable; JA curated INTERESTING; Green Site/RNA tunnel merge; LCD curated INTERESTING; Knitwork pure merge,1,0,2
62405,FC=1C=CC=NC1N2CCOC=3C=CC=CC3C2,741.0,Z1373424921,43.0,5.0,HTS,Fragmenstein placed; acceptable; Green Site/RNA tunnel merge; JA curated INTERESTING; Knitwork pure merge,0,0,1
8715,C1=NC=C(N1)C=2C=CN=CC2,742.0,Z2491387466,67.0,5.0,Advanced,Fragmenstein; acceptable; Knitwork pure merge; Green Site/RNA tunnel merge; AC curated YES; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated YES; Fragmenstein pure merge; Thumb Site 2 merge,2,0,0
6950,CCC(NS(=O)(=O)CCC(F)(F)C(F)F)C=1C=CC=NC1,743.0,Z4343940688,125.0,5.0,sRDB,AC curated YES; Knitwork impure merge; Fragmenstein placed; acceptable; DF curated INTERESTING; Green Site/RNA tunnel merge; Thumb Site 2 merge,1,0,1
34580,CCC(=O)NC=1C=CC=CN1,744.0,Z85525318,125.0,5.0,sRDB,Fragmenstein; acceptable; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Green Site/RNA tunnel merge; JA curated INTERESTING,0,0,1
6745,CC(NS(C)(=O)=O)C=1C=CC=CN1,745.0,Z133729596,125.0,5.0,sRDB,Knitwork impure merge; Fragmenstein placed; acceptable; DF curated INTERESTING; Green Site/RNA tunnel merge; Thumb Site 2 merge,0,0,1
14654,C=1C=CC(=NC1)N2CCCOCC2,746.0,Z929763336,125.0,5.0,sRDB,Fragmenstein; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated INTERESTING; Green Site/RNA tunnel merge; AC curated INTERESTING,0,0,2
14910,C1=CC(=CC=N1)N2CCCOCC2,747.0,Z1957676618,125.0,5.0,sRDB,Fragmenstein; acceptable; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated INTERESTING; Green Site/RNA tunnel merge,0,0,1
12548,CC=1C=NC=CC1NCC2=CNC=N2,748.0,Z1267817381,125.0,5.0,sRDB,Fragmenstein; acceptable; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated YES; Green Site/RNA tunnel merge,1,0,0
18236,ClC=1C=C(C=CN1)NCC2=CC=NN2,749.0,Z2582855603,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; DF curated INTERESTING; Fragmenstein pure merge; Knitwork pure merge,0,0,1
12483,NC=1C=C(C=CN1)NCC2=CNC=N2,,Z1633496113,$396.00 USD,15.0,sRDB,acceptable; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated YES; Green Site/RNA tunnel merge; AC curated INTERESTING,1,0,1
17585,CC=1C=NC=CC1NCC2=CN=CS2,751.0,Z1713605135,125.0,5.0,sRDB,Fragmenstein; acceptable; Fragmenstein pure merge; Knitwork pure merge; Knitwork impure merge; Fragmenstein placed; Primer grip/N-pocket merge; DF curated INTERESTING; Green Site/RNA tunnel merge; Thumb Site 2 merge,0,0,1
10197,OC1(CNCC2=CC=NN2)CCOC1,752.0,Z2582855536,125.0,5.0,sRDB,acceptable; Primer grip/N-pocket merge; Fragmenstein; Fragmenstein placed; AC curated INTERESTING; Knitwork pure merge,0,0,1
