smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5
Cc1ncc(NC(=C2CCNN2)c2cccc(F)c2)s1,6izx-a,SeeSAR_manual,d0160a,d0615b,,,
Cc1c[nH]nc1-c1cccc(NC(=O)C2CCCO2)n1,6izx-a,SeeSAR_manual,d0160a,d0254a,,,
O=C(Nc1cc2cnccc2cn1)C1CCCO1,6izx-a,SeeSAR_manual,d0160a,d0254a,,,
Nc1cncc2cc(NC(=O)C3CCCO3)ncc12,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
Nc1cc2cnc(NC(=O)C3CCCO3)cc2cn1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
O=C(Nc1cc2cnc(O)cc2cn1)C1CCCO1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
O=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
C=C(Nc1cc2cnc(O)cc2cn1)C1CCNO1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
C=C(Nc1cc2cnc(N)cc2cn1)C1CCNO1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,,
NC(=O)Oc1cc2sc(=O)oc2cc1N,6izx-a,SeeSAR_manual,d0160a,d0612a,6izx-a,,
NC(=O)Oc1cc2c(cc1N)OC(C1CCCO1)S2,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,6izx-a,
NC(=O)Oc1cc2c(cc1N)OC(C=C1CCNO1)S2,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,6izx-a,
NC(=O)Oc1cc2c(cc1N)OC(CC1CCNO1)S2,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,6izx-a,
Cc1ncc(C(=O)Oc2cc3c(cc2N)OC(C=C2CCNO2)S3)s1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,d0615b,6izx-a
Cc1ncc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)s1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,d0615b,6izx-a
Cc1nc(C(=O)Oc2cc3c(cc2O)OC(C=C2CCNO2)S3)c[nH]1,6izx-a,SeeSAR_manual,d0160a,d0254a,d0612a,d0615b,6izx-a
COC1C(Oc2ccc(OC(C)=O)cc2)CC(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,6izx-a,6ld2-a,,,
COC1c2c(sc3cc(OC(C)=O)ccc23)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,6izx-a,6ld2-a,,,
COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3C12,6izx-a,SeeSAR_manual,6izx-a,6ld2-a,,,
COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3OC12,6izx-a,SeeSAR_manual,6izx-a,6ld2-a,,,
COC1C(C(=O)[O-])CC(c2cccs2)C2Sc3cc(OC(C)=O)ccc3C12,6izx-a,SeeSAR_manual,6izx-a,6ld2-a,,,
COC1CC(CC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,d0612a,6ld2-a,,,
COC1CC(ON2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,d0612a,6ld2-a,,,
COC1CC(OC[NH+]2CCN(C(N)=O)CC2)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,d0612a,6ld2-a,,,
COC1CC(c2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-],6izx-a,SeeSAR_manual,d0615b,6ld2-a,,,
COC1CC([n+]2cc(F)cc(NCc3cnc(C)s3)c2)CCC1C(=O)[O-],6izx-a,SeeSAR_manual,d0615b,6ld2-a,,,
COC1CC(OCC[NH+](C)Cc2cccnc2)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,d0191a,6ld2-a,,,
COC1CC(OCc2ccn(Cc3cccnc3)c2)C(c2cccs2)CC1C(=O)[O-],6izx-a,SeeSAR_manual,d0191a,6ld2-a,,,
COC1CC(C2CC[NH+](Cc3cccnc3)CC2)CCC1C(=O)[O-],6izx-a,SeeSAR_manual,d0191a,6ld2-a,,,
