smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5,hit6
CC(C)n1cc(NC2=NCCCS2)cn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,syndirella_elabs,z0767a,z0892b,,,,
CCS(=O)(=O)NCc1ccncc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,syndirella_elabs,d0174a,d0279a,,,,
CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,syndirella_elabs,d0174a,d0279a,,,,
CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,syndirella_elabs,d0174a,d0566a,,,,
CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,syndirella_elabs,d0174a,d0693a,,,,
CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,syndirella_elabs,d0248a,d0376a,d0615a,,,
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,syndirella_elabs,d0248a,d0376a,,,,
CC(NS(=O)(=O)CC#N)c1ncccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,syndirella_elabs,d0174a,d0587a,,,,
CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,syndirella_elabs,d0174a,d0376a,,,,
O=C(C=Cc1cscn1)OCCCCC1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,syndirella_elabs,d0191a,d0254a,,,,
CC(C)(CO)NC(=O)N1CCC(c2ccon2)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,syndirella_elabs,d0248a,d0279a,d0615a,,,
CC(C)(CO)NC(=O)N1CCC(c2ccon2)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,syndirella_elabs,d0248a,d0279a,,,,
CCS(=O)(=O)NCC1CC(=O)N(c2ccc(C)cc2)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,syndirella_elabs,d0174a,d0566a,,,,
CCS(=O)(=O)NCC1CC(=O)N(c2ccc(Cl)cc2)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,syndirella_elabs,d0174a,d0566a,,,,
CCS(=O)(=O)NCc1ncccc1OC,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ncccc1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1nc(Cl)ccc1Br,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ccncc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ncccc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ncc(C)cc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1cnc(C)cc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ncccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1ccncc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)NCc1cnccc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCS(=O)(=O)N(C)c1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,syndirella_elabs,d0174a,d0279a,d0615a,,,
CC(C)(C)OCC(O)c1cscn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCCS(=O)(=O)NC(C)c1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCC(NS(=O)(=O)N(C)C)c1ccncc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,syndirella_elabs,d0174a,d0615a,,,,
CCC(NS(=O)(=O)CCC(F)(F)C(F)F)c1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0174a,d0615a,,,,
c1cc(-c2cnc[nH]2)ccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,syndirella_elabs,d0472a,z0875c,,,,
COc1ccc2cc(CN)[nH]c2c1NC(C)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0184a/z0184a.pdb,syndirella_elabs,z0136b,z0184a,,,,
O=C1C=C(c2ccccn2)CCCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,syndirella_elabs,d0566a,d0615a,,,,
CC(CNC(=O)c1ccc(-c2nc[nH]n2)nc1)c1ncc[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,syndirella_elabs,d0472a,z0103a,,,,
CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,syndirella_elabs,d0472a,z0103a,,,,
OC1COCC1CNCc1ccn[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,syndirella_elabs,d0160a,d0254a,,,,
C=C(Cn1ccnc1)C(=O)NC(CO)Cc1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,syndirella_elabs,d0472a,z0103a,,,,
