smiles,template,compound_set,hit1,hit2,hit3
CC(C)n1cc(NC2=NCCCS2)cn1,z0767a,feb_elabs,z0767a,z0892b,
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,d0248a,feb_elabs,d0248a,d0376a,
OC1COCC1CNCc1ccn[nH]1,d0160a,feb_elabs,d0160a,d0254a,
Cc1cnccc1NCc1c[nH]cn1,z0875c,feb_elabs,d0615b,z0875c,
CC(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,d0264a,feb_elabs,d0264a,d0472a,
CCn1cc(NC(=O)CCCc2csc3ccccc23)cn1,z0653a,feb_elabs,z0653a,3vws-a,
Cc1ccc(NC(=O)c2ccncc2)c2cccnc12,d0472b,feb_elabs,d0472b,z1040a,
O=C(OCCCN1CCCC1=O)c1ccnc(C2CC2)c1,d0566a,feb_elabs,d0566a,d0615a,
O=C1CCCN1CCNC(=O)C1(c2ccccn2)CC1,d0472b,feb_elabs,d0472b,z1018a,
c1ccc(CNc2ccc3ccoc3c2)nc1,z0637a,feb_elabs,z0637a,3vws-a,
CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,z0215a,feb_elabs,z0215a,z1018a,
O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,z0041a,feb_elabs,z0041a,3vws-b,
O=C(OCC#CCSc1nnc(-c2ccncc2)o1)c1cc2ccccc2o1,z0637a,feb_elabs,ZUCZAINLLDMSCJ-UHFFFAOYSA-N,,
CC(O)CNC(=O)Nc1cccc2cccnc12,z0211a,feb_elabs,z0211a,z0881a,
CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,d0174a,feb_elabs,d0174a,d0566a,
Nc1cc(NCc2c[nH]cn2)ccn1,d0191a,feb_elabs,d0191a,z0103a,
Cc1c[nH]nc1-c1cccc(NC(=O)C2CCCO2)n1,d0160a,feb_elabs,d0160a,d0254a,
CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,d0472a,feb_elabs,d0472a,z0103a,
O=C(Nc1cccnc1C1CC1)c1cn[nH]c1,d0160a,feb_elabs,d0160a,d0472a,
O=C(Nc1ccn(Cc2cccnc2)c1)C1CCCO1,d0191a,feb_elabs,d0191a,d0254a,
O=C(Nc1ccc(Cc2cccnc2)cn1)C1CCCO1,d0160a,feb_elabs,d0160a,d0254a,
Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21,z0309a,feb_elabs,z0309a,z1018a,
Fc1ccc2c(c1)N(Cc1cnc[nH]1)CCC2,d0378a,feb_elabs,d0378a,z0904a,
O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1,z0221a,feb_elabs,z0221a,z1040a,
Cc1cccc(NC(=O)NCC(C)O)n1,z0211a,feb_elabs,z0211a,z0637a,
CC(=O)c1csc(-c2nccc3ccccc23)n1,z0111a,feb_elabs,z0111a,z0496a,
Nc1csc(-c2nccc3ccccc23)n1,z0111a,feb_elabs,z0111a,z0496a,
Cc1nc(CNc2nccc3ccccc23)cs1,z0111a,feb_elabs,z0111a,z0496a,
Brc1ccnc2c(NCc3ccncc3)cccc12,z0221a,feb_elabs,z0221a,z1040a,
O=C(CCCc1ccncc1)NCc1coc2ccccc12,d0472b,feb_elabs,d0472b,3vws-a,
Cc1cnccc1NC(=O)Cc1coc2ccccc12,d0472b,feb_elabs,d0472b,3vws-a,
Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,z0211a,feb_elabs,z0211a,z0215a,
CCC(C)n1ncc(NC(=O)NCC(C)O)c1C,z0211a,feb_elabs,z0211a,z0215a,
Cc1cc(NC(=O)NCC(C)O)nn1C1CC1,z0211a,feb_elabs,z0211a,z0215a,
c1ccc(N2CCOc3ccccc3C2)nc1,d0472b,feb_elabs,d0472b,z0581a,
Cc1cc(NC(=O)NCC(C)O)nn1-c1ccccc1,z0211a,feb_elabs,z0211a,z0215a,
COCCCn1ccc(NC(=O)NCC(C)O)n1,z0211a,feb_elabs,z0211a,z0215a,
CC(O)CNC(=O)Nc1cc(-c2ccsc2)nn1C,z0211a,feb_elabs,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,z0211a,feb_elabs,z0211a,z0215a,
COC(=O)c1cc(NC(=O)NCC(C)O)nn1C,z0211a,feb_elabs,z0211a,z0215a,
CC(O)CNC(=O)Nc1cccc(-n2cccn2)c1,z0211a,feb_elabs,z0211a,z0215a,
Cc1ccn(-c2cccc(NC(=O)NCC(C)O)c2)n1,z0211a,feb_elabs,z0211a,z0215a,
Cc1cc(NC(=O)NCC(C)O)n(-c2ccccc2)n1,z0211a,feb_elabs,z0211a,z0215a,
CC(O)CNC(=O)Nc1cc(C2CC2)n(C)n1,z0211a,feb_elabs,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccn(C2CCC2)n1,z0211a,feb_elabs,z0211a,z0215a,
O=C(Cc1ccn(C2CCCC2)n1)NCCN1CCCC1=O,z0215a,feb_elabs,z0215a,z1018a,
