,smiles,inchi_key,error_type,error_message,1_r1_smiles,1_r2_smiles,1_reaction,hit1,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,compound_set,hit2,hit3,2_r1_smiles,2_r2_smiles,2_reaction
0,CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,KAFGNTYOOWFSHX-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C1CNN1,CCS(=O)(=O)NCc1ccc(C(=O)O)cc1,Amidation,,,,G9psfq,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,WZJPHEKPHALAMW-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CN1CCCc2cc(C=CC(=O)O)ccc21,CC(N)CN1CCCC1=O,Amidation,,,,CWzAFk,,,,,,,,,,
0,Cc1cnccc1NC(=O)Cc1coc2ccccc12,DEGPAYOEPZCOBR-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1coc2ccccc12,Cc1cnccc1N,Amidation,,,,BUzVRq,,,,,,,,,,
0,O=C(Nc1ccc(Cl)c2ncccc12)c1ccncc1,YAOSTISNIUSXMX-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1ccncc1,Nc1ccc(Cl)c2ncccc12,Amidation,,,,MhiAjD,,,,,,,,,,
0,O=C1CCCN1CCNC(=O)C1(c2ccccn2)CC1,GEKOBKXDLILBGR-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)C1(c2ccccn2)CC1,NCCN1CCCC1=O,Amidation,,,,vU6Ck8,,,,,,,,,,
0,CCn1cc(NC(=O)CCCc2csc3ccccc23)cn1,SEXBZMJMGRUWGS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCCc1csc2ccccc12,CCn1cc(N)cn1,Amidation,,,,CJmV7u,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)Cc1n[nH]c2c1CCCC2,XWUQVDZICNOZJP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1n[nH]c2c1CCCC2,CC(N)CN1CCCC1=O,Amidation,,,,yiLNgM,,,,,,,,,,
0,O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,LQQWCINYCCMFRV-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NCCc1cc2ccccc2o1,CCOC(=O)Cc1noc2ccccc12,Ester_amidation,,,,hnodbm,,,,,,,,,,
1,O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,LQQWCINYCCMFRV-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Amidation.,O[C:1](Cc1noc2ccccc12)=[O:2],NCCc1cc2ccccc2o1,Amidation,,,,zcYwTA,,,,,,,,,,
0,Cc1cnccc1NCc1c[nH]cn1,DJVQSQXCKGQNJE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1c[nH]cn1,Cc1cnccc1N,Reductive_amination,,,,M5Cn9T,,,,,,,,,,
0,O=C(Cc1cc2ccccc2o1)NCc1nsc2ccccc12,ZAXPKNMZZARUDB-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1cc2ccccc2o1,NCc1nsc2ccccc12,Amidation,,,,2zDcYK,,,,,,,,,,
0,O=C1CCCCN1CCCNc1ccnc2ccc([N+](=O)[O-])cc12,FRNXPLHZHRXKEC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=[N+]([O-])c1ccc2nccc(Br)c2c1,NCCCN1CCCCC1=O,Buchwald-Hartwig_amination,,,,LoZXg5,,,,,,,,,,
0,CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,DNLUSRYLIQAQAE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1ccnc(-n2cccc2)c1,CC(N)c1ncc[nH]1,Amidation,,,,QzRQXP,,,,,,,,,,
0,Cc1cnccc1NCc1c[nH]cn1,DJVQSQXCKGQNJE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1c[nH]cn1,Cc1cnccc1N,Reductive_amination,,,,GB7atw,,,,,,,,,,
0,O=C(CCCc1ccncc1)NCc1coc2ccccc12,XPDDKFHYDJHELS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCCc1ccncc1,NCc1coc2ccccc12,Amidation,,,,Pfbvoq,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)c1cccc2ncccc12,XZCHKOUIHXKRTC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2ncccc12,CC(N)CN1CCCC1=O,Amidation,,,,y9VYro,,,,,,,,,,
0,CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,VRFUMBMWIYOQKS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1ccn(-c2ncccn2)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,Q6z6yk,,,,,,,,,,
1,CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,VRFUMBMWIYOQKS-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Nc1ccn(-c2ncccn2)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,LdWsAq,,,,,,,,,,
0,CC(=O)c1csc(-c2nccc3ccccc23)n1,MKYSFVXFAWJDCJ-UHFFFAOYSA-N,,,CC1(C)OB(c2nccc3ccccc23)OC1(C)C,CC(=O)c1csc(Br)n1,Sp2-sp2_Suzuki_coupling,z0111a,7802.0,199.0,zgUJQy,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0111a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_67/MKYSFVXFAWJDCJ-UHFFFAOYSA-N/MKYSFVXFAWJDCJ-UHFFFAOYSA-N_zgUJQy_to_hippo.pkl.gz,7802.0,7268.0,C48477,z0496a,,,,
0,CC(C)n1cc(NC2=NCCCS2)cn1,QOAMYTSWHMHASV-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NC1=NCCCS1,CC(C)n1cc(Br)cn1,N-nucleophilic_aromatic_substitution,,,,XJJC6j,,,,,,,,,,
0,c1nc2ccc(NCc3ccc4occc4c3)cn2n1,WNOQDDCSSLWEEK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NCc1ccc2occc2c1,Ic1ccc2ncnn2c1,N-nucleophilic_aromatic_substitution,,,,2iBaqK,,,,,,,,,,
