smiles,template,compound_set,hit1,hit2
CC(=O)c1c(-c2nc(N)sc2C)cc(C)c2ccccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0496a/z0496a.pdb,fstein_green_site_rna_tunnel,z0496a,z0581a
CC(=O)c1c(-c2nc(N)sc2C)cc(C)c2ccccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0581a/z0581a.pdb,fstein_green_site_rna_tunnel,z0496a,z0581a
CCC(F)Cc1cc(-c2nc(N)sc2CS(C)=O)cc(C)c1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0496a/z0496a.pdb,fstein_green_site_rna_tunnel,z0496a,z0625a
CCOC1C(c2nc(N)sc2C)CC(C)C(C)C12CNNC2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0496a/z0496a.pdb,fstein_green_site_rna_tunnel,z0496a,z0628a
CC1=C(N)Nc2c(C)cc(-c3nc(N)sc3C)cc2C=C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0496a/z0496a.pdb,fstein_green_site_rna_tunnel,z0496a,z0764a
CCC1(CC(=O)c2ccc(OC)cc2C)NC(=O)NC1=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0384a/z0384a.pdb,fstein_green_site_rna_tunnel,z0384a,z0519a
CCC1(CC(=O)c2ccc(OC)cc2C)NC(=O)NC1=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0519a/z0519a.pdb,fstein_green_site_rna_tunnel,z0384a,z0519a
CCN(CC)c1c(S(=O)(=O)Nc2ccc3oc(C)c(C(=O)O)c3c2)c(C)c(Cl)c2ncnn12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0900b/z0900b.pdb,fstein_green_site_rna_tunnel,z0521a,z0900b
CCC(=O)C(c1ccc(F)cc1C)S(N)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0625a/z0625a.pdb,fstein_green_site_rna_tunnel,z0111a,z0625a
Cc1cc(F)ccc1C(C(=O)NCCN1CCCC1=O)S(N)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0625a/z0625a.pdb,fstein_green_site_rna_tunnel,z0625a,z0637a
Cc1cc(F)cc(NCC2CCNC2)c1CS(N)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0351a/z0351a.pdb,fstein_green_site_rna_tunnel,z0351a,z0637a
Cc1cc(F)cc(NCC2CCNC2)c1CS(N)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0637a/z0637a.pdb,fstein_green_site_rna_tunnel,z0351a,z0637a
Cc1cc2cccc(NCC3CCNC3)n2n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0637a/z0637a.pdb,fstein_green_site_rna_tunnel,z0496a,z0637a
NS1(=O)=CS(=O)(=O)c2ccc(Br)cc2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0041a/z0041a.pdb,fstein_green_site_rna_tunnel,z0041a,z0764a
NS1(=O)=CS(=O)(=O)c2ccc(Br)cc2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0764a/z0764a.pdb,fstein_green_site_rna_tunnel,z0041a,z0764a
CCc1ccc2c(c1O)C(=O)C(C)C(C)(OCO)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0922a/z0922a.pdb,fstein_green_site_rna_tunnel,z0903a,z0922a
CC1(C)OC(=O)c2cc(Br)c(O)cc2N1S(C)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0364a/z0364a.pdb,fstein_green_site_rna_tunnel,z0364a,z0922a
CC(N)c1cc(-c2ccccc2O)n(O)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0215a/z0215a.pdb,fstein_green_site_rna_tunnel,z0215a,z0995a
