smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5,hit6
O=C(Nc1cc2cnccc2c2nncc-2n1)C1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,d0254a,,,,
O=C(Nc1cc2cnccc2c2nncc-2n1)C1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,fstein_primer_grip_n_pocket,d0160a,d0254a,,,,
c1cnc(-n2cccc2)c(Cc2c[nH]nc2-c2ccncc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,d0472a,,,,
c1cnc(-n2cccc2)c(Cc2c[nH]nc2-c2ccncc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,fstein_primer_grip_n_pocket,d0160a,d0472a,,,,
Cc1cn(CC2CCC3(C2)NC(=O)c2ccccc2N3)nc1-c1ccncc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,d1196a,,,,
Cc1cn(CC2CCC3(C2)NC(=O)c2ccccc2N3)nc1-c1ccncc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1196a/d1196a.pdb,fstein_primer_grip_n_pocket,d0160a,d1196a,,,,
CC1C(c2ccncc2)NN2CNC(C#N)C12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,z0875c,,,,
COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(C(C)c3c[nH]nc3-c3ccncc3)cc2OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,5i3p-a,5k5m-a,,,
O=C(O)Cc1ccc(OCc2c[nH]nc2-c2ccncc2)c(-c2cccs2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,6h80-a,6h9r-a,,,
Cc1cc(C(C)c2c[nH]nc2-c2ccncc2)c(-c2ccc(C#CCO)s2)cc1C(=O)NS(C)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,fstein_primer_grip_n_pocket,d0160a,5hmz-a,,,,
Cc1sc(C(C)NC(=O)C(C)C)c(C)c1CCNc1ccn(Cc2cccnc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,d0264a,,,,
c1cncc(Cn2ccc(Nc3cccnc3-n3cccc3)c2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,d0472a,,,,
c1cncc(Cn2ccc(Nc3cccnc3-n3cccc3)c2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,fstein_primer_grip_n_pocket,d0191a,d0472a,,,,
O=C1NC2(CCC(CCNc3ccncc3Cn3cccc3)C2)Nc2ccccc21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,d1196a,,,,
N#Cc1nc[nH]c1Nc1cccn1Cc1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,z0875c,,,,
COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(Oc3ccn(Cc4cccnc4)c3)cc2OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,5i3p-a,,,,
O=C(O)Cc1ccc(Oc2ccn(Cc3cccnc3)c2)c(-c2ccsc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,5f41-a,,,,
O=C(O)Cc1ccc(Oc2ccn(Cc3cccnc3)c2)c(-c2cccs2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,6h80-a,5f3z-a,6h9r-a,,
COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(OCc3ccn(Cc4cccnc4)c3)cc2OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,5k5m-a,,,,
Cc1cc(Oc2ccn(Cc3cccnc3)c2)c(-c2ccc(C#CCO)s2)cc1C(=O)NS(C)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,5hmz-a,,,,
O=C(O)Cc1ccc(Oc2ccn(Cc3cccnc3)c2)c(-c2ccccc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,fstein_primer_grip_n_pocket,d0191a,5f3t-a,,,,
CC1CCC(NCN=C(O)Cc2cc(CC(=O)O)cc(-c3cccs3)c2)C(CO)N1S(C)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0851a/d0851a_hippo.pdb,fstein_primer_grip_n_pocket,d0851a,6h80-a,,,,
O=C(O)Cc1cc(CC(=O)OCNC2CCC3(C2)NC(=O)c2ccccc2N3)cc(-c2cccs2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5i3p-a/5i3p-a.pdb,fstein_primer_grip_n_pocket,d1196a,5i3p-a,,,,
C(#Cc1c[nH]cn1)CCN1CCOCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,fstein_primer_grip_n_pocket,d0472a,z0052a,,,,
COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(OCNN=C(C)NCc3ncc[nH]3)cc2OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615b/d0615b.pdb,fstein_primer_grip_n_pocket,d0615b,5i3p-a,,,,
COc1c(CC(=O)O)c(C)c(C(=O)NS(=O)(=O)c2cccc3cccnc23)c(O)c1-c1ccc(C#CCO)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hn0-a/5hn0-a.pdb,fstein_primer_grip_n_pocket,5hn0-a,5f41-a,,,,
COc1c(CC(=O)O)c(C)c(C(=O)NS(=O)(=O)c2cccc3cccnc23)c(O)c1-c1ccc(C#CCO)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5f41-a/5f41-a.pdb,fstein_primer_grip_n_pocket,5hn0-a,5f41-a,,,,
COc1cccc(S(=O)(=O)NC(=O)c2c(O)c(-c3cccc(C#CCO)c3)c(OC)c(CC(=O)O)c2OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hn0-a/5hn0-a.pdb,fstein_primer_grip_n_pocket,5hn0-a,5hmy-a,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hmy-a/5hmy-a.pdb,fstein_primer_grip_n_pocket,z0052a,z0103a,5hmy-a,5i3q-a,5hmx-b,5k5m-a
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5i3q-a/5i3q-a.pdb,fstein_primer_grip_n_pocket,5hmy-a,5i3q-a,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5k5m-a/5k5m-a.pdb,fstein_primer_grip_n_pocket,5hmy-a,5k5m-a,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1cccs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5k5m-a/5k5m-a.pdb,fstein_primer_grip_n_pocket,5hmx-b,5k5m-a,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1cccs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hmz-a/5hmz-a.pdb,fstein_primer_grip_n_pocket,5hmx-b,5hmz-a,,,,
COc1c(-c2ccc(C#CCO)s2)cc(C(=O)NS(C)(=O)=O)c(C)c1CC(=O)O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hmz-a/5hmz-a.pdb,fstein_primer_grip_n_pocket,z0103a,5hn0-a,5hmz-a,,,
COc1c(-c2ccc(C#CCO)s2)cc(C(=O)NS(C)(=O)=O)c(C)c1CC(=O)O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hn0-a/5hn0-a.pdb,fstein_primer_grip_n_pocket,5hn0-a,5hmz-a,,,,
O=C(O)Cc1cc(-c2ccccc2)cc(C(C(=O)O)c2cc(-c3ccncc3)n[nH]2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hmx-b/5hmx-b.pdb,fstein_primer_grip_n_pocket,5hmx-b,5hmz-a,,,,
Nc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5f3z-a/5f3z-a.pdb,fstein_primer_grip_n_pocket,5hmz-a,5f3z-a,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5f41-a/5f41-a.pdb,fstein_primer_grip_n_pocket,5f41-a,5hmw-b,,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1cccs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/6h9r-a/6h9r-a.pdb,fstein_primer_grip_n_pocket,5hn0-a,5hmy-a,6h9r-a,,,
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1cccs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5hmy-a/5hmy-a.pdb,fstein_primer_grip_n_pocket,5hmy-a,6h9r-a,,,,
