smiles,template,compound_set,hit1,hit2
CNS(=O)(=O)c1ccc(NCCNS(=O)(=O)c2ccccc2Cl)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0153a
CNS(=O)(=O)c1ccc(NCCNS(=O)(=O)c2ccccc2Cl)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153b,d0153a
CNS(=O)(=O)c1ccc(Nc2ccc(-c3csc(N)n3)cc2)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0162a
CNS(=O)(=O)c1ccc(Nc2ccc(-c3csc(N)n3)cc2)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0153b,d0162a
CNS(=O)(=O)c1cccc(NOc2ccc(S(=O)(=O)N3CCNCC3)cc2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0210a
CNS(=O)(=O)c1cccc(NOc2ccc(S(=O)(=O)N3CCNCC3)cc2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0210a/d0210a.pdb,fstein_thumb_site_2,d0153b,d0210a
CNS(=O)(=O)c1cccc(NC2CCOCC2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0279a
CNS(=O)(=O)c1cccc(NC2CCOCC2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0153b,d0279a
CNS(=O)(=O)c1cccc(OC2CCN(C)C2=O)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0566a
CNS(=O)(=O)c1cccc(OC2CCN(C)C2=O)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,fstein_thumb_site_2,d0153b,d0566a
CNS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)NC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0567a
CNS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)NC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0567a/d0567a.pdb,fstein_thumb_site_2,d0153b,d0567a
CNS(=O)(=O)c1cccc(CCNc2ccccc2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d1212a
CNS(=O)(=O)c1cccc(CCNc2ccccc2)c1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1212a/d1212a.pdb,fstein_thumb_site_2,d0153b,d1212a
CNS(=O)(=O)c1ccc(CNCNS(=O)(=O)c2ccccc2Cl)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0153a
CNS(=O)(=O)c1ccc(CNCNS(=O)(=O)c2ccccc2Cl)cc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153b,d0153a
CCS(=O)(=O)NCc1ccc2c(c1)OC(NCNS(=O)(=O)c1ccccc1Cl)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0174a
CCS(=O)(=O)NCc1ccc2c(c1)OC(NCNS(=O)(=O)c1ccccc1Cl)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0153a,d0174a
CNS(=O)(=NCCCc1cccc(C(=O)NC(C)(C)CO)c1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0248a
CNS(=O)(=NCCCc1cccc(C(=O)NC(C)(C)CO)c1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,fstein_thumb_site_2,d0153a,d0248a
CNS(=O)(=O)CC1CCCC(CCCN=S(=O)(NC)c2ccccc2Cl)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0283a
CNS(=O)(=O)CC1CCCC(CCCN=S(=O)(NC)c2ccccc2Cl)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0283a/d0283a.pdb,fstein_thumb_site_2,d0153a,d0283a
CNS(=O)(=O)c1cccc(CCCN=S(=O)(NC)c2ccccc2Cl)c1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0567a
CNS(=O)(=O)c1cccc(CCCN=S(=O)(NC)c2ccccc2Cl)c1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0567a/d0567a.pdb,fstein_thumb_site_2,d0153a,d0567a
CNC1(c2ccccc2Cl)C(O)CC(CN(C)c2ncncc2Cl)C1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0587a
CNC1(c2ccccc2Cl)C(O)CC(CN(C)c2ncncc2Cl)C1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,fstein_thumb_site_2,d0153a,d0587a
O=S(=O)(NCNCN=C(CCC1CCCCC1)N1CCOCC1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0771a
O=S(=O)(NCNCN=C(CCC1CCCCC1)N1CCOCC1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0771a/d0771a.pdb,fstein_thumb_site_2,d0153a,d0771a
CNS(=O)(=NCc1ccc(C)nc1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d1212a
CNS(=O)(=NCc1ccc(C)nc1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1212a/d1212a.pdb,fstein_thumb_site_2,d0153a,d1212a
