smiles,template,compound_set,hit1,hit2
c1nc(CCNC2=NCCCS2)no1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1nc(CCNC2=NCCCS2)no1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0968a/z0968a.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1ncn(CCNC2=NCCCS2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1noc(CCNC2=NCCCS2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC1CCSC(NCCc2ncon2)=N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC1CCSC(NCCc2ncon2)=N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0968a/z0968a.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC1CN=C(NCCc2ncon2)SC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0968a/z0968a.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC1CN=C(NCCc2ncno2)SC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC(CNC1=NCCCS1)c1ncon1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1cc2cc(N3CCCCCC3)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0136b/z0136b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
c1cc2cc(N3CCCCCC3)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
c1cc2cc(C3=NCCS3)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
c1cc2cc(N3CCCCC3)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0136b/z0136b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
c1cc2cc(N3CCCCC3)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
O=C(CCCn1ccc2cc(Cl)ccc21)OC1CCSC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0136b/z0136b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
O=C(CCCn1ccc2cc(Cl)ccc21)OC1CCSC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0136b,z0892b
C=C1CCN(c2ncccn2)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1ncc(N2CCCC2)cn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
c1cc(N2CCCC2)ncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0892b,z0968a
CC1CCSC(NC(C)c2ccncc2)=N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0892b/z0892b.pdb,knitwork_cavity_b_impure,z0767a,z0892b
