smiles,template,compound_set,hit1,hit2,hit3
COc1cccc2c(CC(=O)NCC(O)c3ccncc3)coc12,z0215a,knitwork_green_site_impure,z0215a,3vws-a,
CC(CF)Nc1ccc2ccccc2n1,z0384a,knitwork_green_site_impure,z0384a,z1040a,
CC(CF)Nc1ccc2ccccc2n1,z1040a,knitwork_green_site_impure,z0384a,z1040a,
c1cc2cc(-c3cnoc3)ccc2[nH]1,z0496a,knitwork_green_site_impure,z0041a,z0496a,
CC(NCc1cnsc1)c1coc2ccccc12,z0215a,knitwork_green_site_impure,z0215a,3vws-b,
CC(NCc1ccns1)c1coc2c(F)cccc12,z0215a,knitwork_green_site_impure,z0215a,3vws-b,
CC(NCc1cnsc1)c1coc2c(F)cccc12,z0215a,knitwork_green_site_impure,z0215a,3vws-b,
c1cc2cc(-c3cscn3)ccc2cn1,z0496a,knitwork_green_site_impure,z0111a,z0496a,
c1ccc2c(-n3cccn3)nccc2c1,z0496a,knitwork_green_site_impure,z0111a,z0496a,
c1ccc2c(-c3nccs3)nccc2c1,z0496a,knitwork_green_site_impure,z0111a,z0496a,
CCC(F)CNc1ccc2ccoc2c1,z0384a,knitwork_green_site_impure,z0384a,3vws-a,
CCC(=O)Nc1ccccn1,d0472b,knitwork_green_site_impure,d0472b,z0384a,
COc1cccc2c(C(=O)NCCc3cn[nH]c3)coc12,z0215a,knitwork_green_site_impure,z0215a,3vws-b,
O=C(Nc1cccc2ncccc12)c1csc2ccccc12,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
Cc1oc2ccccc2c1CC(=O)NC(C)c1cn[nH]c1,3vws-b,knitwork_green_site_impure,z0215a,3vws-b,
Cc1ccc2occ(CC(=O)NC(C)c3cn[nH]c3)c2c1,3vws-b,knitwork_green_site_impure,z0215a,3vws-b,
Cc1ccc(NC(=O)c2cccc3ccccc23)c2cccnc12,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
COc1ccc(NC(=O)c2cccc3ccccc23)c2cccnc12,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
c1ccc2c(-c3ccno3)c[nH]c2c1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
CCOc1ccc(NC(=O)c2cccc3ccccc23)c2cccnc12,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
c1ccc2c(-c3cscn3)c[nH]c2c1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
c1cc2ccc(-c3cocn3)cc2[nH]1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
c1ccc2[nH]c(-c3cncs3)cc2c1,z0136a,knitwork_green_site_impure,z0136a,z0386a,
c1ccc2[nH]c(-c3cncs3)cc2c1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
c1ccc2[nH]c(-c3cscn3)cc2c1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
c1ccc2[nH]c(-c3cnco3)cc2c1,z0136a,knitwork_green_site_impure,z0136a,z0386a,
c1cc2ccc(-c3cnoc3)cc2[nH]1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
c1ccc2[nH]c(-c3nccs3)cc2c1,z0386a,knitwork_green_site_impure,z0136a,z0386a,
Cc1nc(C(O)C(N)c2cscn2)cs1,z0200a,knitwork_green_site_impure,z0200a,z0496a,
Cc1nc(C(O)C(N)c2nccs2)cs1,z0200a,knitwork_green_site_impure,z0200a,z0496a,
O=C1CCCN1c1ccc(-c2cccc3ncccc23)cn1,z1018a,knitwork_green_site_impure,z1018a,z1040a,
O=C1CCCN1c1ccc(-c2cccc3ncccc23)cn1,z1040a,knitwork_green_site_impure,z1018a,z1040a,
O=C1CCCN1c1ccc(-c2ccnc3ccccc23)cn1,z1018a,knitwork_green_site_impure,z1018a,z1040a,
O=C1CCCN1c1ccc(-c2ccnc3ccccc23)cn1,z1040a,knitwork_green_site_impure,z1018a,z1040a,
O=C(NCc1coc2ccccc12)Nc1cccc2cc[nH]c12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
O=C(NCC(O)Cn1cccn1)NC1CCCc2cccnc21,z0211a,knitwork_green_site_impure,z0211a,z0637a,
O=C(NCC(O)Cn1cccn1)NC1CCCc2cccnc21,z0637a,knitwork_green_site_impure,z0211a,z0637a,
c1cc(-c2cscn2)no1,z0496a,knitwork_green_site_impure,z0496a,z0637a,
c1csc(-c2cnsc2)n1,z0496a,knitwork_green_site_impure,z0496a,z0637a,
c1csc(-c2ccsn2)n1,z0496a,knitwork_green_site_impure,z0496a,z0637a,
c1csc(-c2ccon2)n1,z0496a,knitwork_green_site_impure,z0496a,z0637a,
Cc1cc(NC(=O)C(=O)NCC(c2cccc3ccccc23)N(C)C)c2ccccc2n1,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
Cc1ccc(NC(=O)c2coc3ccccc23)c2cccnc12,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
Cc1cc(CNC(=O)COc2cccc3ccccc23)c2ccccc2n1,z0881a,knitwork_green_site_impure,z0881a,3vws-b,
CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,z0041a,knitwork_green_site_impure,z0041a,z0211a,
CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,z0211a,knitwork_green_site_impure,z0041a,z0211a,
CSCCC(CO)NC(=O)C(=O)Nc1cccc2[nH]ccc12,z0041a,knitwork_green_site_impure,z0041a,z0211a,
CSCCC(CO)NC(=O)C(=O)Nc1cccc2[nH]ccc12,z0211a,knitwork_green_site_impure,z0041a,z0211a,
COc1ccc2c(c1)C(c1cccnc1)CCN2,z0364a,knitwork_green_site_impure,z0221a,z0364a,z0386a
c1nc(-c2ccc3c(c2)CCN3)cs1,z0496a,knitwork_green_site_impure,z0904a,z0496a,
O=C(NCCC(O)C(F)(F)F)Nc1cccc2cc[nH]c12,z0041a,knitwork_green_site_impure,z0041a,z0211a,
O=C(NCCC(O)C(F)(F)F)Nc1cccc2cc[nH]c12,z0211a,knitwork_green_site_impure,z0041a,z0211a,
