smiles,template,compound_set,hit1,hit2,hit3
COc1ccc2c(c1)C(c1ccncc1)CCN2,z0364a,knitwork_green_site_pure,z0364a,z0386a,
CCSc1cc(CNc2ccnc3ncnn23)ccn1,z0521a,knitwork_green_site_pure,z0521a,z0637a,
CCSc1cc(CNc2ccnc3ncnn23)ccn1,z0637a,knitwork_green_site_pure,z0521a,z0637a,
CC(O)CNC(=O)Nc1cccc2cccnc12,z0881a,knitwork_green_site_pure,z0211a,z0881a,
NS(=O)(=O)c1ccc2c(c1)N(CCCn1ccnc1)CCC2,z0165a,knitwork_green_site_pure,d0378a,z0165a,
NCCc1c(-c2coc3ccccc23)n[nH]c1O,z0653a,knitwork_green_site_pure,z0653a,3vws-b,
CC(CNC(=O)c1ccc2ccncc2c1)NC(=O)c1cccnc1,z0111a,knitwork_green_site_pure,d0472b,z0111a,
N#Cc1cc(NCCNc2ccccn2)nc2ccccc12,z1040a,knitwork_green_site_pure,d0472b,z1040a,
CCCN(Cc1cccnc1)C(=O)c1ccc2ccncc2c1,z0111a,knitwork_green_site_pure,d0472b,z0111a,
Cc1cnc2c(S(=O)(=O)Nc3ccc4occc4c3)cccc2c1,3vws-a,knitwork_green_site_pure,z1040a,3vws-a,
c1ccc2c(c1)CCCN2c1ncc[nH]1,d0378a,knitwork_green_site_pure,d0378a,z0165a,
Cc1csc(CN(C)C(=O)C(N)Cc2coc3ccccc23)n1,z0384a,knitwork_green_site_pure,z0384a,3vws-b,
O=C(Cc1coc2ccccc12)NCC(O)CNCc1cscn1,z0384a,knitwork_green_site_pure,z0384a,3vws-b,
OCCCc1csc(-c2coc3ccccc23)n1,3vws-b,knitwork_green_site_pure,z0384a,3vws-b,
CCc1csc(CC(=O)NCc2coc3ccccc23)n1,z0384a,knitwork_green_site_pure,z0384a,3vws-b,
CC(C)c1csc(CCNS(=O)(=O)c2coc3ccccc23)n1,z0384a,knitwork_green_site_pure,z0384a,3vws-b,
