smiles,template,compound_set,hit1,hit2,hit3
CN(CCNC(=O)Cc1ccns1)C(=O)c1cncc(O)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0191a,d0472a
CN(CCNC(=O)Cc1ccns1)C(=O)c1cncc(O)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0191a,d0472a,
c1cncc(-c2ncco2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0191a,
c1ccc(-n2cccn2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0191a,
c1ccc(-c2nccs2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0191a,
c1ccc(-c2ncco2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0191a,
O=C(NCCc1cn[nH]c1)OC1CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(NCCc1cn[nH]c1)OC1CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(O)C1(CNCc2cc[nH]n2)CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(O)C1(CNCc2cc[nH]n2)CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CC(NCCc1cn[nH]c1)C1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CC(NCCc1cn[nH]c1)C1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CC(NC(C)C1CCCO1)c1cn[nH]c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CC(NC(C)C1CCCO1)c1cn[nH]c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(CCCC1CCOC1)c1cn[nH]c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CCC1OCCC1CNCc1cn[nH]c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
c1cc(C2CCCO2)no1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0254a,d0472a,
CCC1OCCC1CNCc1cn[nH]c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CCC1OCCC1CNCc1cc[nH]n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CCC1OCCC1CNCc1cc[nH]n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CCC1CC(NCCc2ccn[nH]2)CO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
[O-][S+](CCC1CNC1)C1CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0866a/d0866a.pdb,knitwork_primer_grip_n_pocket_impure,d0254a,d0866a,
c1cc(C23CCCCC2C3)[nH]n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
C1=CC(n2cccn2)CCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
C1=CC(n2cccn2)CCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0851a/d0851a_hippo.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
CC(C(=O)NCc1ccon1)C1CCOC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(NOC1CCOC1)N1CCN(c2cccnc2)C(=O)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
O=C(NOC1CCOC1)N1CCN(c2cccnc2)C(=O)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0254a,
CC1OCCC1[S+]([O-])CCC1CNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0254a,d0866a,
CC1OCCC1[S+]([O-])CCC1CNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0866a/d0866a.pdb,knitwork_primer_grip_n_pocket_impure,d0254a,d0866a,
c1ccc(N2CCNC3CC32)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,z0193a,
CC(CC(=O)N1CCOC(c2cc[nH]n2)C1)C1CCNCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
c1cc(NCCCNCc2ncc[nH]2)ccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,knitwork_primer_grip_n_pocket_impure,d0191a,z0875c,
c1ccc(C(NCCCNc2ccncc2)c2ncc[nH]2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,knitwork_primer_grip_n_pocket_impure,d0191a,z0875c,
O=C1CC(CC(=O)N2CCCC(c3ccn[nH]3)C2)CC(=O)N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
O=C1CC(CC(=O)N2CCCC(c3ccn[nH]3)C2)CC(=O)N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0851a/d0851a_hippo.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
O=C1CCC(CN2CCCC(c3ccn[nH]3)C2)C(=O)N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0851a/d0851a_hippo.pdb,knitwork_primer_grip_n_pocket_impure,d0160a,d0851a,
c1cc(NCCCNCc2ncc[nH]2)ccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0472a,z0103a,
CC(C)n1ccnc1CNCCCNc1ccncc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0472a,z0103a,
c1ccc(C(NCCCNc2ccncc2)c2ncc[nH]2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0472a,z0103a,
CN(CC(O)CN(C)C(=O)C1(F)CCOC1)C(=O)c1cnc[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0254a/d0254a.pdb,knitwork_primer_grip_n_pocket_impure,d0254a,z0103a,
CC(C)(C)n1ccnc1CNCCCNc1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0472a,z0103a,
CC(C)c1c[nH]c(CNCCCNc2ccccc2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_impure,d0472a,z0103a,
