smiles,template,compound_set,hit1,hit2,hit3
O=C(Nc1nc(-c2cnco2)cs1)C1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615b/d0615b.pdb,knitwork_primer_grip_n_pocket_pure,d0254a,d0615b,
CC1CCN(CC(=O)NCC=Cc2cccnc2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_pure,d0472a,d0851a,z0193a
CC(CC(=O)Nc1c[nH]nc1-c1nccs1)n1cccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
O=C(CCCc1nccs1)Nc1c[nH]nc1-c1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
c1cc(-c2ccc(CNCCc3cscn3)o2)[nH]n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
Brc1cccnc1N1CCC12CC(c1ncc[nH]1)C2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615b/d0615b.pdb,knitwork_primer_grip_n_pocket_pure,d0615b,z0103a,
O=C(NCCc1nccs1)NCc1cc(-c2ccccc2)[nH]n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0264a/d0264a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
O=C(Cc1ncc[nH]1)Nc1cccc(C2CC2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615b/d0615b.pdb,knitwork_primer_grip_n_pocket_pure,d0615b,z0103a,
CCCn1ccnc1C(=O)c1ccn[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,z0103a,
CC(C)(NC(=O)C=Cc1cn[nH]c1)c1nc(C(F)(F)F)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
Cc1csc(C(C)(C)NC(=O)C=Cc2cn[nH]c2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
O=C(NCCc1ccccn1)c1cccn1C1CCNCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_pure,d0472a,z0193a,
Cn1nc(-c2ccccn2)nc1-c1ncc[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615b/d0615b.pdb,knitwork_primer_grip_n_pocket_pure,d0615b,z0103a,
O=C(NCc1ccccn1)c1cccn1C1CCNCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0472a/d0472a.pdb,knitwork_primer_grip_n_pocket_pure,d0472a,z0193a,
O=C(OCCc1cn[nH]c1)c1csc(Cl)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0160a/d0160a.pdb,knitwork_primer_grip_n_pocket_pure,d0160a,d0264a,
Cc1ccc(CCOC(=O)CC(C)n2cccc2)cn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0191a/d0191a.pdb,knitwork_primer_grip_n_pocket_pure,d0191a,d0472a,
