smiles,template,compound_set,hit1,hit2,hit3,hit4
O=S(=O)(NCCCC(F)(F)F)C1CCNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0503a,,
O=S(=O)(NCCCC(F)(F)F)C1CCNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0503a/d0503a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0503a,,
CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0566a,,
CC(F)(F)CCCCNS(=O)(=O)N1CCCCCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0759a/d0759a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
CCCC(OC)C(O)C1CCCCCN1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
CCCC(OC)C(O)C1CCCCCN1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0759a/d0759a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
NCC1CCCCN(Cc2ccc3c(c2)OCCO3)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0759a/d0759a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
OC1CCCCN(Cc2cc3c(cn2)OCCO3)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0759a/d0759a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
O=C(C=C(O)C(F)(F)F)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
O=C(C=C(O)C(F)(F)F)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0759a/d0759a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0759a,,
CN(C)C(=O)CS(=O)(=O)c1nc2ccccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
CN(C)C(=O)CS(=O)(=O)c1nc2ccccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
COC(=O)CC(O)c1nc2ccccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
COC(=O)CC(O)c1nc2ccccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
