smiles,template,compound_set,hit1,hit2,hit3
CN(c1cccnc1)S(=O)(=O)CCC1Cc2ccccc2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ccc(N2CCCc3ccccc32)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ncccc1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ncccc1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCC1CN(Cc2ccccn2)Cc2ccnn21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCC1CN(Cc2ccccn2)Cc2ccnn21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ncccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ncccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ccncc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ccncc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ccc(OCc2ccccn2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCc1ccnc(Oc2ccccc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
CCS(=O)(=O)NCc1ccnc(Oc2ccccc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CN(c1cccnc1)S(=O)(=O)CCC1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CN(c1cccnc1)S(=O)(=O)CCC1CCCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,
CCS(=O)(=O)NCC1CCCCN(C)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0176a,
CCS(=O)(=O)NCC1CCCCN(C)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0176a/d0176a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0176a,
O=C(OCCC1CCNC1=O)c1cc(C(O)C(F)(F)F)ccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,kntiwork_primer_thumb_site_2_pure,d0566a,d0615a,
CC(C)c1ccc(N(C)S(=O)(=O)CCC2CCCOC2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
O=c1ccc(-c2cccnc2)nn1CC1=NOC2OCCCC12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
